date,zone_id,direction,stage_reached,candidate_iso,confirmed_iso,trigger_iso,zone_low,zone_high,zone_mid,zone_width_pct,candidate_to_confirm_min,confirm_to_trigger_min,total_pre_trigger_min,utc_hour,session,session_bucket,weekday,is_session_open_2h,_label_unique_move_id,_label_engine_class,watch_label,coverage_class,lead_min_before_move,matched_move_size_pct,_half
2026-03-02,BTC-USDT-SWAP-LONG-1772409634000-1,LONG,triggered,2026-03-02T00:00:34+00:00,2026-03-02T00:20:03+00:00,2026-03-02T00:44:10+00:00,65714.45,66170.55,65942.5,0.6916631914167735,19.483333333333334,24.116666666666667,43.6,0.0,asia,asia,0,1,1,primary_unique_reached_move,GOOD,covered_watch_early,51.23,2.0434,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772410491000-2,SHORT,confirmed,2026-03-02T00:14:51+00:00,2026-03-02T00:36:47+00:00,,65768.05,66086.65,65927.35,0.48325922397910914,21.933333333333334,,,0.0,asia,asia,0,1,,invalidated_or_expired,GOOD,covered_watch_early,34.57,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772410502000-3,SHORT,confirmed,2026-03-02T00:15:02+00:00,2026-03-02T00:36:47+00:00,,65768.05,66086.65,65927.35,0.48325922397910914,21.75,,,0.0,asia,asia,0,1,,invalidated_or_expired,GOOD,covered_watch_early,34.57,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772410803000-4,LONG,triggered,2026-03-02T00:20:03+00:00,2026-03-02T00:27:38+00:00,2026-03-02T00:44:58+00:00,65800.55,66031.75,65916.15,0.3507486405076709,7.583333333333333,17.333333333333332,24.916666666666668,0.0,asia,asia,0,1,1,duplicate_reached_move,GOOD,covered_watch_early,43.65,2.0434,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772412598000-5,SHORT,confirmed,2026-03-02T00:49:58+00:00,2026-03-02T01:02:51+00:00,,66430.35,66699.95,66565.15,0.40501673923966414,12.883333333333333,,,1.0,asia,asia,0,1,,invalidated_or_expired,GOOD,covered_watch_early,8.5,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772412610000-6,SHORT,confirmed,2026-03-02T00:50:10+00:00,2026-03-02T01:02:51+00:00,,66430.35,66699.95,66565.15,0.40501673923966414,12.683333333333334,,,1.0,asia,asia,0,1,,invalidated_or_expired,GOOD,covered_watch_early,8.5,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772415850000-9,SHORT,triggered,2026-03-02T01:44:10+00:00,2026-03-02T01:57:18+00:00,2026-03-02T02:06:22+00:00,66386.45,66637.65,66512.04999999999,0.37767592488879403,13.133333333333333,9.066666666666666,22.2,1.0,asia,asia,0,1,,failed_triggered,MID,covered_mid,-45.95,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772414212000-7,LONG,confirmed,2026-03-02T01:16:52+00:00,2026-03-02T01:47:01+00:00,,66457.85,66973.520025,66715.6850125,0.7729367163109879,30.15,,,1.0,asia,asia,0,1,,invalidated_or_expired,BAD,wrong_direction,,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772414223000-8,LONG,confirmed,2026-03-02T01:17:03+00:00,2026-03-02T01:47:01+00:00,,66457.85,66922.494525,66690.17226250001,0.69672113481894,29.966666666666665,,,1.0,asia,asia,0,1,,invalidated_or_expired,BAD,wrong_direction,,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772416021000-10,LONG,confirmed,2026-03-02T01:47:01+00:00,2026-03-02T01:52:40+00:00,,66386.45,66630.648675,66508.54933750001,0.36716884886604884,5.65,,,1.0,asia,asia,0,1,,invalidated_or_expired,BAD,wrong_direction,,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772418726000-11,SHORT,triggered,2026-03-02T02:32:06+00:00,2026-03-02T02:41:13+00:00,2026-03-02T03:04:01+00:00,66135.165875,66424.35,66279.7579375,0.4363083601975319,9.116666666666667,22.8,31.916666666666668,2.0,asia,asia,0,0,,failed_triggered,MID,covered_mid,-89.87,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772419889000-13,LONG,triggered,2026-03-02T02:51:29+00:00,2026-03-02T02:54:56+00:00,2026-03-02T03:11:21+00:00,66200.45,66309.388125,66254.9190625,0.16442269727510556,3.45,16.416666666666668,19.866666666666667,2.0,asia,asia,0,0,1,duplicate_reached_move,BAD,wrong_direction,,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772420096000-14,LONG,triggered,2026-03-02T02:54:56+00:00,2026-03-02T03:06:38+00:00,2026-03-02T03:11:21+00:00,66078.35,66332.95,66205.65,0.3845593238643398,11.7,4.716666666666667,16.416666666666668,3.0,asia,asia,0,0,1,duplicate_reached_move,BAD,wrong_direction,,2.7554,first
