#,date,direction,zone_id,candidate_iso,confirmed_iso,trigger_iso,session,selected_stage,entry_sec,entry_iso,entry_price,exit_sec,exit_iso,exit_price,exit_reason,pnl_pct,win_loss,watch_label,coverage_class,matched_move_size_pct,lead_min_before_move,score_trigger,explainable_score_legacy,explainable_score_confirm_safe,zone_low,zone_high,zone_mid,filter_kept,is_late_after_50pct_correct_move,is_during_opposite_move,opp_dir_zones_active_60m,same_dir_zones_active_60m,taker_imb_aligned_30m,ofi_shift_aligned,vol_anomaly_15m_vs_bg,sweep_reclaim_aligned,prior_move_60m_pct,local_range_180m_pct,reason_summary
1,2026-03-02,LONG,BTC-USDT-SWAP-LONG-1772409634000-1,2026-03-02T00:00:34+00:00,2026-03-02T00:20:03+00:00,2026-03-02T00:44:10+00:00,asia,confirmed (entry +10 min),1772411403,2026-03-02T00:30:03+00:00,65899.0,1772463699,2026-03-02T15:01:39+00:00,67216.98,target_2pct,2.0,WIN,GOOD,covered_watch_early,2.0434,51.23,1.0,3.6407,1.1035,65714.45,66170.55,65942.5,True,False,False,0.0,0.0,0.0158,-0.6315,,True,0.2505,0.7253,LONG zone confirmed in asia session with score_trigger=1.0
2,2026-03-03,SHORT,BTC-USDT-SWAP-SHORT-1772496035000-1,2026-03-03T00:00:35+00:00,2026-03-03T00:08:45+00:00,2026-03-03T00:19:16+00:00,asia,confirmed (entry +10 min),1772497125,2026-03-03T00:18:45+00:00,68760.7,1772527271,2026-03-03T08:41:11+00:00,67385.48599999999,target_2pct,2.0,WIN,GOOD,covered_watch_early,4.2278,63.88,1.0,3.6185,1.0397,68737.75,68932.95,68835.35,True,False,False,0.0,0.0,-0.205,-0.1466,,True,0.0997,0.3003,SHORT zone confirmed in asia session with score_trigger=1.0
3,2026-03-04,SHORT,BTC-USDT-SWAP-SHORT-1772582934000-2,2026-03-04T00:08:54+00:00,2026-03-04T00:14:36+00:00,2026-03-04T00:34:43+00:00,asia,confirmed (entry +10 min),1772583876,2026-03-04T00:24:36+00:00,68248.1,1772610430,2026-03-04T07:47:10+00:00,69271.8215,stop,-1.5,LOSS,GOOD,covered_watch_early,2.2052,87.97,1.0,3.7534,1.1741,68050.05,68199.95,68125.0,True,False,False,0.0,0.0,0.0674,-0.2236,,True,-0.3012,0.3591,SHORT zone confirmed in asia session with score_trigger=1.0
4,2026-03-05,SHORT,BTC-USDT-SWAP-SHORT-1772669164000-1,2026-03-05T00:06:04+00:00,2026-03-05T00:25:14+00:00,2026-03-05T01:51:37+00:00,asia,confirmed (entry +10 min),1772670914,2026-03-05T00:35:14+00:00,72749.3,1772724455,2026-03-05T15:27:35+00:00,71294.314,target_2pct,2.0,WIN,GOOD,covered_watch_early,2.1318,48.37,1.0,2.7809,1.2035,72516.15,72937.95,72727.04999999999,False,False,False,0.0,0.0,-0.0742,-0.0501,,True,0.316,0.5875,SHORT zone confirmed in asia session with score_trigger=1.0
5,2026-03-06,SHORT,BTC-USDT-SWAP-SHORT-1772798800000-24,2026-03-06T12:06:40+00:00,2026-03-06T12:23:52+00:00,2026-03-06T12:36:18+00:00,europe,confirmed (entry +10 min),1772800432,2026-03-06T12:33:52+00:00,69841.0,1772807807,2026-03-06T14:36:47+00:00,68444.18,target_2pct,2.0,WIN,BAD,missed_no_move_in_4h,,,1.0,3.4335,0.8618,69761.05,70174.15,69967.6,True,False,False,0.0,0.0,0.0934,-0.2879,3.9588,True,-0.5733,1.4745,SHORT zone confirmed in europe session with score_trigger=1.0
6,2026-03-07,LONG,BTC-USDT-SWAP-LONG-1772842451000-1,2026-03-07T00:14:11+00:00,2026-03-07T00:24:57+00:00,2026-03-07T00:32:21+00:00,asia,confirmed (entry +10 min),1772843697,2026-03-07T00:34:57+00:00,68273.6,1772911155,2026-03-07T19:19:15+00:00,67249.496,stop,-1.5,LOSS,BAD,missed_no_move_in_4h,,,1.0,3.7631,1.1952,68080.95,68234.049975,68157.49998749999,True,False,False,0.0,0.0,0.1177,-0.5548,,True,0.1819,0.2439,LONG zone confirmed in asia session with score_trigger=1.0
7,2026-03-08,SHORT,BTC-USDT-SWAP-SHORT-1772942112000-11,2026-03-08T03:55:12+00:00,2026-03-08T04:05:17+00:00,2026-03-08T04:47:36+00:00,asia,confirmed (entry +10 min),1772943317,2026-03-08T04:15:17+00:00,66976.5,1772965381,2026-03-08T10:23:01+00:00,67981.14749999999,stop,-1.5,LOSS,BAD,missed_no_move_in_4h,,,1.0,3.8838,1.3038,66905.65,67054.85,66980.25,True,False,False,0.0,1.0,-0.1383,0.0592,0.6209,True,0.1238,0.9133,SHORT zone confirmed in asia session with score_trigger=1.0
8,2026-03-09,SHORT,BTC-USDT-SWAP-SHORT-1773014431000-1,2026-03-09T00:00:31+00:00,2026-03-09T00:13:27+00:00,2026-03-09T00:25:34+00:00,asia,confirmed (entry +10 min),1773015807,2026-03-09T00:23:27+00:00,66170.5,1773025828,2026-03-09T03:10:28+00:00,67163.0575,stop,-1.5,LOSS,BAD,missed_no_move_in_4h,,,1.0,3.7846,1.2094,65882.092475,66375.75,66128.9212375,True,False,False,0.0,0.0,-0.2213,0.1353,,True,0.4312,0.7445,SHORT zone confirmed in asia session with score_trigger=1.0
9,2026-03-10,LONG,BTC-USDT-SWAP-LONG-1773100831000-1,2026-03-10T00:00:31+00:00,2026-03-10T00:09:20+00:00,2026-03-10T00:17:01+00:00,asia,confirmed (entry +10 min),1773101960,2026-03-10T00:19:20+00:00,68580.3,1773110073,2026-03-10T02:34:33+00:00,69951.906,target_2pct,2.0,WIN,GOOD,covered_watch_early,4.2595,140.95,1.0,3.6523,1.0724,68350.95,68466.55,68408.75,True,False,False,0.0,0.0,-0.024,-0.3878,,True,0.079,0.1693,LONG zone confirmed in asia session with score_trigger=1.0
10,2026-03-11,LONG,BTC-USDT-SWAP-LONG-1773196970000-6,2026-03-11T02:42:50+00:00,2026-03-11T03:08:27+00:00,2026-03-11T04:29:03+00:00,asia,confirmed (entry +10 min),1773199107,2026-03-11T03:18:27+00:00,69619.8,1773236379,2026-03-11T13:39:39+00:00,71012.19600000001,target_2pct,2.0,WIN,GOOD,covered_watch_early,3.0617,104.83,1.0,1.8826,0.3196,69592.85,69862.75,69727.8,False,False,False,1.0,0.0,0.0345,-0.3273,1.0161,True,-0.5063,0.8229,LONG zone confirmed in asia session with score_trigger=1.0
