feature,type,winners_mean,losers_mean,cohens_d_winners_vs_losers,winners_freq_pct,losers_freq_pct,diff_pp
cand_bid_refill_score,numeric,0.4989,0.5018,-0.8243,,,
local_range_60m_pct,numeric,0.6125,0.3456,0.7675,,,
vol_anomaly_15m_vs_bg,numeric,1.4081,0.7538,0.7311,,,
local_realized_vol_30m,numeric,0.0006,0.0005,0.7238,,,
local_realized_vol_60m,numeric,0.0006,0.0005,0.668,,,
local_range_30m_pct,numeric,0.5137,0.3053,0.6602,,,
local_realized_vol_180m,numeric,0.0007,0.0005,0.6569,,,
local_realized_vol_15m,numeric,0.0006,0.0005,0.6373,,,
prior_move_15m_pct,numeric,0.1774,-0.0099,0.6278,,,
trig_flow_multiplier,numeric,3.7174,2.3685,0.6142,,,
cand_refill_with,numeric,0.4997,0.5014,-0.5908,,,
abs_dist_to_4h_mean_pct,numeric,0.2137,0.0945,0.5854,,,
prior_move_30m_pct,numeric,0.1696,-0.0228,0.5821,,,
abs_prior_move_60m_pct,numeric,0.3317,0.1735,0.5708,,,
abs_prior_move_180m_pct,numeric,0.3371,0.1598,0.5604,,,
local_range_180m_pct,numeric,0.7781,0.5041,0.5536,,,
dist_to_recent_swing_low_pct,numeric,0.4736,0.2678,0.5397,,,
cand_up_move_pct,numeric,0.001,0.0,0.5303,,,
taker_total_vol_60m,numeric,210585.0528,121607.0282,0.5186,,,
trig_break_pct,numeric,0.103,0.0751,0.4905,,,
prior_move_60m_pct,numeric,0.1752,-0.0061,0.488,,,
cand_prior_move_pct,numeric,0.0007,0.0,0.4745,,,
taker_total_vol_15m,numeric,103527.7217,51712.4727,0.4703,,,
cand_down_move_pct,numeric,0.0005,0.0001,0.4593,,,
prior_move_180m_pct,numeric,0.1561,-0.029,0.455,,,
local_range_15m_pct,numeric,0.4092,0.2889,0.4168,,,
taker_imb_aligned_15m,numeric,-0.0648,-0.1223,0.4083,,,
trig_price,numeric,69737.0389,68868.8409,0.4032,,,
zone_width_pct,numeric,0.3824,0.2597,0.3859,,,
dist_to_4h_mean_pct,numeric,0.0602,-0.0417,0.3836,,,
taker_imb_15m,numeric,0.0523,-0.0083,0.3737,,,
conf_opposite_thinning,numeric,0.5,0.5005,-0.3703,,,
cand_sell_pressure,numeric,0.6255,0.6106,0.3485,,,
abs_prior_move_30m_pct,numeric,0.2559,0.1623,0.3379,,,
conf_cycles_seen,numeric,53.3333,40.3636,0.3194,,,
opp_dir_zones_active_60m,numeric,0.0556,0.0,0.3057,,,
taker_imb_aligned_180m,numeric,-0.0394,-0.0071,-0.2735,,,
abs_prior_move_15m_pct,numeric,0.2128,0.139,0.2726,,,
conf_age_min,numeric,10.5148,8.9485,0.2592,,,
conf_defended_persistence_sec,numeric,630.8889,536.9091,0.2592,,,
score_refill,numeric,0.5001,0.5006,-0.2268,,,
cand_pressure_against,numeric,0.6271,0.6148,0.2042,,,
utc_hour,numeric,3.0,2.0909,0.1861,,,
dist_to_recent_swing_high_pct,numeric,0.3345,0.2802,0.1796,,,
taker_imb_aligned_5m,numeric,-0.1995,-0.2187,0.1784,,,
cand_absorb_score,numeric,0.6661,0.6752,-0.1732,,,
taker_imb_aligned_60m,numeric,-0.0328,-0.014,-0.1491,,,
score_absorption,numeric,0.65,0.6577,-0.1282,,,
cand_ask_refill_score,numeric,0.5008,0.5009,-0.1238,,,
cand_buy_pressure,numeric,0.6292,0.6199,0.1209,,,
is_session_open_2h,boolean,,,,61.11,72.73,-11.62
filter_kept,boolean,,,,88.89,100.0,-11.11
filter_dup_suppressed,boolean,,,,11.11,0.0,11.11
filter_fast_ok,boolean,,,,88.89,100.0,-11.11
taker_imb_aligned_30m,numeric,-0.0287,-0.0409,0.0891,,,
score_ofi,numeric,0.0849,0.0716,0.085,,,
ofi_shift_5m_vs_30m,numeric,-0.1303,-0.1553,0.0827,,,
taker_imb_30m,numeric,0.0339,0.0227,0.0818,,,
is_asia_session,boolean,,,,83.33,90.91,-7.58
taker_imb_180m,numeric,0.0326,0.0412,-0.0735,,,
same_dir_zones_active_60m,numeric,0.3333,0.2727,0.0723,,,
ofi_shift_aligned,numeric,-0.2237,-0.2375,0.0574,,,
is_us_session,boolean,,,,5.56,0.0,5.56
taker_imb_5m,numeric,-0.0584,-0.0686,0.0454,,,
total_pre_trigger_min,numeric,37.9046,36.8879,0.0418,,,
confirm_to_trigger_min,numeric,27.3898,27.9394,-0.0261,,,
taker_imb_60m,numeric,0.0376,0.0351,0.0203,,,
conf_void_score,numeric,1.0,1.0,,,,
score_liquidity_void,numeric,1.0,1.0,,,,
score_trigger,numeric,1.0,1.0,,,,
cand_range_compression,boolean,,,,100.0,100.0,0.0
sweep_reclaim_aligned,boolean,,,,100.0,100.0,0.0
trig_side_flow_ok,boolean,,,,0.0,0.0,0.0
