selector,entry_mode,stop,trades,wins,losses,timeouts,winrate_pct,expectancy_pre_cost_pct,expectancy_after_cost_pct,pf_pre_cost,pf_after_cost,total_return_pre_cost_pct,total_return_after_cost_pct,max_consecutive_losses,long_n,long_winrate_pct,long_expectancy_pre_cost_pct,short_n,short_winrate_pct,short_expectancy_pre_cost_pct,best_day,best_day_pnl_pct,worst_day,worst_day_pnl_pct
single::session_asia::top1_score,confirmed,stop_1.0,29,14,12,3,48.28,0.5274,0.3874,2.188,1.757,15.2939,11.2339,3,15,53.33,0.6779,14,42.86,0.3661,2026-03-03,2.0,2026-03-02,-1.0
single::session_asia::top1_score,confirmed,stop_1.25,29,16,10,3,55.17,0.6481,0.5081,2.405,1.979,18.7939,14.7339,3,15,60.0,0.7945,14,50.0,0.4911,2026-03-02,2.0,2026-03-04,-1.25
single::session_asia::top1_score,confirmed,stop_1.5,29,16,9,4,55.17,0.5681,0.4281,2.05,1.715,16.4759,12.4159,3,15,60.0,0.7112,14,50.0,0.4148,2026-03-02,2.0,2026-03-04,-1.5
single::session_asia::top1_score,confirmed,zone_boundary,29,2,27,0,6.9,0.0437,-0.0963,1.464,0.571,1.2672,-2.7928,17,15,13.33,0.1734,14,0.0,-0.0953,2026-03-10,2.0,2026-03-02,-0.284
single::session_asia::top1_score,trigger,stop_1.0,29,10,16,3,34.48,0.123,-0.017,1.215,0.974,3.5679,-0.4921,4,15,26.67,-0.0542,14,42.86,0.3129,2026-03-03,2.0,2026-03-02,-1.0
single::session_asia::top1_score,trigger,stop_1.25,29,12,14,3,41.38,0.2092,0.0692,1.335,1.099,6.0679,2.0079,3,15,40.0,0.2291,14,42.86,0.1879,2026-03-03,2.0,2026-03-02,-1.25
single::session_asia::top1_score,trigger,stop_1.5,29,13,11,5,44.83,0.2361,0.0961,1.354,1.13,6.8459,2.7859,3,15,46.67,0.3458,14,42.86,0.1185,2026-03-03,2.0,2026-03-02,-1.5
single::session_asia::top1_score,trigger,zone_boundary,29,3,25,1,10.34,-0.0751,-0.2151,0.739,0.474,-2.1784,-6.2384,10,15,20.0,0.1727,14,0.0,-0.3406,2026-03-10,2.0,2026-03-09,-0.8675
single::session_asia::top1_score,delay_5m,stop_1.0,29,14,12,3,48.28,0.5239,0.3839,2.187,1.747,15.1944,11.1344,3,15,53.33,0.6661,14,42.86,0.3716,2026-03-03,2.0,2026-03-02,-1.0
single::session_asia::top1_score,delay_5m,stop_1.25,29,16,10,3,55.17,0.6446,0.5046,2.405,1.968,18.6944,14.6344,3,15,60.0,0.7828,14,50.0,0.4966,2026-03-02,2.0,2026-03-04,-1.25
single::session_asia::top1_score,delay_5m,stop_1.5,29,17,7,5,58.62,0.7515,0.6115,2.717,2.246,21.7947,17.7347,3,15,60.0,0.8318,14,57.14,0.6655,2026-03-02,2.0,2026-03-04,-1.5
single::session_asia::top1_score,delay_5m,zone_boundary,29,3,26,0,10.34,0.1308,-0.0092,2.554,0.954,3.7932,-0.2668,5,15,20.0,0.3188,14,0.0,-0.0706,2026-03-10,2.0,2026-03-02,-0.3792
single::session_asia::top1_score,delay_10m,stop_1.0,29,13,14,2,44.83,0.4008,0.2608,1.807,1.455,11.6224,7.5624,3,15,46.67,0.4682,14,42.86,0.3286,2026-03-03,2.0,2026-03-02,-1.0
single::session_asia::top1_score,delay_10m,stop_1.25,29,15,12,2,51.72,0.5042,0.3642,1.95,1.609,14.6224,10.5624,3,15,53.33,0.5682,14,50.0,0.4357,2026-03-02,2.0,2026-03-04,-1.25
single::session_asia::top1_score,delay_10m,stop_1.5,29,17,9,3,58.62,0.6491,0.5091,2.239,1.876,18.8241,14.7641,3,15,60.0,0.7015,14,57.14,0.593,2026-03-02,2.0,2026-03-04,-1.5
single::session_asia::top1_score,delay_10m,zone_boundary,29,3,26,0,10.34,0.0953,-0.0447,1.757,0.812,2.7646,-1.2954,9,15,20.0,0.2773,14,0.0,-0.0997,2026-03-10,2.0,2026-03-09,-0.3102
single::session_asia::top1_score,delay_15m,stop_1.0,29,13,14,2,44.83,0.402,0.262,1.813,1.458,11.6569,7.5969,3,15,46.67,0.4614,14,42.86,0.3382,2026-03-03,2.0,2026-03-02,-1.0
single::session_asia::top1_score,delay_15m,stop_1.25,29,16,10,3,55.17,0.6242,0.4842,2.302,1.893,18.1006,14.0406,3,15,60.0,0.7781,14,50.0,0.4592,2026-03-02,2.0,2026-03-04,-1.25
single::session_asia::top1_score,delay_15m,stop_1.5,29,16,10,3,55.17,0.538,0.398,1.951,1.633,15.6006,11.5406,3,15,60.0,0.6948,14,50.0,0.3699,2026-03-02,2.0,2026-03-04,-1.5
single::session_asia::top1_score,delay_15m,zone_boundary,29,3,26,0,10.34,0.0721,-0.0679,1.48,0.741,2.0895,-1.9705,7,15,20.0,0.2544,14,0.0,-0.1233,2026-03-10,2.0,2026-03-09,-0.5603
single::not_late::nocap,confirmed,stop_1.0,925,294,552,79,31.78,0.0765,-0.0635,1.126,0.908,70.7855,-58.7145,24,455,28.35,-0.0259,470,35.11,0.1757,2026-03-18,34.0,2026-03-11,-18.0
single::not_late::nocap,confirmed,stop_1.25,925,333,490,102,36.0,0.1007,-0.0393,1.149,0.948,93.1876,-36.3124,22,455,30.99,-0.0369,470,40.85,0.234,2026-03-18,47.0,2026-03-11,-19.75
single::not_late::nocap,confirmed,stop_1.5,925,353,448,124,38.16,0.0791,-0.0609,1.106,0.926,73.1887,-56.3113,16,455,33.85,-0.0462,470,42.34,0.2005,2026-03-18,42.0,2026-03-11,-21.0
single::not_late::nocap,confirmed,zone_boundary,925,75,846,4,8.11,0.0083,-0.1317,1.052,0.54,7.657,-121.843,50,455,7.91,0.0129,470,8.3,0.0038,2026-03-10,12.3609,2026-03-06,-8.3333
single::not_late::nocap,trigger,stop_1.0,526,159,321,46,30.23,0.0344,-0.1056,1.056,0.851,18.0745,-55.5655,26,258,20.93,-0.1949,268,39.18,0.255,2026-03-18,34.0,2026-03-22,-13.4064
single::not_late::nocap,trigger,stop_1.25,526,196,269,61,37.26,0.1574,0.0174,1.242,1.024,82.7976,9.1576,18,258,30.23,-0.0213,268,44.03,0.3295,2026-03-18,38.0,2026-03-05,-12.5
single::not_late::nocap,trigger,stop_1.5,526,215,230,81,40.87,0.2108,0.0708,1.309,1.094,110.8673,37.2273,14,258,34.11,0.0239,268,47.39,0.3907,2026-03-18,36.0,2026-03-11,-13.7009
single::not_late::nocap,trigger,zone_boundary,526,97,410,19,18.44,-0.004,-0.144,0.99,0.714,-2.1244,-75.7644,46,258,15.5,-0.0585,268,21.27,0.0484,2026-03-26,13.3989,2026-03-23,-11.7638
