feature,good_mean,bad_mean,wrong_mean,d_good_vs_bad,d_long,d_short,d_h1,d_h2,good_n,bad_n
dl2_supportive_add_vol_60m,29673861.9679,38620145.1375,40469719.1722,-0.4456,-0.4468,-0.4421,-0.404,-0.5291,123,774
dl2_supportive_cancel_vol_60m,29670692.1683,38617416.1913,40466378.5116,-0.4456,-0.4468,-0.4421,-0.404,-0.5291,123,774
dl2_add_vol_ask_60m,29292093.7867,38189901.6084,39838103.8827,-0.4399,-0.4342,-0.4421,-0.4135,-0.4983,123,774
dl2_cancel_vol_ask_60m,29289443.9098,38187763.2087,39835553.8896,-0.4399,-0.4342,-0.4421,-0.4134,-0.4983,123,774
dl2_add_vol_bid_60m,30019947.9598,38453520.5335,40740948.805,-0.4261,-0.4468,-0.4012,-0.3792,-0.5152,123,774
dl2_cancel_vol_bid_60m,30017440.6273,38451847.2538,40739455.0355,-0.4261,-0.4468,-0.4012,-0.3793,-0.5152,123,774
dl2_opposing_add_vol_60m,29638179.7786,38023277.0044,40109333.5155,-0.4205,-0.4342,-0.4012,-0.3891,-0.4842,123,774
dl2_opposing_cancel_vol_60m,29636192.3688,38022194.2712,40108630.4135,-0.4205,-0.4342,-0.4012,-0.3892,-0.4842,123,774
dl2_supportive_add_vol_30m,16387074.2298,20507267.3915,21358183.2553,-0.4049,-0.3642,-0.4443,-0.3278,-0.5402,123,774
dl2_supportive_cancel_vol_30m,16384813.6805,20505563.1236,21356501.9337,-0.4049,-0.3642,-0.4443,-0.3279,-0.5403,123,774
dl2_add_vol_ask_30m,16190064.7533,20258319.0917,20962904.5865,-0.3966,-0.3471,-0.4443,-0.344,-0.498,123,774
dl2_cancel_vol_ask_30m,16188438.4811,20257284.7218,20961730.1043,-0.3966,-0.3471,-0.4443,-0.3441,-0.498,123,774
dl2_supportive_add_vol_5m_vs_avg5m_ratio,1.7352,1.2809,1.2418,0.3942,0.4157,0.3698,0.3515,0.4558,123,774
dl2_supportive_large_cancel_60m,365669.5935,446201.4729,475366.1007,-0.3893,-0.4116,-0.3633,-0.3466,-0.4872,123,774
dl2_add_vol_bid_30m,16552741.8315,20431206.1238,21430916.7486,-0.3868,-0.3642,-0.4078,-0.3046,-0.5297,123,774
dl2_cancel_vol_bid_30m,16551232.5415,20430400.0085,21430630.7237,-0.3868,-0.3642,-0.4079,-0.3047,-0.5297,123,774
dl2_supportive_large_add_60m,350926.6585,426126.7209,454276.964,-0.3854,-0.4099,-0.3568,-0.3427,-0.484,123,774
dl2_n_large_cancel_ask_60m,361912.3577,439952.9186,471702.4604,-0.3804,-0.3926,-0.3633,-0.3429,-0.4597,123,774
dl2_opposing_add_vol_30m,16355732.3549,20182257.824,21035638.0799,-0.3786,-0.3471,-0.4078,-0.3214,-0.487,123,774
dl2_opposing_cancel_vol_30m,16354857.3421,20182121.6067,21035858.8942,-0.3786,-0.3471,-0.4079,-0.3214,-0.487,123,774
dl2_n_large_add_ask_60m,347425.9919,420090.4419,451421.1367,-0.3765,-0.391,-0.3568,-0.338,-0.4576,123,774
dl2_n_cancel_ask_60m,1162210.9512,1414553.624,1521066.2014,-0.376,-0.3795,-0.37,-0.3752,-0.4531,123,774
dl2_n_cancel_bid_60m,1172279.2602,1425155.1344,1539920.9496,-0.3757,-0.3929,-0.3557,-0.3728,-0.4595,123,774
dl2_n_add_bid_60m,1159479.2927,1407706.0168,1521988.8705,-0.3733,-0.3895,-0.3544,-0.3697,-0.4613,123,774
dl2_n_large_cancel_bid_60m,368358.2114,445518.3165,480583.0432,-0.372,-0.4116,-0.3273,-0.3268,-0.4751,123,774
dl2_n_add_ask_60m,1152605.4797,1398402.4871,1504814.9137,-0.3713,-0.3754,-0.3645,-0.3717,-0.4504,123,774
dl2_n_large_add_bid_60m,353000.6585,425834.5879,459094.5036,-0.3713,-0.4099,-0.3277,-0.3221,-0.4812,123,774
dl2_supportive_cancel_vol_15m,8664893.8978,10560376.7539,11097802.7523,-0.3647,-0.261,-0.4624,-0.2628,-0.528,123,774
dl2_supportive_add_vol_15m,8666558.4185,10561395.3904,11098899.9803,-0.3646,-0.2609,-0.4622,-0.2628,-0.5277,123,774
dl2_opposing_large_cancel_60m,364600.9756,439269.7623,476919.4029,-0.363,-0.3926,-0.3273,-0.3229,-0.4478,123,774
dl2_opposing_large_add_60m,349499.9919,419798.3088,456238.6763,-0.3623,-0.391,-0.3277,-0.317,-0.455,123,774
dl2_cancel_vol_ask_15m,8578318.4507,10434886.6735,10927676.5876,-0.3541,-0.2397,-0.4624,-0.2768,-0.4854,123,774
dl2_add_vol_ask_15m,8579367.2954,10435342.196,10927989.8244,-0.354,-0.2396,-0.4622,-0.2768,-0.4852,123,774
dl2_cancel_vol_bid_15m,8754276.6448,10561879.2246,11157473.7047,-0.3528,-0.261,-0.4404,-0.2531,-0.5206,123,774
dl2_add_vol_bid_15m,8755359.2949,10562090.3761,11157491.7294,-0.3527,-0.2609,-0.4402,-0.2531,-0.5203,123,774
dl2_inband_supp_cancel_15m,8281544.8103,9946512.8012,10468185.6994,-0.3459,-0.2477,-0.4351,-0.2424,-0.5122,123,774
dl2_inband_supp_add_15m,8283967.2812,9948613.1017,10470114.5143,-0.3458,-0.2476,-0.435,-0.2424,-0.5118,123,774
dl2_inband_add_vol_30m,29169301.2256,34912700.8995,36836371.288,-0.345,-0.334,-0.3537,-0.2244,-0.5395,123,774
dl2_inband_cancel_vol_30m,29160971.8528,34903378.7651,36827280.0536,-0.345,-0.334,-0.3537,-0.2244,-0.5394,123,774
dl2_microprice_aligned_delta_60m_bps,-3.8377,18.417,-6.677,-0.3442,-0.0352,-0.6787,-0.2693,-0.4632,92,688
dl2_inband_cancel_vol_15m,16550159.2124,19814062.8598,20836594.3486,-0.3428,-0.2441,-0.433,-0.2538,-0.4945,123,774
dl2_inband_add_vol_15m,16553821.8858,19816934.4013,20838811.2118,-0.3427,-0.244,-0.4329,-0.2538,-0.4942,123,774
dl2_inband_opp_add_30m,14562932.9936,17454824.9464,18261964.7655,-0.3427,-0.3337,-0.3483,-0.2404,-0.5108,123,774
dl2_inband_opp_cancel_30m,14559555.3854,17451087.4479,18258237.8107,-0.3427,-0.3337,-0.3482,-0.2404,-0.5106,123,774
dl2_opposing_cancel_vol_15m,8667701.1976,10436389.1442,10987347.5401,-0.3421,-0.2397,-0.4404,-0.2672,-0.4766,123,774
dl2_opposing_add_vol_15m,8668168.1718,10436037.1818,10986581.5735,-0.342,-0.2396,-0.4402,-0.2671,-0.4764,123,774
dl2_inband_supp_add_30m,14606368.232,17457875.953,18574406.5225,-0.3415,-0.3288,-0.3534,-0.2053,-0.5563,123,774
dl2_inband_supp_cancel_30m,14601416.4673,17452291.3172,18569042.2429,-0.3415,-0.3287,-0.3533,-0.2053,-0.5562,123,774
dl2_inband_opp_add_60m,21757971.1721,26590059.3453,28129698.6861,-0.3337,-0.431,-0.2393,-0.3287,-0.3582,123,774
dl2_inband_opp_cancel_60m,21751161.3133,26583377.1796,28122925.9613,-0.3336,-0.4309,-0.2393,-0.3287,-0.3582,123,774
dl2_inband_opp_cancel_15m,8268614.402,9867550.0586,10368408.6492,-0.3329,-0.2356,-0.4226,-0.2613,-0.4629,123,774
dl2_inband_opp_add_15m,8269854.6046,9868321.2997,10368696.6975,-0.3328,-0.2355,-0.4225,-0.2612,-0.4627,123,774
