selector,entry_mode,stop,trades,wins,winrate_pct,expectancy_pre_cost_pct,expectancy_after_cost_pct,pf_pre_cost,pf_after_cost,total_return_after_cost_pct,max_consecutive_losses
DL2::S::dist_to_recent_swing_high_pct_le_0.4616::top1,confirmed,stop_1.5,29,17,58.62,0.6668,0.5268,2.287,1.922,15.2771,3
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_4.0::top1,delay_15m,stop_1.5,29,16,55.17,0.548,0.408,1.959,1.648,11.8313,3
DL2::S::dist_to_recent_swing_high_pct_le_0.4616::top1,confirmed,stop_1.25,29,16,55.17,0.6323,0.4923,2.307,1.909,14.2771,3
DL2::S::dist_to_recent_swing_high_pct_le_0.4616::top1,delay_5m,stop_1.5,29,16,55.17,0.5451,0.4051,1.958,1.646,11.7489,3
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_8.0::top1,delay_15m,stop_1.5,29,15,51.72,0.4598,0.3198,1.755,1.479,9.2729,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_4.0::top1,confirmed,stop_1.25,29,15,51.72,0.5563,0.4163,2.128,1.756,12.0728,3
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_4.0::top1,confirmed,stop_1.5,29,15,51.72,0.4615,0.3215,1.785,1.498,9.3228,3
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_4.0::top1,delay_5m,stop_1.25,29,15,51.72,0.5413,0.4013,2.088,1.715,11.6365,3
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_4.0::top1,delay_5m,stop_1.5,29,15,51.72,0.4464,0.3064,1.753,1.467,8.8865,3
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_4.0::top1,delay_10m,stop_1.5,29,15,51.72,0.426,0.286,1.686,1.419,8.2932,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_4.0::top1,delay_10m,stop_1.5,29,15,51.72,0.517,0.377,1.909,1.602,10.9338,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_8.0::top1,delay_10m,stop_1.5,29,15,51.72,0.5508,0.4108,2.002,1.681,11.9142,3
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_4.0::top1,delay_10m,stop_1.5,29,15,51.72,0.517,0.377,1.909,1.602,10.9338,3
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_8.0::top1,delay_10m,stop_1.5,29,15,51.72,0.5508,0.4108,2.002,1.681,11.9142,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_4.0::top1,delay_10m,stop_1.5,29,15,51.72,0.517,0.377,1.909,1.602,10.9338,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_8.0::top1,delay_10m,stop_1.5,29,15,51.72,0.5508,0.4108,2.002,1.681,11.9142,3
DL2::S::dist_to_recent_swing_high_pct_le_0.4616::top1,confirmed,stop_1.0,29,15,51.72,0.6144,0.4744,2.42,1.957,13.7578,3
DL2::S::dist_to_recent_swing_high_pct_le_0.4616::top1,delay_5m,stop_1.25,29,15,51.72,0.5193,0.3793,1.987,1.644,10.9989,4
DL2::S::dist_to_recent_swing_high_pct_le_0.4616::top1,delay_10m,stop_1.25,29,15,51.72,0.6064,0.4664,2.196,1.826,13.5265,3
DL2::S::dist_to_recent_swing_high_pct_le_0.4616::top1,delay_10m,stop_1.5,29,15,51.72,0.5116,0.3716,1.85,1.563,10.7765,3
DL2::S::dist_to_recent_swing_high_pct_le_0.4616::top1,delay_15m,stop_1.5,29,15,51.72,0.5049,0.3649,1.829,1.547,10.5826,3
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+utc_hour_le_4.0::top1,delay_10m,stop_1.5,29,15,51.72,0.517,0.377,1.909,1.602,10.9338,3
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+utc_hour_le_4.0::top1,delay_15m,stop_1.5,29,15,51.72,0.5364,0.3964,1.938,1.63,11.4944,3
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_8.0::top1,confirmed,stop_1.0,29,14,48.28,0.5545,0.4145,2.281,1.837,12.0218,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_8.0::top1,confirmed,stop_1.25,29,14,48.28,0.4604,0.3204,1.874,1.543,9.2912,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_8.0::top1,confirmed,stop_1.5,29,14,48.28,0.3656,0.2256,1.588,1.33,6.5412,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_8.0::top1,delay_5m,stop_1.25,29,14,48.28,0.4548,0.3148,1.865,1.534,9.1285,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_8.0::top1,delay_5m,stop_1.5,29,14,48.28,0.3599,0.2199,1.58,1.322,6.3785,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_8.0::top1,delay_10m,stop_1.5,29,14,48.28,0.3391,0.1991,1.519,1.278,5.7735,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_8.0::top1,delay_15m,stop_1.25,29,14,48.28,0.4397,0.2997,1.785,1.481,8.6905,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_4.0::top1,confirmed,stop_1.0,29,14,48.28,0.5477,0.4077,2.266,1.823,11.8228,3
