date,move_id,direction,start_iso,end_iso,start_price,end_price,size_pct,duration_min,secondary_1_5pct
2026-03-02,2026-03-02_M000,UP,2026-03-02T01:11:17+00:00,2026-03-02T01:11:21+00:00,65714.4,67057.2,2.0434,0.07,False
2026-03-02,2026-03-02_M001,DOWN,2026-03-02T01:11:21+00:00,2026-03-02T14:04:15+00:00,67057.2,65209.5,2.7554,772.9,False
2026-03-02,2026-03-02_M002,UP,2026-03-02T14:04:15+00:00,2026-03-02T16:46:56+00:00,65209.5,70077.4,7.465,162.68,False
2026-03-02,2026-03-02_M003,UP,2026-03-02T02:10:54+00:00,2026-03-02T03:37:43+00:00,65831.5,67006.3,1.7846,86.82,True
2026-03-02,2026-03-02_M004,UP,2026-03-02T07:20:01+00:00,2026-03-02T09:22:58+00:00,65518.1,66699.0,1.8024,122.95,True
2026-03-03,2026-03-03_M000,DOWN,2026-03-03T01:12:38+00:00,2026-03-03T09:32:02+00:00,69242.1,66314.7,4.2278,499.4,False
2026-03-03,2026-03-03_M001,UP,2026-03-03T09:32:02+00:00,2026-03-03T12:12:36+00:00,66314.7,67933.5,2.4411,160.57,False
2026-03-03,2026-03-03_M002,DOWN,2026-03-03T12:12:36+00:00,2026-03-03T14:49:25+00:00,67933.5,66073.8,2.7375,156.82,False
2026-03-03,2026-03-03_M003,UP,2026-03-03T14:49:25+00:00,2026-03-03T16:26:11+00:00,66073.8,68952.8,4.3572,96.77,False
2026-03-03,2026-03-03_M004,DOWN,2026-03-03T16:26:11+00:00,2026-03-03T16:43:33+00:00,68952.8,67433.1,2.204,17.37,False
2026-03-03,2026-03-03_M005,DOWN,2026-03-03T18:37:17+00:00,2026-03-03T21:27:41+00:00,68908.1,67778.8,1.6388,170.4,True
2026-03-04,2026-03-04_M000,DOWN,2026-03-04T01:42:34+00:00,2026-03-04T03:36:31+00:00,68877.0,67358.1,2.2052,113.95,False
2026-03-04,2026-03-04_M001,UP,2026-03-04T03:36:31+00:00,2026-03-04T19:20:55+00:00,67358.1,74030.0,9.9051,944.4,False
2026-03-04,2026-03-04_M002,UP,2026-03-04T01:42:20+00:00,2026-03-04T01:42:34+00:00,67814.3,68877.0,1.5671,0.23,True
2026-03-04,2026-03-04_M003,DOWN,2026-03-04T09:51:34+00:00,2026-03-04T12:31:00+00:00,71877.9,70564.1,1.8278,159.43,True
2026-03-04,2026-03-04_M004,DOWN,2026-03-04T14:32:26+00:00,2026-03-04T14:45:53+00:00,72621.0,71259.0,1.8755,13.45,True
2026-03-05,2026-03-05_M000,DOWN,2026-03-05T01:13:36+00:00,2026-03-05T08:27:31+00:00,73280.9,71718.7,2.1318,433.92,False
2026-03-05,2026-03-05_M001,UP,2026-03-05T08:27:31+00:00,2026-03-05T10:52:53+00:00,71718.7,73526.0,2.52,145.37,False
2026-03-08,2026-03-08_M000,UP,2026-03-08T09:17:07+00:00,2026-03-08T10:25:23+00:00,66510.6,68167.6,2.4913,68.27,False
2026-03-09,2026-03-09_M000,DOWN,2026-03-09T05:51:14+00:00,2026-03-09T07:19:03+00:00,68030.0,66833.2,1.7592,87.82,True
2026-03-09,2026-03-09_M001,DOWN,2026-03-09T09:43:37+00:00,2026-03-09T11:21:08+00:00,68425.6,67286.3,1.665,97.52,True
2026-03-09,2026-03-09_M002,DOWN,2026-03-09T14:41:33+00:00,2026-03-09T18:08:34+00:00,69460.0,68210.0,1.7996,207.02,True
2026-03-09,2026-03-09_M003,UP,2026-03-09T18:08:34+00:00,2026-03-09T19:30:12+00:00,68210.0,69547.6,1.961,81.63,True
2026-03-10,2026-03-10_M000,UP,2026-03-10T02:30:17+00:00,2026-03-10T09:32:45+00:00,68350.9,71262.3,4.2595,422.47,False
2026-03-10,2026-03-10_M001,DOWN,2026-03-10T09:32:45+00:00,2026-03-10T14:16:29+00:00,71262.3,69250.0,2.8238,283.73,False
2026-03-10,2026-03-10_M002,UP,2026-03-10T14:16:29+00:00,2026-03-10T15:04:59+00:00,69250.0,71755.2,3.6176,48.5,False
2026-03-10,2026-03-10_M003,DOWN,2026-03-10T02:49:52+00:00,2026-03-10T03:51:25+00:00,70550.0,69340.0,1.7151,61.55,True
2026-03-11,2026-03-11_M000,UP,2026-03-11T04:53:17+00:00,2026-03-11T13:40:11+00:00,68944.4,71055.3,3.0617,526.9,False
2026-03-11,2026-03-11_M001,DOWN,2026-03-11T13:40:11+00:00,2026-03-11T15:32:03+00:00,71055.3,69618.0,2.0228,111.87,False
