selector,selected_n,alerts_per_day,good_n,bad_n,wrong_n,missed_n,noisy_n,precision_pct,recall_pct,wrong_rate_pct,long_n,long_precision_pct,short_n,short_precision_pct,h1_n,h1_precision_pct,h2_n,h2_precision_pct,avg_lead_min,median_lead_min,max_consecutive_bad
dir::LONG+filter_kept+not_late+ofi_pos::nocap,2,0.069,2,0,0,0,0,100.0,1.63,0.0,2,100.0,0,,0,,2,100.0,44.66,44.66,0
dir::LONG+filter_kept+not_late+ofi_pos::top1_score,2,0.069,2,0,0,0,0,100.0,1.63,0.0,2,100.0,0,,0,,2,100.0,44.66,44.66,0
dir::LONG+filter_kept+not_late+ofi_pos::top2_score,2,0.069,2,0,0,0,0,100.0,1.63,0.0,2,100.0,0,,0,,2,100.0,44.66,44.66,0
dir::LONG+filter_kept+not_late+ofi_pos::top1perdir_score,2,0.069,2,0,0,0,0,100.0,1.63,0.0,2,100.0,0,,0,,2,100.0,44.66,44.66,0
single::session_asia::top1_score,29,1.0,12,14,1,13,1,41.38,9.76,3.45,15,46.67,14,35.71,14,42.86,15,40.0,102.55,84.0,5
single::range180_very_low::top1_score,28,0.966,11,16,2,14,1,39.29,8.94,7.14,13,46.15,15,33.33,13,38.46,15,40.0,92.43,80.02,5
quad::filter_kept+opp_eq0+not_late+ofi_aligned_pos::top1_score,8,0.276,3,3,0,3,1,37.5,2.44,0.0,2,100.0,6,16.67,4,0.0,4,75.0,48.77,56.98,5
quad::filter_kept+opp_eq0+not_late+ofi_aligned_pos::top1perdir_score,8,0.276,3,3,0,3,1,37.5,2.44,0.0,2,100.0,6,16.67,4,0.0,4,75.0,48.77,56.98,5
quad::filter_kept+not_late+zone_width_le04+ofi_aligned_pos::top1_score,8,0.276,3,4,0,4,1,37.5,2.44,0.0,2,100.0,6,16.67,3,0.0,5,60.0,48.77,56.98,4
quad::filter_kept+not_late+zone_width_le04+ofi_aligned_pos::top1perdir_score,8,0.276,3,4,0,4,1,37.5,2.44,0.0,2,100.0,6,16.67,3,0.0,5,60.0,48.77,56.98,4
single::opp_eq0::top1_score,29,1.0,10,15,1,14,1,34.48,8.13,3.45,14,28.57,15,40.0,14,42.86,15,26.67,105.3,75.92,4
single::not_during_opp::top1_score,29,1.0,10,15,1,14,1,34.48,8.13,3.45,16,31.25,13,38.46,14,42.86,15,26.67,105.79,75.92,5
single::ctt_le30::top1_score,29,1.0,10,16,2,14,0,34.48,8.13,6.9,14,35.71,15,33.33,14,42.86,15,26.67,110.57,94.52,5
pair::filter_kept+not_during_opp::top1_score,29,1.0,10,15,1,14,1,34.48,8.13,3.45,16,31.25,13,38.46,14,42.86,15,26.67,105.79,75.92,5
pair::opp_eq0+not_late::top1_score,29,1.0,10,15,1,14,1,34.48,8.13,3.45,14,28.57,15,40.0,14,42.86,15,26.67,105.3,75.92,4
pair::opp_eq0+not_during_opp::top1_score,29,1.0,10,15,0,15,1,34.48,8.13,0.0,14,28.57,15,40.0,14,42.86,15,26.67,105.3,75.92,4
pair::not_late+not_during_opp::top1_score,29,1.0,10,15,1,14,1,34.48,8.13,3.45,16,31.25,13,38.46,14,42.86,15,26.67,105.79,75.92,5
pair::sweep_reclaim+not_during_opp::top1_score,29,1.0,10,15,1,14,1,34.48,8.13,3.45,16,31.25,13,38.46,14,42.86,15,26.67,105.79,75.92,5
triple::filter_kept+not_late+not_during_opp::top1_score,29,1.0,10,15,1,14,1,34.48,8.13,3.45,16,31.25,13,38.46,14,42.86,15,26.67,105.79,75.92,5
triple::filter_kept+ctt_le60+not_during_opp::top1_score,29,1.0,10,15,1,14,1,34.48,8.13,3.45,16,31.25,13,38.46,14,42.86,15,26.67,105.79,75.92,5
triple::filter_kept+sweep_reclaim+not_during_opp::top1_score,29,1.0,10,15,1,14,1,34.48,8.13,3.45,16,31.25,13,38.46,14,42.86,15,26.67,105.79,75.92,5
triple::not_late+not_during_opp+sweep_reclaim::top1_score,29,1.0,10,15,1,14,1,34.48,8.13,3.45,16,31.25,13,38.46,14,42.86,15,26.67,105.79,75.92,5
quad::filter_kept+not_late+not_during_opp+sweep_reclaim::top1_score,29,1.0,10,15,1,14,1,34.48,8.13,3.45,16,31.25,13,38.46,14,42.86,15,26.67,105.79,75.92,5
quad::filter_kept+opp_eq0+not_late+ofi_aligned_pos::nocap,9,0.31,3,4,0,4,1,33.33,2.44,0.0,2,100.0,7,14.29,5,0.0,4,75.0,48.77,56.98,6
quad::filter_kept+opp_eq0+not_late+ofi_aligned_pos::top2_score,9,0.31,3,4,0,4,1,33.33,2.44,0.0,2,100.0,7,14.29,5,0.0,4,75.0,48.77,56.98,6
quad::filter_kept+not_late+zone_width_le04+ofi_aligned_pos::nocap,9,0.31,3,5,0,5,1,33.33,2.44,0.0,2,100.0,7,14.29,4,0.0,5,60.0,48.77,56.98,5
quad::filter_kept+not_late+zone_width_le04+ofi_aligned_pos::top2_score,9,0.31,3,5,0,5,1,33.33,2.44,0.0,2,100.0,7,14.29,4,0.0,5,60.0,48.77,56.98,5
