selector,kind,selected_n,alerts_per_day,good_n,wrong_n,precision_pct,recall_pct,wrong_rate_pct,h1_precision_pct,h2_precision_pct,long_precision_pct,short_precision_pct,avg_lead_min,median_lead_min
L2::S::cand_pressure_against_ge_0.5579,single,835,28.793,101,109,12.1,82.11,13.05,13.38,10.85,12.41,11.81,93.07,87.37
L2::S::cand_pressure_against_ge_0.5579::top1,single+top1,29,1.0,4,1,13.79,3.25,3.45,14.29,13.33,25.0,5.88,139.58,158.75
L2::S::cand_pressure_against_ge_0.5579::top2,single+top2,58,2.0,11,3,18.97,8.94,5.17,17.86,20.0,24.14,13.79,101.16,101.07
L2::S::cand_pressure_against_le_0.5579,single,209,7.207,22,30,10.53,17.89,14.35,12.63,8.77,12.26,8.74,111.78,82.33
L2::S::cand_pressure_against_le_0.5579::top1,single+top1,29,1.0,4,4,13.79,3.25,13.79,7.14,20.0,9.09,16.67,133.46,135.97
L2::S::cand_pressure_against_le_0.5579::top2,single+top2,57,1.966,8,7,14.04,6.5,12.28,17.86,10.34,13.64,14.29,117.9,84.89
L2::S::cand_pressure_against_ge_0.572,single,627,21.621,78,86,12.44,63.41,13.72,14.52,10.41,13.36,11.56,90.57,86.19
L2::S::cand_pressure_against_ge_0.572::top1,single+top1,29,1.0,4,0,13.79,3.25,0.0,14.29,13.33,27.27,5.56,139.58,158.75
L2::S::cand_pressure_against_ge_0.572::top2,single+top2,58,2.0,11,1,18.97,8.94,1.72,17.86,20.0,26.92,12.5,101.16,101.07
L2::S::cand_pressure_against_le_0.572,single,417,14.379,45,53,10.79,36.59,12.71,11.22,10.41,10.95,10.65,106.53,87.97
L2::S::cand_pressure_against_le_0.572::top1,single+top1,29,1.0,5,3,17.24,4.07,10.34,7.14,26.67,7.14,26.67,136.42,185.05
L2::S::cand_pressure_against_le_0.572::top2,single+top2,58,2.0,10,7,17.24,8.13,12.07,17.86,16.67,11.54,21.88,111.3,76.34
L2::S::cand_pressure_against_ge_0.5921,single,418,14.414,54,58,12.92,43.9,13.88,15.35,10.65,14.71,11.21,81.46,62.38
L2::S::cand_pressure_against_ge_0.5921::top1,single+top1,29,1.0,4,0,13.79,3.25,0.0,21.43,6.67,28.57,0.0,97.0,96.09
L2::S::cand_pressure_against_ge_0.5921::top2,single+top2,58,2.0,13,1,22.41,10.57,1.72,21.43,23.33,33.33,10.71,94.89,92.63
L2::S::cand_pressure_against_le_0.5921,single,626,21.586,70,81,11.18,56.91,12.94,12.13,10.28,10.86,11.49,107.06,88.06
L2::S::cand_pressure_against_le_0.5921::top1,single+top1,29,1.0,3,2,10.34,2.44,6.9,0.0,20.0,7.14,13.33,150.5,189.6
L2::S::cand_pressure_against_le_0.5921::top2,single+top2,58,2.0,8,6,13.79,6.5,10.34,10.71,16.67,14.81,12.9,115.43,116.47
L2::S::cand_pressure_against_ge_0.6289,single,210,7.241,29,23,13.81,23.58,10.95,16.48,11.76,16.49,11.5,70.7,56.72
L2::S::cand_pressure_against_ge_0.6289::top1,single+top1,29,1.0,4,0,13.79,3.25,0.0,21.43,6.67,21.43,6.67,76.98,56.05
L2::S::cand_pressure_against_ge_0.6289::top2,single+top2,58,2.0,14,2,24.14,11.38,3.45,32.14,16.67,25.0,23.08,74.42,56.05
L2::S::cand_pressure_against_le_0.6289,single,834,28.759,94,116,11.27,76.42,13.91,12.5,10.05,11.44,11.11,104.35,88.47
L2::S::cand_pressure_against_le_0.6289::top1,single+top1,29,1.0,4,2,13.79,3.25,6.9,7.14,20.0,15.38,12.5,141.02,158.75
L2::S::cand_pressure_against_le_0.6289::top2,single+top2,58,2.0,7,6,12.07,5.69,10.34,3.57,20.0,11.54,12.5,142.75,176.55
L2::S::cand_buy_pressure_ge_0.558,single,429,14.793,51,58,11.89,41.46,13.52,11.43,12.33,,11.89,93.22,63.88
L2::S::cand_buy_pressure_ge_0.558::top1,single+top1,29,1.0,2,0,6.9,1.63,0.0,0.0,13.33,,6.9,169.38,169.38
L2::S::cand_buy_pressure_ge_0.558::top2,single+top2,58,2.0,6,3,10.34,4.88,5.17,7.14,13.33,,10.34,111.36,114.6
L2::S::cand_buy_pressure_le_0.558,single,107,3.69,9,16,8.41,7.32,14.95,8.0,8.77,,8.41,104.69,81.0
L2::S::cand_buy_pressure_le_0.558::top1,single+top1,27,0.931,4,5,14.81,3.25,18.52,15.38,14.29,,14.81,94.32,68.99
L2::S::cand_buy_pressure_le_0.558::top2,single+top2,52,1.793,5,8,9.62,4.07,15.38,12.0,7.41,,9.62,91.66,81.0
L2::S::cand_buy_pressure_ge_0.5716,single,322,11.103,38,49,11.8,30.89,15.22,12.74,10.91,,11.8,92.33,75.15
L2::S::cand_buy_pressure_ge_0.5716::top1,single+top1,29,1.0,2,0,6.9,1.63,0.0,0.0,13.33,,6.9,169.38,169.38
L2::S::cand_buy_pressure_ge_0.5716::top2,single+top2,58,2.0,7,3,12.07,5.69,5.17,10.71,13.33,,12.07,109.03,87.97
L2::S::cand_buy_pressure_le_0.5716,single,214,7.379,23,25,10.75,18.7,11.68,8.74,12.61,,10.75,98.95,81.0
L2::S::cand_buy_pressure_le_0.5716::top1,single+top1,29,1.0,6,5,20.69,4.88,17.24,21.43,20.0,,20.69,102.25,72.47
L2::S::cand_buy_pressure_le_0.5716::top2,single+top2,57,1.966,10,7,17.54,8.13,12.28,17.86,17.24,,17.54,112.04,84.48
L2::S::cand_buy_pressure_ge_0.592,single,215,7.414,25,32,11.63,20.33,14.88,13.33,10.0,,11.63,80.84,60.88
L2::S::cand_buy_pressure_ge_0.592::top1,single+top1,29,1.0,1,1,3.45,0.81,3.45,0.0,6.67,,3.45,149.15,149.15
L2::S::cand_buy_pressure_ge_0.592::top2,single+top2,58,2.0,7,4,12.07,5.69,6.9,14.29,10.0,,12.07,61.35,40.87
L2::S::cand_buy_pressure_le_0.592,single,321,11.069,36,42,11.21,29.27,13.08,9.68,12.65,,11.21,105.76,87.19
L2::S::cand_buy_pressure_le_0.592::top1,single+top1,29,1.0,4,3,13.79,3.25,10.34,7.14,20.0,,13.79,131.37,138.78
L2::S::cand_buy_pressure_le_0.592::top2,single+top2,58,2.0,9,7,15.52,7.32,12.07,14.29,16.67,,15.52,91.16,56.98
L2::S::cand_buy_pressure_ge_0.6299,single,108,3.724,13,11,12.04,10.57,10.19,12.24,11.86,,12.04,76.25,60.88
L2::S::cand_buy_pressure_ge_0.6299::top1,single+top1,29,1.0,4,0,13.79,3.25,0.0,14.29,13.33,,13.79,88.98,86.11
L2::S::cand_buy_pressure_ge_0.6299::top2,single+top2,56,1.931,8,3,14.29,6.5,5.36,15.38,13.33,,14.29,79.79,62.38
L2::S::cand_buy_pressure_le_0.6299,single,428,14.759,47,64,10.98,38.21,14.95,10.43,11.52,,10.98,100.11,86.42
L2::S::cand_buy_pressure_le_0.6299::top1,single+top1,29,1.0,4,3,13.79,3.25,10.34,7.14,20.0,,13.79,131.37,138.78
L2::S::cand_buy_pressure_le_0.6299::top2,single+top2,58,2.0,8,5,13.79,6.5,8.62,10.71,16.67,,13.79,105.3,87.97
L2::S::cand_sell_pressure_ge_0.5575,single,407,14.034,50,50,12.29,40.65,12.29,15.42,9.22,12.29,,92.91,94.81
L2::S::cand_sell_pressure_ge_0.5575::top1,single+top1,29,1.0,6,4,20.69,4.88,13.79,28.57,13.33,20.69,,82.09,71.93
