selector,entry_mode,stop,trades,wins,winrate_pct,expectancy_pre_cost_pct,expectancy_after_cost_pct,pf_pre_cost,pf_after_cost,max_consecutive_losses
L2::P::taker_total_vol_15m_le_69071.8+dist_to_recent_swing_high_pct_le_0.321::top1,confirmed,stop_1.5,25,14,56.0,0.5817,0.4417,2.052,1.725,3
L2::P::taker_total_vol_15m_le_69071.8+dist_to_recent_swing_high_pct_le_0.321::top1,delay_15m,stop_1.5,25,14,56.0,0.5906,0.4506,2.073,1.743,4
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_-0.0591::top1,delay_10m,stop_1.5,27,15,55.56,0.5106,0.3706,1.85,1.559,4
L2::P::taker_total_vol_15m_le_105386.84+dist_to_recent_swing_high_pct_le_0.321::top1,confirmed,stop_1.5,27,15,55.56,0.6249,0.4849,2.25,1.871,3
L2::P::local_range_180m_pct_le_1.0518+dist_to_recent_swing_high_pct_le_0.321::top1,confirmed,stop_1.5,27,15,55.56,0.6018,0.4618,2.151,1.796,3
L2::P::taker_total_vol_60m_le_291971.48+dist_to_recent_swing_high_pct_le_0.321::top1,confirmed,stop_1.5,27,15,55.56,0.6018,0.4618,2.151,1.796,3
L2::P::taker_total_vol_15m_le_105386.84+taker_imb_aligned_60m_le_-0.0591::top1,delay_10m,stop_1.5,29,16,55.17,0.5413,0.4013,1.963,1.642,7
L2::P::taker_total_vol_15m_le_69071.8+dist_to_recent_swing_high_pct_le_0.321::top1,confirmed,stop_1.25,25,13,52.0,0.5417,0.4017,2.056,1.699,4
L2::P::taker_total_vol_15m_le_69071.8+dist_to_recent_swing_high_pct_le_0.321::top1,delay_5m,stop_1.25,25,13,52.0,0.5477,0.4077,2.085,1.72,4
L2::P::taker_total_vol_15m_le_69071.8+dist_to_recent_swing_high_pct_le_0.321::top1,delay_5m,stop_1.5,25,13,52.0,0.4477,0.3077,1.74,1.462,4
L2::P::taker_total_vol_15m_le_69071.8+dist_to_recent_swing_high_pct_le_0.321::top1,delay_10m,stop_1.5,25,13,52.0,0.4421,0.3021,1.718,1.446,4
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_-0.0591::top1,delay_15m,stop_1.5,27,14,51.85,0.3809,0.2409,1.58,1.333,4
L2::P::taker_total_vol_15m_le_105386.84+dist_to_recent_swing_high_pct_le_0.321::top1,confirmed,stop_1.25,27,14,51.85,0.5786,0.4386,2.226,1.821,4
L2::P::taker_total_vol_15m_le_105386.84+dist_to_recent_swing_high_pct_le_0.321::top1,delay_15m,stop_1.5,27,14,51.85,0.5081,0.3681,1.926,1.603,4
L2::P::local_range_180m_pct_le_1.0518+dist_to_recent_swing_high_pct_le_0.321::top1,confirmed,stop_1.25,27,14,51.85,0.5647,0.4247,2.162,1.775,4
L2::P::local_range_180m_pct_le_1.0518+dist_to_recent_swing_high_pct_le_0.321::top1,delay_15m,stop_1.5,27,14,51.85,0.49,0.35,1.865,1.556,4
L2::P::taker_total_vol_60m_le_291971.48+dist_to_recent_swing_high_pct_le_0.321::top1,confirmed,stop_1.25,27,14,51.85,0.5647,0.4247,2.162,1.775,4
L2::P::taker_total_vol_60m_le_291971.48+dist_to_recent_swing_high_pct_le_0.321::top1,delay_15m,stop_1.5,27,14,51.85,0.49,0.35,1.865,1.556,4
L2::P::taker_total_vol_15m_le_105386.84+taker_imb_aligned_60m_le_-0.0591::top1,delay_10m,stop_1.25,29,15,51.72,0.5154,0.3754,1.993,1.64,7
L2::P::taker_total_vol_15m_le_105386.84+taker_imb_aligned_60m_le_-0.0591::top1,delay_15m,stop_1.5,29,15,51.72,0.4223,0.2823,1.69,1.415,7
L2::S::taker_total_vol_15m_le_55572.16::top1,confirmed,stop_1.5,29,14,48.28,0.4503,0.3103,1.776,1.483,4
L2::S::taker_total_vol_15m_le_55572.16::top1,delay_10m,stop_1.5,29,14,48.28,0.5037,0.3637,1.942,1.609,3
L2::S::taker_total_vol_15m_le_55572.16::top1,delay_15m,stop_1.5,29,14,48.28,0.5053,0.3653,1.941,1.609,4
L2::P::taker_total_vol_15m_le_105386.84+taker_imb_aligned_60m_le_-0.0591::top1,delay_5m,stop_1.25,29,14,48.28,0.4305,0.2905,1.797,1.478,7
L2::P::taker_total_vol_15m_le_105386.84+taker_imb_aligned_60m_le_-0.0591::top1,delay_5m,stop_1.5,29,14,48.28,0.3356,0.1956,1.529,1.279,7
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_-0.0591::top1,delay_10m,stop_1.25,27,13,48.15,0.3624,0.2224,1.604,1.33,7
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_0.0189::top1,delay_10m,stop_1.5,27,13,48.15,0.4232,0.2832,1.705,1.427,3
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_0.0189::top1,delay_15m,stop_1.5,27,13,48.15,0.4451,0.3051,1.741,1.46,5
L2::P::taker_total_vol_15m_le_105386.84+dist_to_recent_swing_high_pct_le_0.321::top1,delay_5m,stop_1.25,27,13,48.15,0.4786,0.3386,1.955,1.601,4
L2::P::taker_total_vol_15m_le_105386.84+dist_to_recent_swing_high_pct_le_0.321::top1,delay_5m,stop_1.5,27,13,48.15,0.386,0.246,1.65,1.375,4
L2::P::taker_total_vol_15m_le_105386.84+dist_to_recent_swing_high_pct_le_0.321::top1,delay_10m,stop_1.5,27,13,48.15,0.3744,0.2344,1.619,1.348,4
L2::P::local_range_180m_pct_le_1.0518+dist_to_recent_swing_high_pct_le_0.321::top1,delay_5m,stop_1.25,27,13,48.15,0.4661,0.3261,1.907,1.566,4
L2::P::local_range_180m_pct_le_1.0518+dist_to_recent_swing_high_pct_le_0.321::top1,delay_5m,stop_1.5,27,13,48.15,0.3642,0.2242,1.592,1.331,4
L2::P::local_range_180m_pct_le_1.0518+dist_to_recent_swing_high_pct_le_0.321::top1,delay_10m,stop_1.5,27,13,48.15,0.3505,0.2105,1.557,1.302,4
L2::P::taker_total_vol_60m_le_291971.48+dist_to_recent_swing_high_pct_le_0.321::top1,delay_5m,stop_1.25,27,13,48.15,0.4661,0.3261,1.907,1.566,4
L2::P::taker_total_vol_60m_le_291971.48+dist_to_recent_swing_high_pct_le_0.321::top1,delay_5m,stop_1.5,27,13,48.15,0.3642,0.2242,1.592,1.331,4
L2::P::taker_total_vol_60m_le_291971.48+dist_to_recent_swing_high_pct_le_0.321::top1,delay_10m,stop_1.5,27,13,48.15,0.3505,0.2105,1.557,1.302,4
L2::P::taker_total_vol_15m_le_69071.8+dist_to_recent_swing_high_pct_le_0.321::top1,delay_10m,stop_1.25,25,12,48.0,0.4121,0.2721,1.728,1.43,4
L2::P::taker_total_vol_15m_le_69071.8+dist_to_recent_swing_high_pct_le_0.321::top1,delay_15m,stop_1.25,25,12,48.0,0.4206,0.2806,1.75,1.447,4
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.5848::top1,delay_10m,stop_1.25,22,10,45.45,0.4344,0.2944,1.809,1.49,4
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.5848::top1,delay_10m,stop_1.5,22,10,45.45,0.3321,0.1921,1.52,1.273,4
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.5848::top1,delay_15m,stop_1.25,22,10,45.45,0.4385,0.2985,1.822,1.5,4
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.5848::top1,delay_15m,stop_1.5,22,10,45.45,0.3363,0.1963,1.529,1.28,4
L2::S::taker_total_vol_15m_le_55572.16::top1,confirmed,stop_1.25,29,13,44.83,0.433,0.293,1.819,1.492,4
L2::S::taker_total_vol_15m_le_55572.16::top1,delay_5m,stop_1.5,29,13,44.83,0.3922,0.2522,1.684,1.398,2
L2::S::taker_total_vol_15m_le_55572.16::top1,delay_10m,stop_1.25,29,13,44.83,0.4778,0.3378,1.972,1.604,4
L2::S::taker_total_vol_15m_le_55572.16::top1,delay_15m,stop_1.25,29,13,44.83,0.4795,0.3395,1.971,1.605,4
L2::P::taker_total_vol_15m_le_105386.84+taker_imb_aligned_60m_le_-0.0591::top1,confirmed,stop_1.25,29,13,44.83,0.3979,0.2579,1.734,1.419,7
L2::P::taker_total_vol_15m_le_105386.84+taker_imb_aligned_60m_le_-0.0591::top1,confirmed,stop_1.5,29,13,44.83,0.3031,0.1631,1.476,1.23,7
L2::P::taker_total_vol_15m_le_105386.84+taker_imb_aligned_60m_le_-0.0591::top1,delay_15m,stop_1.25,29,13,44.83,0.293,0.153,1.485,1.225,7
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_-0.0591::top1,confirmed,stop_1.5,27,12,44.44,0.2624,0.1224,1.39,1.164,4
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_-0.0591::top1,delay_5m,stop_1.25,27,12,44.44,0.2626,0.1226,1.419,1.174,7
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_-0.0591::top1,delay_5m,stop_1.5,27,12,44.44,0.1515,0.0115,1.205,1.014,7
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_0.0189::top1,delay_5m,stop_1.5,27,12,44.44,0.3365,0.1965,1.537,1.283,3
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_0.0189::top1,delay_10m,stop_1.25,27,12,44.44,0.3955,0.2555,1.714,1.411,5
L2::P::taker_total_vol_15m_le_105386.84+dist_to_recent_swing_high_pct_le_0.321::top1,confirmed,stop_1.0,27,12,44.44,0.409,0.269,1.829,1.475,4
L2::P::taker_total_vol_15m_le_105386.84+dist_to_recent_swing_high_pct_le_0.321::top1,delay_10m,stop_1.25,27,12,44.44,0.3466,0.2066,1.62,1.327,4
L2::P::taker_total_vol_15m_le_105386.84+dist_to_recent_swing_high_pct_le_0.321::top1,delay_15m,stop_1.25,27,12,44.44,0.3507,0.2107,1.629,1.334,4
L2::P::local_range_180m_pct_le_1.0518+dist_to_recent_swing_high_pct_le_0.321::top1,confirmed,stop_1.0,27,12,44.44,0.409,0.269,1.829,1.475,4
L2::P::local_range_180m_pct_le_1.0518+dist_to_recent_swing_high_pct_le_0.321::top1,delay_10m,stop_1.25,27,12,44.44,0.3319,0.1919,1.579,1.297,4
L2::P::local_range_180m_pct_le_1.0518+dist_to_recent_swing_high_pct_le_0.321::top1,delay_15m,stop_1.25,27,12,44.44,0.3418,0.2018,1.603,1.316,4
L2::P::taker_total_vol_60m_le_291971.48+dist_to_recent_swing_high_pct_le_0.321::top1,confirmed,stop_1.0,27,12,44.44,0.409,0.269,1.829,1.475,4
L2::P::taker_total_vol_60m_le_291971.48+dist_to_recent_swing_high_pct_le_0.321::top1,delay_10m,stop_1.25,27,12,44.44,0.3319,0.1919,1.579,1.297,4
L2::P::taker_total_vol_60m_le_291971.48+dist_to_recent_swing_high_pct_le_0.321::top1,delay_15m,stop_1.25,27,12,44.44,0.3418,0.2018,1.603,1.316,4
L2::P::taker_total_vol_15m_le_69071.8+dist_to_recent_swing_high_pct_le_0.321::top1,confirmed,stop_1.0,25,11,44.0,0.4017,0.2617,1.815,1.463,4
L2::S::taker_total_vol_15m_le_55572.16::top1,confirmed,stop_1.0,29,12,41.38,0.433,0.293,1.942,1.551,4
L2::S::taker_total_vol_15m_le_55572.16::top1,delay_5m,stop_1.25,29,12,41.38,0.375,0.235,1.719,1.4,4
L2::S::taker_total_vol_15m_le_55572.16::top1,delay_15m,stop_1.0,29,12,41.38,0.4391,0.2991,1.944,1.556,4
L2::P::taker_total_vol_15m_le_105386.84+taker_imb_aligned_60m_le_-0.0591::top1,confirmed,stop_1.0,29,12,41.38,0.365,0.225,1.721,1.385,8
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.5848::top1,confirmed,stop_1.25,22,9,40.91,0.2875,0.1475,1.482,1.221,5
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.5848::top1,confirmed,stop_1.5,22,9,40.91,0.1738,0.0338,1.245,1.043,5
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.5848::top1,delay_5m,stop_1.25,22,9,40.91,0.2995,0.1595,1.506,1.241,5
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.5848::top1,delay_5m,stop_1.5,22,9,40.91,0.1859,0.0459,1.264,1.059,5
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_-0.0591::top1,confirmed,stop_1.25,27,11,40.74,0.2439,0.1039,1.395,1.149,7
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_-0.0591::top1,delay_15m,stop_1.25,27,11,40.74,0.1216,-0.0184,1.175,0.976,7
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_0.0189::top1,confirmed,stop_1.25,27,11,40.74,0.3163,0.1763,1.553,1.274,5
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_0.0189::top1,confirmed,stop_1.5,27,11,40.74,0.2144,0.0744,1.318,1.1,5
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_0.0189::top1,delay_5m,stop_1.25,27,11,40.74,0.3088,0.1688,1.532,1.259,5
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_0.0189::top1,delay_15m,stop_1.25,27,11,40.74,0.297,0.157,1.494,1.233,5
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.4406::top1,delay_5m,stop_1.5,27,11,40.74,0.0656,-0.0744,1.083,0.914,7
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.4406::top1,delay_10m,stop_1.5,27,11,40.74,0.1552,0.0152,1.211,1.019,4
L2::P::taker_total_vol_15m_le_69071.8+dist_to_recent_swing_high_pct_le_0.321::top1,delay_15m,stop_1.0,25,10,40.0,0.2906,0.1506,1.548,1.247,4
L2::S::taker_total_vol_15m_le_55572.16::top1,delay_5m,stop_1.0,29,11,37.93,0.3388,0.1988,1.696,1.355,4
L2::S::taker_total_vol_15m_le_55572.16::top1,delay_10m,stop_1.0,29,11,37.93,0.3331,0.1931,1.669,1.336,4
L2::P::taker_total_vol_15m_le_105386.84+taker_imb_aligned_60m_le_-0.0591::top1,delay_5m,stop_1.0,29,11,37.93,0.2149,0.0749,1.392,1.119,8
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_-0.0591::top1,confirmed,stop_1.0,27,10,37.04,0.2439,0.1039,1.448,1.166,9
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_0.0189::top1,confirmed,stop_1.0,27,10,37.04,0.307,0.167,1.606,1.286,5
L2::P::taker_total_vol_15m_le_105386.84+dist_to_recent_swing_high_pct_le_0.321::top1,delay_15m,stop_1.0,27,10,37.04,0.195,0.055,1.345,1.085,4
L2::P::local_range_180m_pct_le_1.0518+dist_to_recent_swing_high_pct_le_0.321::top1,delay_15m,stop_1.0,27,10,37.04,0.195,0.055,1.345,1.085,4
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.4406::top1,delay_5m,stop_1.25,27,10,37.04,0.0748,-0.0652,1.106,0.918,7
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.4406::top1,delay_10m,stop_1.25,27,10,37.04,0.1552,0.0152,1.235,1.021,6
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.4406::top1,delay_15m,stop_1.25,27,10,37.04,0.1623,0.0223,1.248,1.03,6
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.4406::top1,delay_15m,stop_1.5,27,10,37.04,0.0327,-0.1073,1.042,0.876,6
L2::P::taker_total_vol_60m_le_291971.48+dist_to_recent_swing_high_pct_le_0.321::top1,delay_15m,stop_1.0,27,10,37.04,0.195,0.055,1.345,1.085,4
