zone_id,spread_bps,best_bid,best_ask,mid,top1_bid_amount,top1_ask_amount,top5_bid_sum,top5_ask_sum,top20_bid_sum,top20_ask_sum,top5_imbalance,top20_imbalance,microprice,microprice_dev_bps,update_rate_30s
BTC-USDT-SWAP-LONG-1772409634000-1,0.015,65910.5,65910.6,65910.55,356.65,16.68,364.4,16.74,378.7,17.47,0.9122,0.9118,65910.6,0.007,1738.53
BTC-USDT-SWAP-LONG-1772410803000-4,0.015,65915.0,65915.1,65915.05,19.79,1526.12,20.0,1538.68,25.67,1695.93,-0.9743,-0.9702,65915.0,-0.007,1969.57
BTC-USDT-SWAP-SHORT-1772410491000-2,0.015,65993.9,65994.0,65993.95,7.02,1198.02,7.22,1248.0,10.52,1455.42,-0.9885,-0.9856,65993.9,-0.007,1633.07
BTC-USDT-SWAP-SHORT-1772410502000-3,0.015,65993.9,65994.0,65993.95,7.02,1198.02,7.22,1248.0,10.52,1455.42,-0.9885,-0.9856,65993.9,-0.007,1633.07
BTC-USDT-SWAP-SHORT-1772412598000-5,0.015,66473.7,66473.8,66473.75,183.82,368.46,184.02,408.03,186.69,736.31,-0.3784,-0.5955,66473.73,-0.003,4383.8
BTC-USDT-SWAP-SHORT-1772412610000-6,0.015,66473.7,66473.8,66473.75,183.82,368.46,184.02,408.03,186.69,736.31,-0.3784,-0.5955,66473.73,-0.003,4383.8
BTC-USDT-SWAP-LONG-1772414212000-7,0.015,66597.3,66597.4,66597.35,923.26,93.43,986.72,93.78,1575.97,100.57,0.8264,0.88,66597.39,0.006,1776.27
BTC-USDT-SWAP-LONG-1772414223000-8,0.015,66597.3,66597.4,66597.35,923.26,93.43,986.72,93.78,1575.97,100.57,0.8264,0.88,66597.39,0.006,1776.27
BTC-USDT-SWAP-LONG-1772416021000-10,0.015,66552.3,66552.4,66552.35,7.6,770.73,7.79,1397.37,20.98,1637.47,-0.9889,-0.9747,66552.3,-0.007,2382.53
BTC-USDT-SWAP-SHORT-1772415850000-9,0.015,66510.6,66510.7,66510.65,16.67,446.17,17.24,481.07,20.23,510.18,-0.9308,-0.9237,66510.6,-0.007,1493.1
BTC-USDT-SWAP-SHORT-1772418726000-11,0.015,66293.6,66293.7,66293.65,262.39,726.47,262.6,735.54,265.03,823.33,-0.4738,-0.513,66293.63,-0.004,1759.97
BTC-USDT-SWAP-LONG-1772419889000-13,0.015,66223.8,66223.9,66223.85,387.71,158.4,387.83,159.43,395.96,160.88,0.4174,0.4222,66223.87,0.003,1323.07
BTC-USDT-SWAP-LONG-1772420096000-14,0.015,66185.9,66186.0,66185.95,18.45,416.27,18.49,537.45,239.83,671.62,-0.9335,-0.4737,66185.9,-0.007,1629.9
BTC-USDT-SWAP-SHORT-1772419273000-12,0.015,66465.0,66465.1,66465.05,4.78,445.23,12.85,460.66,16.97,550.81,-0.9457,-0.9402,66465.0,-0.007,1412.6
BTC-USDT-SWAP-SHORT-1772421927000-16,0.015,66736.5,66736.6,66736.55,304.59,25.3,639.99,25.51,748.02,26.24,0.9233,0.9322,66736.59,0.006,1582.87
BTC-USDT-SWAP-LONG-1772420976000-15,0.015,66762.7,66762.8,66762.75,107.53,218.06,107.88,220.42,246.43,239.26,-0.3428,0.0148,66762.73,-0.003,1810.23
BTC-USDT-SWAP-SHORT-1772422168000-17,0.015,66858.0,66858.1,66858.05,1003.47,167.22,1003.59,167.38,1030.85,168.24,0.7141,0.7194,66858.09,0.005,1476.9
BTC-USDT-SWAP-LONG-1772423133000-18,0.015,66864.1,66864.2,66864.15,512.09,233.35,670.01,233.41,1345.27,234.22,0.4833,0.7034,66864.17,0.003,1603.3
BTC-USDT-SWAP-SHORT-1772434429000-19,0.015,66158.5,66158.6,66158.55,154.23,619.87,154.31,636.54,182.14,967.36,-0.6098,-0.6831,66158.52,-0.005,1252.97
BTC-USDT-SWAP-SHORT-1772436154000-20,0.015,65764.7,65764.8,65764.75,133.64,485.58,135.53,486.04,1301.78,893.9,-0.5639,0.1858,65764.72,-0.004,1231.57
BTC-USDT-SWAP-SHORT-1772436650000-21,0.015,65907.0,65907.1,65907.05,102.59,328.6,102.8,401.63,103.47,497.8,-0.5924,-0.6558,65907.02,-0.004,2619.33
BTC-USDT-SWAP-SHORT-1772454967000-22,0.015,65991.7,65991.8,65991.75,174.72,893.53,178.13,970.17,193.97,1464.83,-0.6898,-0.7661,65991.72,-0.005,1290.27
BTC-USDT-SWAP-SHORT-1772459757000-24,0.015,65400.0,65400.1,65400.05,42.4,557.74,42.54,1108.05,43.05,2370.85,-0.9261,-0.9643,65400.01,-0.007,2110.53
BTC-USDT-SWAP-SHORT-1772460162000-25,0.015,65474.2,65474.3,65474.25,464.8,16.66,498.55,18.87,568.44,19.71,0.9271,0.933,65474.3,0.007,2174.67
BTC-USDT-SWAP-LONG-1772459159000-23,0.015,65422.4,65422.5,65422.45,484.93,204.62,485.17,204.78,574.7,205.65,0.4064,0.4729,65422.47,0.003,1642.7
BTC-USDT-SWAP-LONG-1772461492000-27,0.015,65455.6,65455.7,65455.649999999994,944.51,188.96,1015.27,189.12,1030.5,226.6,0.6859,0.6395,65455.68,0.005,2264.1
BTC-USDT-SWAP-SHORT-1772461132000-26,0.015,66073.6,66073.7,66073.65,333.05,385.06,338.42,431.22,351.93,1344.12,-0.1206,-0.585,66073.65,-0.001,2009.57
BTC-USDT-SWAP-LONG-1772464005000-28,0.015,68523.4,68523.5,68523.45,263.85,343.55,264.14,343.62,269.4,398.96,-0.1308,-0.1938,68523.44,-0.001,5280.33
BTC-USDT-SWAP-LONG-1772464013000-29,0.015,68523.4,68523.5,68523.45,263.85,343.55,264.14,343.62,269.4,398.96,-0.1308,-0.1938,68523.44,-0.001,5280.33
BTC-USDT-SWAP-LONG-1772465497000-30,0.014,69415.6,69415.7,69415.65,338.83,528.06,338.87,528.12,341.02,838.25,-0.2183,-0.4216,69415.64,-0.002,3810.93
BTC-USDT-SWAP-SHORT-1772468028000-31,0.014,69460.0,69460.1,69460.05,238.48,109.89,238.52,127.93,379.93,660.49,0.3018,-0.2697,69460.07,0.003,3631.43
BTC-USDT-SWAP-LONG-1772468544000-32,0.014,69349.9,69350.0,69349.95,272.31,309.99,272.4,314.74,322.65,316.58,-0.0721,0.0095,69349.95,-0.0,2182.97
BTC-USDT-SWAP-LONG-1772470363000-33,0.014,69456.7,69456.8,69456.75,1488.45,14.12,1669.2,14.39,1737.23,20.33,0.9829,0.9769,69456.8,0.007,2717.37
BTC-USDT-SWAP-SHORT-1772471902000-34,0.014,69408.1,69408.2,69408.15,5.65,654.18,6.34,675.94,7.13,833.99,-0.9814,-0.983,69408.1,-0.007,2342.7
BTC-USDT-SWAP-SHORT-1772471938000-35,0.014,69346.8,69346.9,69346.85,188.26,768.0,333.06,927.33,343.0,1480.74,-0.4715,-0.6238,69346.82,-0.004,2444.63
BTC-USDT-SWAP-SHORT-1772472002000-36,0.014,69346.8,69346.9,69346.85,188.26,768.0,333.06,927.33,343.0,1480.74,-0.4715,-0.6238,69346.82,-0.004,2444.63
BTC-USDT-SWAP-SHORT-1772474203000-37,0.014,69011.0,69011.1,69011.05,262.1,408.9,262.74,428.82,279.63,673.32,-0.2402,-0.4131,69011.04,-0.002,2405.07
BTC-USDT-SWAP-SHORT-1772496035000-1,0.015,68861.8,68861.9,68861.85,12.26,1096.77,13.48,1406.81,20.37,1781.53,-0.981,-0.9774,68861.8,-0.007,1577.2
BTC-USDT-SWAP-SHORT-1772496525000-2,0.015,68837.6,68837.7,68837.65,141.22,246.57,141.42,246.79,142.2,278.81,-0.2714,-0.3245,68837.64,-0.002,1698.0
BTC-USDT-SWAP-LONG-1772496994000-4,0.015,68727.4,68727.5,68727.45,206.19,258.82,206.36,260.3,569.34,262.1,-0.1156,0.3695,68727.44,-0.001,2141.83
BTC-USDT-SWAP-SHORT-1772496865000-3,0.015,68684.5,68684.6,68684.55,262.07,1302.67,262.26,1360.6,388.4,1576.04,-0.6768,-0.6046,68684.52,-0.005,1453.37
BTC-USDT-SWAP-LONG-1772499219000-6,0.015,68908.5,68908.6,68908.55,33.55,483.37,33.67,483.54,34.43,795.71,-0.8698,-0.9171,68908.51,-0.006,1143.9
BTC-USDT-SWAP-SHORT-1772498676000-5,0.015,68881.0,68881.1,68881.05,195.67,645.51,209.17,657.28,749.55,796.35,-0.5172,-0.0303,68881.02,-0.004,1139.9
BTC-USDT-SWAP-LONG-1772499903000-7,0.014,68979.2,68979.3,68979.25,261.32,182.44,295.11,257.77,349.44,396.01,0.0675,-0.0625,68979.26,0.001,2018.83
BTC-USDT-SWAP-SHORT-1772504097000-10,,,,,,,,,,,,,,,
BTC-USDT-SWAP-SHORT-1772504005000-9,,,,,,,,,,,,,,,
BTC-USDT-SWAP-SHORT-1772505226000-11,0.015,68367.9,68368.0,68367.95,106.45,804.17,106.78,804.38,185.29,835.18,-0.7656,-0.6369,68367.91,-0.006,1416.87
BTC-USDT-SWAP-LONG-1772503614000-8,0.015,68407.3,68407.4,68407.35,161.35,422.55,162.56,422.73,409.36,423.53,-0.4445,-0.017,68407.33,-0.003,1583.27
BTC-USDT-SWAP-LONG-1772505728000-12,0.015,68479.5,68479.6,68479.55,160.97,92.38,161.18,96.38,161.9,97.96,0.2516,0.2461,68479.56,0.002,1690.87
BTC-USDT-SWAP-LONG-1772513128000-13,0.015,68119.6,68119.7,68119.65,126.98,438.48,137.03,670.91,292.45,735.83,-0.6608,-0.4312,68119.62,-0.004,1608.53
BTC-USDT-SWAP-LONG-1772513606000-14,0.015,68094.4,68094.5,68094.45,528.69,234.25,534.45,234.42,546.44,235.62,0.3902,0.3974,68094.47,0.003,1168.8
BTC-USDT-SWAP-SHORT-1772514107000-15,0.015,68088.0,68088.1,68088.05,243.68,226.19,247.81,231.24,248.69,340.39,0.0346,-0.1557,68088.05,0.0,1437.37
BTC-USDT-SWAP-SHORT-1772517366000-17,0.015,67914.8,67914.9,67914.85,527.93,399.72,750.67,400.33,880.91,419.25,0.3044,0.3551,67914.86,0.001,1608.0
BTC-USDT-SWAP-SHORT-1772517425000-18,0.015,67891.4,67891.5,67891.45,412.41,530.43,413.66,533.46,419.37,644.46,-0.1265,-0.2116,67891.44,-0.001,2000.07
