zone_id,ms_depth_against_back,ms_depth_to_target,ms_large_walls_on_path,ms_levels_to_target,ms_max_wall_on_path,ms_thin_path_score,ms_void_to_half_target
BTC-USDT-SWAP-LONG-1772409634000-1,8643.75,7153.63,49,400,255.48,0.1013,7153.63
BTC-USDT-SWAP-LONG-1772410803000-4,4924.18,11797.24,68,400,1526.12,0.0964,11797.24
BTC-USDT-SWAP-SHORT-1772410491000-2,12361.89,5680.34,38,400,196.05,0.1037,5680.34
BTC-USDT-SWAP-SHORT-1772410502000-3,12361.89,5680.34,38,400,196.05,0.1037,5680.34
BTC-USDT-SWAP-SHORT-1772412598000-5,9702.87,9388.2,51,400,1228.05,0.0985,9388.2
BTC-USDT-SWAP-SHORT-1772412610000-6,9702.87,9388.2,51,400,1228.05,0.0985,9388.2
BTC-USDT-SWAP-LONG-1772414212000-7,13453.18,5912.87,41,400,207.47,0.1033,5912.87
BTC-USDT-SWAP-LONG-1772414223000-8,13453.18,5912.87,41,400,207.47,0.1033,5912.87
BTC-USDT-SWAP-LONG-1772416021000-10,10426.66,6759.11,37,400,770.73,0.1018,6759.11
BTC-USDT-SWAP-SHORT-1772415850000-9,8219.03,6932.9,43,400,290.69,0.1016,6932.9
BTC-USDT-SWAP-SHORT-1772418726000-11,8560.31,8856.59,40,400,2201.6,0.0991,8856.59
BTC-USDT-SWAP-LONG-1772419889000-13,6821.95,6808.13,42,400,306.16,0.1018,6808.13
BTC-USDT-SWAP-LONG-1772420096000-14,9107.47,6881.87,51,400,416.27,0.1017,6881.87
BTC-USDT-SWAP-SHORT-1772419273000-12,8709.84,5522.83,41,400,242.55,0.104,5522.83
BTC-USDT-SWAP-SHORT-1772421927000-16,9295.87,7588.01,54,400,304.59,0.1007,7588.01
BTC-USDT-SWAP-LONG-1772420976000-15,7654.26,8314.47,57,401,246.55,0.0997,8314.47
BTC-USDT-SWAP-SHORT-1772422168000-17,7947.32,8022.37,49,400,1003.47,0.1001,8022.37
BTC-USDT-SWAP-LONG-1772423133000-18,13269.75,7334.64,51,400,233.35,0.101,7334.64
BTC-USDT-SWAP-SHORT-1772434429000-19,10922.07,10566.87,68,400,843.56,0.0974,10566.87
BTC-USDT-SWAP-SHORT-1772436154000-20,12319.9,9747.12,57,400,889.04,0.0982,9747.12
BTC-USDT-SWAP-SHORT-1772436650000-21,8082.72,8161.06,61,400,186.13,0.0999,8161.06
BTC-USDT-SWAP-SHORT-1772454967000-22,8354.41,6952.31,45,400,187.82,0.1016,6952.31
BTC-USDT-SWAP-SHORT-1772459757000-24,22483.34,12915.99,52,400,1031.96,0.0955,12915.99
BTC-USDT-SWAP-SHORT-1772460162000-25,13154.04,13266.69,82,400,464.8,0.0953,13266.69
BTC-USDT-SWAP-LONG-1772459159000-23,12267.29,10154.46,59,401,391.36,0.0978,10154.46
BTC-USDT-SWAP-LONG-1772461492000-27,14295.66,9014.54,53,400,376.11,0.0989,9014.54
BTC-USDT-SWAP-SHORT-1772461132000-26,17991.38,13554.03,66,400,460.87,0.0951,13554.03
BTC-USDT-SWAP-LONG-1772464005000-28,18551.36,18374.53,53,400,788.3,0.0924,18374.53
BTC-USDT-SWAP-LONG-1772464013000-29,18551.36,18374.53,53,400,788.3,0.0924,18374.53
BTC-USDT-SWAP-LONG-1772465497000-30,7985.57,12432.17,52,400,1508.77,0.0959,12432.17
BTC-USDT-SWAP-SHORT-1772468028000-31,24461.35,20785.84,79,400,1084.84,0.0914,20785.84
BTC-USDT-SWAP-LONG-1772468544000-32,16560.21,10822.62,50,400,685.63,0.0972,10822.62
BTC-USDT-SWAP-LONG-1772470363000-33,16003.85,11350.27,48,400,501.56,0.0967,11350.27
BTC-USDT-SWAP-SHORT-1772471902000-34,12426.39,13008.23,59,400,662.76,0.0955,13008.23
BTC-USDT-SWAP-SHORT-1772471938000-35,17212.21,11437.78,57,400,582.64,0.0967,11437.78
BTC-USDT-SWAP-SHORT-1772472002000-36,17212.21,11437.78,57,400,582.64,0.0967,11437.78
BTC-USDT-SWAP-SHORT-1772474203000-37,16753.42,10925.92,56,400,521.75,0.0971,10925.92
BTC-USDT-SWAP-SHORT-1772496035000-1,11378.41,6081.79,44,400,261.29,0.103,6081.79
BTC-USDT-SWAP-SHORT-1772496525000-2,7129.04,7839.96,63,400,210.07,0.1003,7839.96
BTC-USDT-SWAP-LONG-1772496994000-4,9727.64,7323.58,62,400,258.82,0.101,7323.58
BTC-USDT-SWAP-SHORT-1772496865000-3,9500.11,7582.67,55,400,285.19,0.1007,7582.67
BTC-USDT-SWAP-LONG-1772499219000-6,5937.86,8740.02,66,401,483.37,0.0992,8740.02
BTC-USDT-SWAP-SHORT-1772498676000-5,9930.15,5644.27,41,400,415.24,0.1037,5644.27
BTC-USDT-SWAP-LONG-1772499903000-7,10306.26,11288.56,70,400,365.42,0.0968,11288.56
BTC-USDT-SWAP-SHORT-1772504097000-10,9494.37,8339.47,51,400,618.09,0.0997,8339.47
BTC-USDT-SWAP-SHORT-1772504005000-9,9494.37,8339.47,51,400,618.09,0.0997,8339.47
BTC-USDT-SWAP-SHORT-1772505226000-11,8618.28,9846.95,69,400,383.19,0.0981,9846.95
BTC-USDT-SWAP-LONG-1772503614000-8,10630.05,8996.58,63,399,422.55,0.099,8996.58
BTC-USDT-SWAP-LONG-1772505728000-12,13179.12,8458.43,52,400,260.47,0.0996,8458.43
BTC-USDT-SWAP-LONG-1772513128000-13,13377.16,9232.98,62,400,438.48,0.0987,9232.98
BTC-USDT-SWAP-LONG-1772513606000-14,11968.64,11858.04,66,401,1002.32,0.0963,11858.04
BTC-USDT-SWAP-SHORT-1772514107000-15,13132.77,11067.1,73,400,272.1,0.097,11067.1
BTC-USDT-SWAP-SHORT-1772517366000-17,9197.95,9813.28,71,400,527.93,0.0981,9813.28
BTC-USDT-SWAP-SHORT-1772517425000-18,12591.27,8238.6,49,400,831.13,0.0998,8238.6
BTC-USDT-SWAP-LONG-1772517197000-16,11479.97,7262.78,50,399,287.92,0.1011,7262.78
BTC-USDT-SWAP-SHORT-1772521223000-19,7770.02,6076.48,46,400,367.34,0.103,6076.48
BTC-USDT-SWAP-SHORT-1772522407000-20,9195.56,5968.4,41,400,595.51,0.1032,5968.4
BTC-USDT-SWAP-SHORT-1772527118000-21,13456.87,12362.03,50,400,3374.36,0.0959,12362.03
BTC-USDT-SWAP-SHORT-1772528107000-22,11034.21,14892.51,88,400,573.87,0.0943,14892.51
BTC-USDT-SWAP-SHORT-1772528433000-23,13186.35,10342.58,60,400,366.51,0.0976,10342.58
BTC-USDT-SWAP-SHORT-1772530692000-25,8185.64,13568.05,45,400,4867.22,0.0951,13568.05
BTC-USDT-SWAP-SHORT-1772531394000-26,9399.01,7430.81,37,400,1572.19,0.1009,7430.81
BTC-USDT-SWAP-SHORT-1772531452000-27,9399.01,7430.81,37,400,1572.19,0.1009,7430.81
BTC-USDT-SWAP-SHORT-1772535110000-28,9668.33,7976.38,56,400,294.82,0.1002,7976.38
BTC-USDT-SWAP-SHORT-1772535134000-29,9668.33,7976.38,56,400,294.82,0.1002,7976.38
BTC-USDT-SWAP-LONG-1772535551000-30,10566.64,6802.78,40,407,214.57,0.1018,6802.78
BTC-USDT-SWAP-LONG-1772536899000-31,8227.2,8582.7,50,401,1357.16,0.0994,8582.7
BTC-USDT-SWAP-LONG-1772541712000-33,11486.16,14736.5,80,400,629.57,0.0944,14736.5
BTC-USDT-SWAP-LONG-1772541572000-32,11486.16,14736.5,80,400,629.57,0.0944,14736.5
BTC-USDT-SWAP-LONG-1772543243000-34,12292.32,14928.67,80,400,796.47,0.0942,14928.67
BTC-USDT-SWAP-LONG-1772544123000-35,15616.84,13211.52,66,400,899.6,0.0953,13211.52
BTC-USDT-SWAP-SHORT-1772546176000-36,19427.02,13092.05,78,400,433.58,0.0954,13092.05
BTC-USDT-SWAP-SHORT-1772551037000-37,10039.64,11493.0,70,400,326.24,0.0966,11493.0
BTC-USDT-SWAP-LONG-1772553323000-38,11711.92,8182.01,54,400,213.24,0.0999,8182.01
BTC-USDT-SWAP-LONG-1772553506000-39,7327.05,19124.27,87,400,3393.25,0.0921,19124.27
BTC-USDT-SWAP-LONG-1772553549000-40,11122.29,14973.88,73,400,3361.58,0.0942,14973.88
BTC-USDT-SWAP-LONG-1772554627000-41,12863.87,13982.43,65,400,606.65,0.0948,13982.43
BTC-USDT-SWAP-LONG-1772558132000-42,8347.59,8553.1,52,403,276.23,0.0995,8553.1
BTC-USDT-SWAP-LONG-1772560656000-43,5398.2,10788.48,69,402,978.84,0.0972,10788.48
BTC-USDT-SWAP-LONG-1772563749000-45,7214.58,11136.35,76,400,485.42,0.0969,11136.35
BTC-USDT-SWAP-SHORT-1772563179000-44,13731.9,6871.33,51,400,242.1,0.1017,6871.33
BTC-USDT-SWAP-LONG-1772564438000-46,7616.04,10258.21,69,400,843.16,0.0977,10258.21
BTC-USDT-SWAP-SHORT-1772582934000-2,8244.2,8545.26,52,400,700.87,0.0995,8545.26
BTC-USDT-SWAP-SHORT-1772582797000-1,8244.2,8545.26,52,400,700.87,0.0995,8545.26
BTC-USDT-SWAP-LONG-1772584188000-4,13150.14,11368.07,68,400,1760.3,0.0967,11368.07
BTC-USDT-SWAP-LONG-1772584858000-5,6264.62,9029.85,70,400,387.98,0.0989,9029.85
BTC-USDT-SWAP-SHORT-1772583941000-3,9187.93,5170.39,38,401,235.39,0.1047,5170.39
BTC-USDT-SWAP-SHORT-1772588463000-6,10584.91,6511.56,42,400,570.98,0.1022,6511.56
BTC-USDT-SWAP-LONG-1772589121000-7,9168.28,6365.43,54,400,186.29,0.1025,6365.43
BTC-USDT-SWAP-SHORT-1772589606000-9,5411.54,16308.51,120,400,284.69,0.0935,16308.51
BTC-USDT-SWAP-LONG-1772589296000-8,9210.07,7119.17,49,400,476.37,0.1013,7119.17
BTC-USDT-SWAP-SHORT-1772591636000-10,6874.2,9886.75,72,400,500.48,0.098,9886.75
BTC-USDT-SWAP-LONG-1772595707000-11,11277.34,10900.72,69,400,331.71,0.0971,10900.72
BTC-USDT-SWAP-LONG-1772596380000-13,8268.34,11163.38,73,400,269.52,0.0969,11163.38
BTC-USDT-SWAP-SHORT-1772596014000-12,15211.9,6996.92,50,400,208.06,0.1015,6996.92
BTC-USDT-SWAP-SHORT-1772597735000-15,9806.99,13465.9,81,400,980.31,0.0952,13465.9
BTC-USDT-SWAP-SHORT-1772601616000-16,8445.27,13132.95,72,400,623.26,0.0954,13132.95
BTC-USDT-SWAP-LONG-1772602176000-17,14579.39,7525.04,39,400,322.56,0.1007,7525.04
