#,date,direction,zone_id,selected_iso,entry_sec,exit_sec,entry_price,exit_price,exit_reason,pnl_pre_cost,pnl_after_cost,mfe_pct,mae_pct,outcome,reason_class,watch_label,coverage_class,session
1,2026-03-02,LONG,BTC-USDT-SWAP-LONG-1772409634000-1,2026-03-02T00:20:03+00:00,1772410803,1772463699,65901.6,67219.63200000001,target_2pct,2.0,1.86,2.01725,1.050202,WIN,win_clean,GOOD,covered_watch_early,asia
2,2026-03-03,SHORT,BTC-USDT-SWAP-SHORT-1772496525000-2,2026-03-03T00:11:45+00:00,1772496705,1772527152,68837.7,67460.946,target_2pct,2.0,1.86,2.001665,0.587469,WIN,win_clean,GOOD,covered_watch_early,asia
3,2026-03-04,LONG,BTC-USDT-SWAP-LONG-1772606412000-18,2026-03-04T06:44:35+00:00,1772606675,1772613906,68530.8,69901.416,target_2pct,2.0,1.86,2.012526,0.322191,WIN,win_clean,MID,covered_mid,asia
4,2026-03-05,SHORT,BTC-USDT-SWAP-SHORT-1772670314000-2,2026-03-05T00:46:06+00:00,1772671566,1772724373,72842.4,71385.552,target_2pct,2.0,1.86,2.032607,0.938464,WIN,win_clean,GOOD,covered_watch_early,asia
5,2026-03-06,LONG,BTC-USDT-SWAP-LONG-1772834507000-42,2026-03-06T22:04:47+00:00,1772834687,1772911155,68316.2,67291.457,stop,-1.5,-1.64,0.305345,1.575468,LOSS,stop_no_2pct_either_dir,BAD,missed_no_move_in_4h,asia_late
6,2026-03-07,LONG,BTC-USDT-SWAP-LONG-1772877219000-19,2026-03-07T09:56:39+00:00,1772877399,1772913052,67999.9,66979.90149999999,stop,-1.5,-1.64,0.353089,1.580444,LOSS,stop_no_2pct_either_dir,BAD,missed_no_move_in_4h,europe
7,2026-03-08,SHORT,BTC-USDT-SWAP-SHORT-1772966351000-24,2026-03-08T10:42:11+00:00,1772966531,1773007388,67942.3,66583.454,target_2pct,2.0,1.86,2.062044,0.002944,WIN,win_clean,BAD,missed_no_move_in_4h,europe
8,2026-03-09,LONG,BTC-USDT-SWAP-LONG-1773066205000-36,2026-03-09T14:28:44+00:00,1773066524,1773110989,69117.0,70499.34,target_2pct,2.0,1.86,2.041466,1.312268,WIN,win_clean,MID,noisy_partial_1_5,us
9,2026-03-10,SHORT,BTC-USDT-SWAP-SHORT-1773132250000-30,2026-03-10T08:51:53+00:00,1773132713,1773152157,70731.7,69317.06599999999,target_2pct,2.0,1.86,2.008576,0.750159,WIN,win_clean,GOOD,covered_watch_early,europe
10,2026-03-11,SHORT,BTC-USDT-SWAP-SHORT-1773188193000-2,2026-03-11T00:19:33+00:00,1773188373,1773236379,69950.0,70999.25,stop,-1.5,-1.64,1.437598,1.528234,LOSS,stop_no_2pct_either_dir,BAD,missed_no_move_in_4h,asia
11,2026-03-12,SHORT,BTC-USDT-SWAP-SHORT-1773273641000-1,2026-03-12T00:06:20+00:00,1773273980,1773360380,70118.8,70504.1,timeout,-0.549496,-0.6895,1.373098,0.94183,TIMEOUT,timeout_negative,MID,noisy_partial_1_5,asia
12,2026-03-13,LONG,BTC-USDT-SWAP-LONG-1773396407000-11,2026-03-13T10:10:23+00:00,1773396623,1773411608,72146.7,73589.634,target_2pct,2.0,1.86,2.066207,0.018712,WIN,win_clean,BAD,covered_late,europe
13,2026-03-14,LONG,BTC-USDT-SWAP-LONG-1773484455000-16,2026-03-14T10:37:15+00:00,1773484635,1773565436,70430.5,71839.11,target_2pct,2.0,1.86,2.013758,0.054096,WIN,win_clean,BAD,missed_no_move_in_4h,europe
14,2026-03-15,LONG,BTC-USDT-SWAP-LONG-1773607034000-26,2026-03-15T20:50:54+00:00,1773607855,1773615994,71739.2,73173.984,target_2pct,2.0,1.86,2.007828,0.200866,WIN,win_clean,BAD,missed_no_move_in_4h,us
15,2026-03-16,SHORT,BTC-USDT-SWAP-SHORT-1773626785000-7,2026-03-16T02:09:25+00:00,1773626965,1773632110,72725.0,73815.875,stop,-1.5,-1.64,0.54658,1.527398,LOSS,correct_direction_but_no_2pct,GOOD,covered_watch_early,asia
16,2026-03-18,SHORT,BTC-USDT-SWAP-SHORT-1773792030000-1,2026-03-18T00:13:01+00:00,1773792781,1773837053,73985.1,72505.398,target_2pct,2.0,1.86,2.030544,0.891125,WIN,win_clean,BAD,missed_no_move_in_4h,asia
17,2026-03-19,SHORT,BTC-USDT-SWAP-SHORT-1773879450000-2,2026-03-19T00:20:30+00:00,1773879630,1773904825,71090.0,69668.2,target_2pct,2.0,1.86,2.003095,0.693346,WIN,win_clean,GOOD,covered_watch_early,asia
18,2026-03-20,LONG,BTC-USDT-SWAP-LONG-1773993061000-19,2026-03-20T07:54:01+00:00,1773993241,1774013721,70863.8,69800.84300000001,stop,-1.5,-1.64,0.677215,1.500907,LOSS,correct_direction_but_no_2pct,GOOD,covered_watch_early,europe
19,2026-03-21,LONG,BTC-USDT-SWAP-LONG-1774051508000-1,2026-03-21T00:08:08+00:00,1774051688,1774137096,70550.0,69491.75,stop,-1.5,-1.64,0.762155,1.543161,LOSS,stop_no_2pct_either_dir,BAD,missed_no_move_in_4h,asia
20,2026-03-22,LONG,BTC-USDT-SWAP-LONG-1774139310000-1,2026-03-22T00:41:19+00:00,1774140079,1774180338,69063.2,68027.252,stop,-1.5,-1.64,0.743667,1.538012,LOSS,correct_direction_but_no_2pct,GOOD,covered_watch_early,asia
21,2026-03-23,LONG,BTC-USDT-SWAP-LONG-1774228797000-8,2026-03-23T01:22:57+00:00,1774228977,1774263932,68000.0,69360.0,target_2pct,2.0,1.86,2.020441,0.779853,WIN,win_clean,GOOD,covered_watch_early,asia
22,2026-03-24,LONG,BTC-USDT-SWAP-LONG-1774337368000-16,2026-03-24T07:33:05+00:00,1774337585,1774361564,70881.1,69817.88350000001,stop,-1.5,-1.64,0.696801,1.506184,LOSS,wrong_direction,BAD,wrong_direction,europe
23,2026-03-25,LONG,BTC-USDT-SWAP-LONG-1774416472000-13,2026-03-25T05:32:19+00:00,1774416739,1774503139,71206.3,70508.0,timeout,-0.980672,-1.1207,1.0992,1.071815,TIMEOUT,timeout_negative,BAD,missed_no_move_in_4h,asia
24,2026-03-26,LONG,BTC-USDT-SWAP-LONG-1774483234000-1,2026-03-26T00:14:56+00:00,1774484096,1774504299,71218.4,70150.124,stop,-1.5,-1.64,0.278439,1.510565,LOSS,stop_no_2pct_either_dir,BAD,missed_no_move_in_4h,asia
25,2026-03-27,SHORT,BTC-USDT-SWAP-SHORT-1774577539000-8,2026-03-27T02:15:19+00:00,1774577719,1774600691,69029.3,67648.714,target_2pct,2.0,1.86,2.010016,0.025786,WIN,win_clean,BAD,missed_no_move_in_4h,asia
26,2026-03-28,LONG,BTC-USDT-SWAP-LONG-1774679676000-13,2026-03-28T06:39:05+00:00,1774679945,1774766345,66412.4,66656.3,timeout,0.367251,0.2273,1.328065,0.485452,TIMEOUT,timeout_negative,BAD,missed_no_move_in_4h,asia
27,2026-03-29,SHORT,BTC-USDT-SWAP-SHORT-1774752923000-8,2026-03-29T02:58:23+00:00,1774753103,1774824312,66735.0,65400.299999999996,target_2pct,2.0,1.86,2.142504,0.568218,WIN,win_clean,GOOD,covered_watch_early,asia
28,2026-03-30,LONG,BTC-USDT-SWAP-LONG-1774829268000-2,2026-03-30T00:10:48+00:00,1774829448,1774838750,65860.5,67177.71,target_2pct,2.0,1.86,2.015624,0.149103,WIN,win_clean,GOOD,covered_watch_early,asia
29,2026-03-31,LONG,BTC-USDT-SWAP-LONG-1774915354000-1,2026-03-31T00:05:34+00:00,1774915534,1774920817,66728.1,68062.66200000001,target_2pct,2.0,1.86,2.045465,0.326849,WIN,win_clean,GOOD,covered_watch_early,asia
