selector,selected_n,alerts_per_day,good_n,wrong_n,precision_pct,wrong_rate_pct,h1_n,h2_n,h1_precision_pct,h2_precision_pct,kind,trades,wins,losses,timeouts,winrate_pct,expectancy_after_cost_pct,total_return_after_cost_pct,pf_after_cost,wrong_direction,correct_direction_but_no_2pct,stop_no_2pct_either_dir,timeout_positive,timeout_negative
ENH::baseline+dl2_supp_minus_opp_net_flow_15m_le_4497.76::top1,29,1.0,12,1,41.38,3.45,14,15,35.71,46.67,pair,29,18,8,3,62.07,0.6475,18.7771,2.258,0,2,6,0,3
ENH::baseline+ms_thin_path_score_ge_0.0961::top1,29,1.0,14,0,48.28,0.0,14,15,42.86,53.33,pair,29,17,10,2,58.62,0.4614,13.3818,1.734,0,4,6,0,2
ENH::baseline+ms_depth_to_target_le_12162.27::top1,29,1.0,14,0,48.28,0.0,14,15,42.86,53.33,pair,29,17,10,2,58.62,0.4614,13.3818,1.734,0,4,6,0,2
ENH::baseline+ms_void_to_half_target_le_12076.82::top1,29,1.0,14,0,48.28,0.0,14,15,42.86,53.33,pair,29,17,10,2,58.62,0.4614,13.3818,1.734,0,4,6,0,2
ENH::baseline+dl2_supp_minus_opp_net_flow_15m_ge_-1832.26::top1,29,1.0,13,1,44.83,3.45,14,15,35.71,53.33,pair,29,17,10,2,58.62,0.494,14.3266,1.818,1,3,6,0,2
ENH::baseline+dl2_microprice_aligned_delta_5m_bps_ge_2.458::top1,29,1.0,13,1,44.83,3.45,14,15,35.71,53.33,pair,29,17,9,3,58.62,0.5289,15.3384,1.926,1,3,5,0,3
ENH::baseline+dl2_microprice_aligned_delta_15m_bps_ge_-13.635::top1,29,1.0,12,1,41.38,3.45,14,15,35.71,46.67,pair,29,17,10,2,58.62,0.494,14.3266,1.818,1,3,6,0,2
ENH::baseline+refill_proxy_ge_50::top1,29,1.0,13,1,44.83,3.45,14,15,35.71,53.33,confluence,29,16,10,3,55.17,0.4061,11.7771,1.647,1,4,5,0,3
ENH::baseline+refill+thin::top1,29,1.0,13,1,44.83,3.45,14,15,35.71,53.33,confluence,29,16,10,3,55.17,0.4061,11.7771,1.647,1,4,5,0,3
ENH::baseline+dl2_inband_supp_add_5m_le_3886339.56::top1,29,1.0,12,1,41.38,3.45,14,15,28.57,53.33,pair,29,16,10,3,55.17,0.4061,11.7771,1.647,1,3,6,0,3
ENH::baseline+dl2_microprice_aligned_delta_5m_bps_ge_0.079::top1,29,1.0,12,1,41.38,3.45,14,15,28.57,53.33,pair,29,16,10,3,55.17,0.4061,11.7771,1.647,1,3,6,0,3
ENH::baseline+dl2_microprice_aligned_delta_5m_bps_ge_0.722::top1,29,1.0,12,1,41.38,3.45,14,15,28.57,53.33,pair,29,16,10,3,55.17,0.4061,11.7771,1.647,1,3,6,0,3
ENH::baseline+thin_path_ge_0.05::top1,29,1.0,12,1,41.38,3.45,14,15,28.57,53.33,confluence,29,16,10,3,55.17,0.4061,11.7771,1.647,1,3,6,0,3
ENH::baseline+wall_persistence_ge_120::top1,29,1.0,12,1,41.38,3.45,14,15,28.57,53.33,confluence,29,16,10,3,55.17,0.4061,11.7771,1.647,1,3,6,0,3
ENH::baseline+microprice5m_aligned_ge_0::top1,29,1.0,12,1,41.38,3.45,14,15,28.57,53.33,confluence,29,16,10,3,55.17,0.4061,11.7771,1.647,1,3,6,0,3
ENH::baseline+thin+micro5m_pos::top1,29,1.0,12,1,41.38,3.45,14,15,28.57,53.33,confluence,29,16,10,3,55.17,0.4061,11.7771,1.647,1,3,6,0,3
ENH::baseline+asia+micro5m_pos::top1,29,1.0,12,0,41.38,0.0,14,15,35.71,46.67,confluence,29,16,8,5,55.17,0.5649,16.3821,2.097,0,2,6,1,4
ENH::baseline+dl2_top1_supportive_persistence_ge_50_5m_sec_le_282.0::top1,29,1.0,14,1,48.28,3.45,14,15,42.86,53.33,pair,29,15,12,2,51.72,0.2638,7.6505,1.376,1,4,7,0,2
ENH::baseline+ms_levels_to_target_le_400::top1,29,1.0,13,1,44.83,3.45,14,15,35.71,53.33,pair,29,15,9,5,51.72,0.4442,12.8821,1.777,1,3,5,1,4
ENH::baseline+dl2_supp_minus_opp_net_flow_5m_ge_-1660.43::top1,29,1.0,13,1,44.83,3.45,14,15,35.71,53.33,pair,29,15,11,3,51.72,0.2854,8.2771,1.417,1,4,6,0,3
ENH::baseline+asia+thin::top1,29,1.0,12,0,41.38,0.0,14,15,35.71,46.67,confluence,29,15,9,5,51.72,0.4442,12.8821,1.777,0,2,7,1,4
ENH::baseline+asia_only::top1,29,1.0,12,0,41.38,0.0,14,15,35.71,46.67,confluence,29,15,9,5,51.72,0.4442,12.8821,1.777,0,2,7,1,4
ENH::baseline+dl2_supp_minus_opp_net_flow_5m_ge_1737.33::top1,29,1.0,13,1,44.83,3.45,14,15,42.86,46.67,pair,29,14,12,3,48.28,0.1957,5.6751,1.273,1,5,6,0,3
ENH::baseline+dl2_top1_supportive_persistence_ge_50_5m_sec_le_273.0::top1,29,1.0,12,0,41.38,0.0,14,15,42.86,40.0,pair,29,14,12,3,48.28,0.2237,6.4885,1.322,0,5,7,1,2
ENH::baseline+ms_max_wall_on_path_ge_396.5::top1,29,1.0,13,1,44.83,3.45,14,15,35.71,53.33,pair,29,13,13,3,44.83,0.044,1.2771,1.055,1,5,7,0,3
