feature,direction,threshold,quantile,selected_n,winrate_pct,winrate_delta_pp,expectancy_after_cost,expectancy_delta,pf_after_cost,wrong_direction,correct_no_2pct,verdict
ms_thin_path_score,ge,0.0982,0.5,29,51.72,-6.9,0.3155,-0.2113,1.457,1,1,DROP
ms_thin_path_score,le,0.0982,0.5,28,39.29,-19.33,-0.0993,-0.6261,0.882,2,4,DROP
ms_thin_path_score,ge,0.0988,0.6,28,53.57,-5.05,0.2808,-0.246,1.392,2,1,DROP
ms_thin_path_score,le,0.0988,0.6,29,41.38,-17.24,-0.0318,-0.5586,0.961,2,5,DROP
ms_thin_path_score,ge,0.0996,0.7,28,42.86,-15.76,0.1047,-0.4221,1.143,2,2,DROP
ms_thin_path_score,le,0.0996,0.7,29,44.83,-13.79,0.1241,-0.4027,1.164,2,5,DROP
ms_depth_to_target,ge,9755.84,0.5,28,39.29,-19.33,-0.0993,-0.6261,0.882,2,4,DROP
ms_depth_to_target,le,9755.84,0.5,29,51.72,-6.9,0.3155,-0.2113,1.457,1,1,DROP
ms_depth_to_target,ge,10505.47,0.6,28,42.86,-15.76,0.1259,-0.4009,1.184,2,2,DROP
ms_depth_to_target,le,10505.47,0.6,29,51.72,-6.9,0.3155,-0.2113,1.457,0,3,DROP
ms_depth_to_target,ge,11437.78,0.7,28,42.86,-15.76,0.1606,-0.3662,1.234,2,2,DROP
ms_depth_to_target,le,11437.78,0.7,29,55.17,-3.45,0.3089,-0.2179,1.431,0,4,DROP
ms_large_walls_on_path,ge,60,0.5,28,53.57,-5.05,0.3929,-0.1339,1.642,1,1,DROP
ms_large_walls_on_path,le,60,0.5,28,46.43,-12.19,0.1354,-0.3914,1.175,2,3,DROP
ms_large_walls_on_path,ge,64,0.6,28,42.86,-15.76,0.1346,-0.3922,1.195,3,1,DROP
ms_large_walls_on_path,le,64,0.6,29,44.83,-13.79,0.0742,-0.4526,1.092,3,3,DROP
ms_large_walls_on_path,ge,68,0.7,28,39.29,-19.33,-0.0695,-0.5963,0.914,4,3,DROP
ms_large_walls_on_path,le,68,0.7,29,55.17,-3.45,0.4362,-0.0906,1.688,3,2,DROP
ms_max_wall_on_path,ge,618.21,0.5,29,41.38,-17.24,0.0188,-0.508,1.024,2,5,DROP
