feature,winners_mean,losers_mean,correct_no_2pct_mean,d_winners_vs_losers,d_winners_vs_correct_no_2pct,n_winners,n_losers,n_cn
ms_depth_against_back,10241.9247,14351.9042,13703.8867,-1.2478,-1.687,17,12,3
dist_to_recent_swing_high_pct,0.2359,0.1345,0.1753,0.9971,0.528,17,12,3
ms_thin_path_score,0.0992,0.0978,0.0974,0.6206,0.8122,17,12,3
dl2_microprice_aligned_delta_15m_bps,20.137,8.2642,23.6153,0.6043,-0.1744,13,9,3
ms_depth_to_target,9124.6241,10498.94,10626.3467,-0.5697,-0.6518,17,12,3
ms_void_to_half_target,9124.6241,10498.94,10626.3467,-0.5697,-0.6518,17,12,3
dl2_inband_opp_cancel_15m,7657412.6447,6360875.3858,8295719.7533,0.474,-0.2487,17,12,3
dl2_supp_minus_opp_net_flow_5m,2472.4512,3960.8517,4159.1033,-0.4114,-0.5,17,12,3
ms_large_walls_on_path,56.2941,61.5,60.6667,-0.3688,-0.3861,17,12,3
dl2_top1_supportive_persistence_ge_50_5m_sec,266.9412,273.8333,261.6667,-0.3441,0.2506,17,12,3
dl2_microprice_aligned_delta_5m_bps,5.1974,6.2926,6.4263,-0.3291,-0.3996,17,12,3
dl2_inband_supp_add_5m,2620293.5688,2334939.1958,2828102.1133,0.3288,-0.2572,17,12,3
dl2_supp_minus_opp_net_flow_15m,1612.5053,3071.0975,2657.9433,-0.3086,-0.309,17,12,3
ms_max_wall_on_path,728.5865,911.6542,1273.6033,-0.2988,-0.9156,17,12,3
dl2_microprice_slope_5m_aligned_bps_per_min,0.7911,0.4194,0.2827,0.2802,0.462,17,12,3
ms_levels_to_target,400.1176,400,399.6667,0.2269,0.7897,17,12,3
local_range_60m_pct,0.64,0.624,1.0891,0.0502,-1.6267,17,12,3
abs_prior_move_60m_pct,,,,,,0,0,0
