_half,_label_engine_class,_label_is_primary,_label_reached_raw,_label_unique_move_id,cand_absorb_score,cand_ask_refill_score,cand_bid_refill_score,cand_buy_pressure,cand_down_move_pct,cand_pressure_against,cand_prior_move_pct,cand_range_compression,cand_refill_with,cand_sell_pressure,cand_up_move_pct,candidate_iso,candidate_to_confirm_min,conf_age_min,conf_cycles_seen,conf_defended_persistence_sec,conf_opposite_thinning,conf_void_score,confirm_to_trigger_min,confirmed_iso,coverage_class,date,direction,dist_to_4h_mean_pct,dist_to_recent_swing_high_pct,dist_to_recent_swing_low_pct,distance_from_high_pct,distance_from_low_pct,filter_dup_suppressed,filter_fast_ok,filter_kept,is_asia_session,is_during_correct_move,is_during_opposite_move,is_late_after_50pct_correct_move,is_us_session,lead_min_before_move,local_range_15m_pct,local_range_180m_pct,local_range_30m_pct,local_range_60m_pct,local_realized_vol_15m,local_realized_vol_180m,local_realized_vol_30m,local_realized_vol_60m,matched_move_size_pct,ofi_shift_5m_vs_30m,ofi_shift_aligned,opp_dir_zones_active_60m,pct_correct_move_already_done,pct_opposite_move_already_done,prior_move_15m_pct,prior_move_180m_pct,prior_move_30m_pct,prior_move_60m_pct,same_dir_zones_active_60m,score_absorption,score_liquidity_void,score_ofi,score_refill,score_trigger,session,stage_reached,sweep_reclaim_aligned,taker_imb_15m,taker_imb_180m,taker_imb_30m,taker_imb_5m,taker_imb_60m,taker_imb_aligned_15m,taker_imb_aligned_180m,taker_imb_aligned_30m,taker_imb_aligned_5m,taker_imb_aligned_60m,taker_n_trades_15m,taker_n_trades_180m,taker_n_trades_30m,taker_n_trades_5m,taker_n_trades_60m,taker_total_vol_15m,taker_total_vol_180m,taker_total_vol_30m,taker_total_vol_5m,taker_total_vol_60m,total_pre_trigger_min,trig_break_pct,trig_flow_multiplier,trig_price,trig_side_flow_ok,trigger_iso,utc_hour,vol_anomaly_15m_vs_bg,watch_label,zone_high,zone_id,zone_low,zone_mid,zone_width_pct
first,primary_unique_reached_move,True,True,1,0.7278513745311836,,0.5003870025738021,,0.0,0.6616830677556215,0.0,True,0.5003870025738021,0.6616830677556215,,2026-03-02T00:00:34+00:00,19.483333333333334,19.483333333333334,15.0,1169.0,0.500749672872989,1.0,24.116666666666667,2026-03-02T00:20:03+00:00,covered_watch_early,2026-03-02,LONG,0.0213,0.4391,0.2841,,0.2849,False,True,True,1,0,0,0,0,51.23,0.6554,0.7253,0.7253,0.7253,0.001018,0.000996,0.000996,0.000996,2.0434,-0.6315,-0.6315,0.0,0.0,0.0,0.1751,0.2505,0.2505,0.2505,0.0,0.8144406227977864,1.0,0.08544428805846682,0.5005166535124944,1.0,asia,triggered,1,0.0207,0.0158,0.0158,-0.4808,0.0158,0.0207,0.0158,0.0158,-0.4808,0.0158,80099,103788,103788,21178,103788,152706.42,177250.89,177250.89,37874.89,177250.89,43.6,0.17288657869700974,5.757624965962408,66284.95,False,2026-03-02T00:44:10+00:00,0,,GOOD,66170.55,BTC-USDT-SWAP-LONG-1772409634000-1,65714.45,65942.5,0.6916631914167735
first,invalidated_or_expired,False,False,,0.702088857226068,0.5009529807602723,,0.6406811749603026,,0.6406811749603026,7.578628268724575e-05,True,0.5009529807602723,,7.578628268724575e-05,2026-03-02T00:14:51+00:00,21.933333333333334,21.933333333333334,14.0,1316.0,0.5017054871080957,1.0,,2026-03-02T00:36:47+00:00,covered_watch_early,2026-03-02,SHORT,0.1228,0.302,0.4202,0.3011,,,,,1,0,0,0,0,34.57,0.435,0.7253,0.6432,0.7253,0.000782,0.00091,0.000898,0.00091,2.7554,0.1927,-0.1927,2.0,0.0,0.0,0.2939,0.3774,0.3413,0.3774,0.0,0.6587950178125561,1.0,-0.25036613584096834,0.5015144791284768,,asia,confirmed,1,0.0738,0.0178,0.0271,0.1978,0.0178,-0.0738,-0.0178,-0.0271,-0.1978,-0.0178,52244,161911,129844,18849,161911,50284.02,235147.33,201336.57,22896.77,235147.33,,,,,False,,0,14.8722,GOOD,66086.65,BTC-USDT-SWAP-SHORT-1772410491000-2,65768.05,65927.35,0.48325922397910914
first,invalidated_or_expired,False,False,,0.651294555924045,0.5016992047076457,,0.5920859599309499,,0.5920859599309499,0.0,True,0.5016992047076457,,0.0,2026-03-02T00:15:02+00:00,21.75,21.75,3.0,1305.0,0.5017054871080957,1.0,,2026-03-02T00:36:47+00:00,covered_watch_early,2026-03-02,SHORT,0.1228,0.302,0.4202,0.3011,,,,,1,0,0,0,0,34.57,0.435,0.7253,0.6432,0.7253,0.000782,0.00091,0.000898,0.00091,2.7554,0.1927,-0.1927,2.0,0.0,0.0,0.2939,0.3774,0.3413,0.3774,0.0,0.6587950178125561,1.0,-0.3095603186264806,0.5015144791284768,,asia,confirmed,1,0.0738,0.0178,0.0271,0.1978,0.0178,-0.0738,-0.0178,-0.0271,-0.1978,-0.0178,52244,161911,129844,18849,161911,50284.02,235147.33,201336.57,22896.77,235147.33,,,,,False,,0,14.8722,GOOD,66086.65,BTC-USDT-SWAP-SHORT-1772410502000-3,65768.05,65927.35,0.48325922397910914
first,duplicate_reached_move,False,True,1,0.8144406227977864,,0.5005166535124944,,0.0,0.7404005661798058,0.0,True,0.5005166535124944,0.7404005661798058,,2026-03-02T00:20:03+00:00,7.583333333333333,7.583333333333333,24.0,455.0,0.4991927042518682,1.0,17.333333333333332,2026-03-02T00:27:38+00:00,covered_watch_early,2026-03-02,LONG,0.0254,0.4218,0.3013,,0.3022,True,True,False,1,0,0,0,0,43.65,0.4011,0.7253,0.7253,0.7253,0.000825,0.000956,0.000956,0.000956,2.0434,-0.1021,-0.1021,0.0,0.0,0.0,-0.1545,0.2572,0.2572,0.2572,1.0,0.6004990153865195,1.0,0.09437968375513256,0.4990972433354962,1.0,asia,triggered,1,-0.367,0.0028,0.0028,-0.0918,0.0028,-0.367,0.0028,0.0028,-0.0918,0.0028,55893,130052,130052,17180,130052,76420.84,202478.09,202478.09,14757.06,202478.09,24.916666666666668,0.7903773563475057,2.364746141837204,66553.65,False,2026-03-02T00:44:58+00:00,0,,GOOD,66031.75,BTC-USDT-SWAP-LONG-1772410803000-4,65800.55,65916.15,0.3507486405076709
first,invalidated_or_expired,False,False,,0.7543321119743953,0.4991648739594568,,0.6857564654312684,,0.6857564654312684,0.0,True,0.4991648739594568,,0.0,2026-03-02T00:49:58+00:00,12.883333333333333,12.883333333333333,67.0,773.0,0.5000389616546695,1.0,,2026-03-02T01:02:51+00:00,covered_watch_early,2026-03-02,SHORT,0.5449,0.4381,1.1424,0.4362,,,,,1,0,0,0,0,8.5,0.4198,1.5987,1.2958,1.5283,0.001176,0.00107,0.001208,0.001078,2.7554,-0.2291,0.2291,2.0,0.0,0.0,-0.0335,1.1071,0.6465,1.0592,2.0,0.6043188809613909,1.0,0.38660448114740364,0.5002837531156819,,asia,confirmed,1,0.0772,0.2044,0.3011,0.0988,0.2094,-0.0772,-0.2044,-0.3011,-0.0988,-0.2094,82256,331981,184066,26570,318335,150979.22,646899.03,429066.53,50087.28,631842.86,,,,,False,,1,6.931,GOOD,66699.95,BTC-USDT-SWAP-SHORT-1772412598000-5,66430.35,66565.15,0.40501673923966414
first,invalidated_or_expired,False,False,,0.670227720003729,0.5003333290740092,,0.6092979272761172,,0.6092979272761172,0.0,True,0.5003333290740092,,0.0,2026-03-02T00:50:10+00:00,12.683333333333334,12.683333333333334,55.0,761.0,0.5000389616546695,1.0,,2026-03-02T01:02:51+00:00,covered_watch_early,2026-03-02,SHORT,0.5449,0.4381,1.1424,0.4362,,,,,1,0,0,0,0,8.5,0.4198,1.5987,1.2958,1.5283,0.001176,0.00107,0.001208,0.001078,2.7554,-0.2291,0.2291,2.0,0.0,0.0,-0.0335,1.1071,0.6465,1.0592,2.0,0.6043188809613909,1.0,-0.12507876747840485,0.5002837531156819,,asia,confirmed,1,0.0772,0.2044,0.3011,0.0988,0.2094,-0.0772,-0.2044,-0.3011,-0.0988,-0.2094,82256,331981,184066,26570,318335,150979.22,646899.03,429066.53,50087.28,631842.86,,,,,False,,1,6.931,GOOD,66699.95,BTC-USDT-SWAP-SHORT-1772412610000-6,66430.35,66565.15,0.40501673923966414
first,failed_triggered,False,False,,0.6070957199358222,0.5008967509676716,,0.5519051999416565,,0.5519051999416565,0.0,True,0.5008967509676716,,0.0,2026-03-02T01:44:10+00:00,13.133333333333333,13.133333333333333,4.0,788.0,0.5009854533325971,1.0,9.066666666666666,2026-03-02T01:57:18+00:00,covered_mid,2026-03-02,SHORT,0.2393,0.8238,1.1952,0.2407,,False,True,True,1,1,0,0,0,-45.95,0.3784,2.0434,0.4269,1.1637,0.000728,0.001047,0.000776,0.001037,2.7554,0.3572,-0.3572,3.0,5.95,0.0,-0.1498,1.1631,-0.1096,0.0217,2.0,0.6612684400784026,1.0,-0.13336630388315246,0.4997302778517112,1.0,asia,triggered,1,-0.1622,0.1196,-0.0744,0.2339,-0.003,0.1622,-0.1196,0.0744,-0.2339,0.003,50572,622110,106767,13544,318686,66861.35,1081366.17,113709.25,15553.11,490532.8,22.2,0.219924397222626,7.179341659506763,66240.45,False,2026-03-02T02:06:22+00:00,1,0.691,MID,66637.65,BTC-USDT-SWAP-SHORT-1772415850000-9,66386.45,66512.04999999999,0.37767592488879403
first,invalidated_or_expired,False,False,,0.6244433478293527,,0.4996755193096706,,0.0,0.567675770753957,0.0,True,0.4996755193096706,0.567675770753957,,2026-03-02T01:16:52+00:00,30.15,30.15,15.0,1809.0,0.5000154828868779,1.0,,2026-03-02T01:47:01+00:00,wrong_direction,2026-03-02,LONG,0.3904,0.6977,1.3188,,0.2113,,,,1,0,1,0,0,,0.2475,2.0434,0.6686,1.1637,0.000717,0.001071,0.000854,0.001104,2.7554,-0.1085,-0.1085,2.0,0.0,4.61,0.0269,1.295,-0.4361,0.2019,0.0,0.644921861738805,1.0,0.11688311688311692,0.5013788222139951,,asia,confirmed,1,-0.0404,0.1354,-0.0723,-0.1726,0.0537,-0.0404,0.1354,-0.0723,-0.1726,0.0537,48424,586218,124509,15693,343688,34592.21,1023703.71,128619.49,9720.59,548822.21,,,,,False,,1,0.3865,BAD,66973.520025,BTC-USDT-SWAP-LONG-1772414212000-7,66457.85,66715.6850125,0.7729367163109879
first,invalidated_or_expired,False,False,,0.6124754454025445,,0.49909713578922693,,0.0,0.5567958594568586,0.0,True,0.49909713578922693,0.5567958594568586,,2026-03-02T01:17:03+00:00,29.966666666666665,29.966666666666665,5.0,1798.0,0.5000154828868779,1.0,,2026-03-02T01:47:01+00:00,wrong_direction,2026-03-02,LONG,0.3904,0.6977,1.3188,,0.2113,,,,1,0,1,0,0,,0.2475,2.0434,0.6686,1.1637,0.000717,0.001071,0.000854,0.001104,2.7554,-0.1085,-0.1085,2.0,0.0,4.61,0.0269,1.295,-0.4361,0.2019,0.0,0.644921861738805,1.0,-0.10322417515918401,0.5013788222139951,,asia,confirmed,1,-0.0404,0.1354,-0.0723,-0.1726,0.0537,-0.0404,0.1354,-0.0723,-0.1726,0.0537,48424,586218,124509,15693,343688,34592.21,1023703.71,128619.49,9720.59,548822.21,,,,,False,,1,0.3865,BAD,66922.494525,BTC-USDT-SWAP-LONG-1772414223000-8,66457.85,66690.17226250001,0.69672113481894
first,invalidated_or_expired,False,False,,0.644921861738805,,0.5013788222139951,,0.0,0.5862926015807317,0.0,True,0.5013788222139951,0.5862926015807317,,2026-03-02T01:47:01+00:00,5.65,5.65,6.0,339.0,0.4999548639581784,1.0,,2026-03-02T01:52:40+00:00,wrong_direction,2026-03-02,LONG,0.3181,0.7587,1.259,,0.2499,,,,1,0,1,0,0,,0.4269,2.0434,0.4798,1.1637,0.000726,0.00106,0.000803,0.001091,2.7554,-0.3003,-0.3003,2.0,0.0,5.35,-0.0431,1.2265,-0.137,-0.1431,2.0,0.6964642709771107,1.0,0.3893564307866441,0.5003531609375701,,asia,confirmed,1,-0.2044,0.119,-0.0738,-0.2663,-0.0073,-0.2044,0.119,-0.0738,-0.2663,-0.0073,53324,610515,114968,22797,332715,64807.16,1069672.26,124612.64,44736.46,514341.22,,,,,False,,1,0.6857,BAD,66630.648675,BTC-USDT-SWAP-LONG-1772416021000-10,66386.45,66508.54933750001,0.36716884886604884
