feature,type,good_mean,bad_mean,wrong_mean,missed_mean,good_long_mean,good_short_mean,bad_long_mean,bad_short_mean,d_good_vs_bad,d_good_vs_wrong,d_good_vs_missed
utc_hour,numeric,4.4878,10.1292,6.7338,10.7922,4.5238,4.45,9.9257,10.3224,-0.8312,-0.4729,-0.8738
pct_opposite_move_already_done,numeric,17.2324,6.5306,30.0528,1.4326,16.1571,18.3613,6.0242,7.0114,0.5179,-0.4228,1.0517
dist_to_recent_swing_high_pct,numeric,0.5752,0.8896,0.743,0.9083,0.5356,0.6168,0.7139,1.0565,-0.4216,-0.3048,-0.4242
taker_total_vol_60m,numeric,397546.8657,557039.1154,590392.987,506177.2082,379376.69,416625.5502,536135.1546,576889.9799,-0.3848,-0.5284,-0.2846
pct_correct_move_already_done,numeric,1.418,11.2561,8.8601,0.0,0.0,2.907,10.8354,11.6557,-0.3785,-0.3974,0.2965
local_range_180m_pct,numeric,1.2194,1.5772,1.7283,1.4763,1.2112,1.2281,1.5307,1.6213,-0.3731,-0.5813,-0.2834
is_us_session,boolean,,,,,,,,,,,
taker_imb_aligned_60m,numeric,-0.0274,0.0125,-0.0162,0.0121,-0.0033,-0.0527,0.0071,0.0175,-0.3163,-0.0914,-0.3013
taker_total_vol_15m,numeric,108740.2084,145524.823,150029.6972,133633.1717,115001.9114,102165.4202,129559.5318,160685.8174,-0.3081,-0.3701,-0.216
is_asia_session,boolean,,,,,,,,,,,
prior_move_60m_pct,numeric,0.1363,-0.0379,0.1168,-0.1008,0.1167,0.157,0.1364,-0.2034,0.2629,0.0318,0.4015
trig_break_pct,numeric,0.2743,0.2118,0.1657,0.224,0.2979,0.2281,0.2114,0.2122,0.2575,0.4221,0.1899
local_range_60m_pct,numeric,0.8411,0.9775,1.0298,0.9161,0.8526,0.829,0.9568,0.9972,-0.2565,-0.401,-0.1475
prior_move_30m_pct,numeric,0.0889,-0.0145,0.0994,-0.0495,0.1072,0.0697,0.0947,-0.1182,0.2377,-0.0261,0.3363
taker_imb_60m,numeric,0.024,-0.0055,0.0101,-0.0071,-0.0033,0.0527,0.0071,-0.0175,0.2332,0.1131,0.2362
taker_imb_aligned_30m,numeric,-0.0303,0.0006,-0.0237,-0.0017,-0.0096,-0.0521,-0.0014,0.0024,-0.2181,-0.0471,-0.196
local_range_30m_pct,numeric,0.5941,0.6706,0.6918,0.6369,0.6021,0.5857,0.6447,0.6951,-0.2131,-0.2837,-0.12
local_realized_vol_15m,numeric,0.0006,0.0007,0.0007,0.0007,0.0007,0.0006,0.0007,0.0007,-0.2003,-0.3458,-0.0864
taker_imb_180m,numeric,0.0212,0.0031,0.0286,-0.0027,0.007,0.036,0.0069,-0.0006,0.1871,-0.0786,0.2328
taker_imb_aligned_180m,numeric,-0.014,0.0037,-0.0221,0.0051,0.007,-0.036,0.0069,0.0006,-0.1824,0.085,-0.1861
dist_to_recent_swing_low_pct,numeric,0.716,0.8741,1.2277,0.7344,0.7886,0.6398,0.9657,0.7871,-0.1727,-0.5845,-0.0235
prior_move_15m_pct,numeric,0.0364,-0.008,0.0048,-0.0123,0.0272,0.0461,0.0032,-0.0186,0.1656,0.1088,0.1896
dist_to_4h_mean_pct,numeric,0.0964,-0.0276,0.2504,-0.1271,0.1529,0.0371,0.1342,-0.1813,0.1653,-0.2319,0.3354
taker_imb_30m,numeric,0.0205,-0.0019,0.0151,-0.0022,-0.0096,0.0521,-0.0014,-0.0024,0.1582,0.0385,0.1554
ofi_shift_5m_vs_30m,numeric,-0.0323,0.0105,-0.0052,0.0118,-0.2305,0.1757,-0.2186,0.228,-0.1465,-0.1009,-0.1486
is_during_opposite_move,boolean,,,,,,,,,,,
local_range_15m_pct,numeric,0.3959,0.43,0.4494,0.412,0.4167,0.374,0.4066,0.4523,-0.1447,-0.2043,-0.0716
local_realized_vol_60m,numeric,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,-0.1446,-0.3071,-0.0133
is_during_correct_move,boolean,,,,,,,,,,,
zone_width_pct,numeric,0.3564,0.4048,0.444,0.3939,0.3624,0.35,0.3908,0.4181,-0.131,-0.2325,-0.1031
prior_move_180m_pct,numeric,0.1476,0.0051,0.4595,-0.1463,0.2827,0.0057,0.1785,-0.1596,0.1251,-0.3032,0.2838
is_late_after_50pct_correct_move,boolean,,,,,,,,,,,
taker_imb_aligned_15m,numeric,-0.0603,-0.0433,-0.0606,-0.0429,-0.0469,-0.0744,-0.0408,-0.0456,-0.1094,0.0014,-0.1071
ofi_shift_aligned,numeric,-0.2038,-0.2235,-0.1849,-0.2261,-0.2305,-0.1757,-0.2186,-0.228,0.1026,-0.1008,0.113
taker_imb_aligned_5m,numeric,-0.1994,-0.1912,-0.1799,-0.1959,-0.2004,-0.1983,-0.1872,-0.1951,-0.0808,-0.1911,-0.033
opp_dir_zones_active_60m,numeric,0.9187,0.9961,1.3669,0.9462,0.9683,0.8667,1.0875,0.9093,-0.072,-0.4046,-0.0261
trig_flow_multiplier,numeric,2.1545,2.0348,1.821,2.1278,2.0065,2.4442,1.9047,2.1503,0.0703,0.2756,0.0136
cand_pressure_against,numeric,0.6006,0.5972,0.5946,0.5995,0.6009,0.6002,0.5945,0.5998,0.0692,0.1314,0.0212
score_ofi,numeric,-0.0087,0.0052,0.0427,-0.0052,0.0477,-0.0679,0.0878,-0.0733,-0.0685,-0.2663,-0.0172
vol_anomaly_15m_vs_bg,numeric,3.4083,2.7776,4.7891,2.4478,2.8753,3.9621,2.5826,2.9632,0.068,-0.0965,0.1473
taker_imb_5m,numeric,-0.0059,0.0089,0.0109,0.0102,-0.2004,0.1983,-0.1872,0.1951,-0.0679,-0.0779,-0.0721
candidate_to_confirm_min,numeric,12.4951,11.8335,12.5429,11.9401,12.2603,12.7417,12.0374,11.6399,0.0648,-0.0046,0.0527
conf_defended_persistence_sec,numeric,749.7073,710.009,752.5755,716.4063,735.619,764.5,722.2414,698.3929,0.0648,-0.0046,0.0527
conf_cycles_seen,numeric,53.4309,56.2351,44.9137,59.7347,55.6032,51.15,54.2387,58.131,-0.0574,0.195,-0.1265
taker_imb_15m,numeric,0.0123,0.0035,0.0051,0.0094,-0.0469,0.0744,-0.0408,0.0456,0.0539,0.0442,0.0173
same_dir_zones_active_60m,numeric,0.8293,0.8695,0.8993,0.8609,0.7937,0.8667,0.8037,0.932,-0.0415,-0.0708,-0.0327
sweep_reclaim_aligned,boolean,,,,,,,,,,,
conf_opposite_thinning,numeric,0.5002,0.5003,0.5003,0.5003,0.5004,0.5,0.5001,0.5004,-0.0377,-0.0394,-0.0518
confirm_to_trigger_min,numeric,61.5052,65.0005,43.9167,80.0453,50.978,82.1208,60.9918,68.5598,-0.0368,0.2162,-0.1754
total_pre_trigger_min,numeric,72.7432,75.746,54.9437,90.7258,61.505,94.7514,71.2698,79.7205,-0.0312,0.2107,-0.1681
cand_prior_move_pct,numeric,0.0003,0.0002,0.0002,0.0003,0.0002,0.0003,0.0002,0.0003,0.0285,0.1253,-0.0184
