zone_id,date,direction,setup_type,setup_type_score,setup_confidence,watch_label
BTC-USDT-SWAP-LONG-1772409634000-1,2026-03-02,LONG,absorption_reversal_long,114.101,7.65,GOOD
BTC-USDT-SWAP-SHORT-1772410491000-2,2026-03-02,SHORT,absorption_reversal_short,551.882,7.815,GOOD
BTC-USDT-SWAP-SHORT-1772410502000-3,2026-03-02,SHORT,absorption_reversal_short,551.882,7.815,GOOD
BTC-USDT-SWAP-LONG-1772410803000-4,2026-03-02,LONG,absorption_reversal_long,9.051,7.715,GOOD
BTC-USDT-SWAP-SHORT-1772412598000-5,2026-03-02,SHORT,absorption_reversal_short,18.839,2.84,GOOD
BTC-USDT-SWAP-SHORT-1772412610000-6,2026-03-02,SHORT,absorption_reversal_short,18.839,2.84,GOOD
BTC-USDT-SWAP-SHORT-1772415850000-9,2026-03-02,SHORT,absorption_reversal_short,45.776,7.393,MID
BTC-USDT-SWAP-LONG-1772414212000-7,2026-03-02,LONG,absorption_reversal_long,120.789,7.85,BAD
BTC-USDT-SWAP-LONG-1772414223000-8,2026-03-02,LONG,absorption_reversal_long,120.789,7.85,BAD
BTC-USDT-SWAP-LONG-1772416021000-10,2026-03-02,LONG,retest_after_breakout_long,20.61,11.684,BAD
BTC-USDT-SWAP-SHORT-1772418726000-11,2026-03-02,SHORT,absorption_reversal_short,44.343,7.52,MID
BTC-USDT-SWAP-LONG-1772419889000-13,2026-03-02,LONG,retest_after_breakout_long,9.081,0.54,BAD
BTC-USDT-SWAP-LONG-1772420096000-14,2026-03-02,LONG,absorption_reversal_long,69.336,7.572,BAD
BTC-USDT-SWAP-SHORT-1772419273000-12,2026-03-02,SHORT,absorption_reversal_short,48.87,7.706,MID
BTC-USDT-SWAP-LONG-1772420976000-15,2026-03-02,LONG,absorption_reversal_long,18.822,7.784,BAD
BTC-USDT-SWAP-SHORT-1772422168000-17,2026-03-02,SHORT,retest_after_breakout_short,35.926,27.554,MID
BTC-USDT-SWAP-SHORT-1772421927000-16,2026-03-02,SHORT,absorption_reversal_short,88.445,7.592,MID
BTC-USDT-SWAP-LONG-1772423133000-18,2026-03-02,LONG,absorption_reversal_long,76.08,7.655,BAD
BTC-USDT-SWAP-SHORT-1772434429000-19,2026-03-02,SHORT,retest_after_breakout_short,119.758,36.104,MID
BTC-USDT-SWAP-SHORT-1772436650000-21,2026-03-02,SHORT,retest_after_breakout_short,32.666,24.158,BAD
BTC-USDT-SWAP-SHORT-1772436154000-20,2026-03-02,SHORT,absorption_reversal_short,46.434,2.592,MID
BTC-USDT-SWAP-SHORT-1772454967000-22,2026-03-02,SHORT,absorption_reversal_short,50.336,7.47,BAD
BTC-USDT-SWAP-LONG-1772461492000-27,2026-03-02,LONG,absorption_reversal_long,89.822,8.144,MID
BTC-USDT-SWAP-SHORT-1772459757000-24,2026-03-02,SHORT,absorption_reversal_short,205.822,8.002,BAD
BTC-USDT-SWAP-SHORT-1772460162000-25,2026-03-02,SHORT,absorption_reversal_short,43.982,8.024,BAD
BTC-USDT-SWAP-LONG-1772459159000-23,2026-03-02,LONG,retest_after_breakout_long,58.159,31.404,MID
BTC-USDT-SWAP-SHORT-1772461132000-26,2026-03-02,SHORT,retest_after_breakout_short,44.574,34.104,BAD
