zone_id,date,direction,tz_entry_ref_price,tz_target_type,tz_target_price,tz_target_distance_pct,tz_has_target_ge_2pct,tz_room_to_run_pct,tz_nearest_obstacle_type
BTC-USDT-SWAP-LONG-1772409634000-1,2026-03-02,LONG,65901.6,blocked,,0.0734,0,0.0734,hvn
BTC-USDT-SWAP-SHORT-1772410491000-2,2026-03-02,SHORT,65991.7,blocked,,0.0632,0,0.0632,hvn
BTC-USDT-SWAP-SHORT-1772410502000-3,2026-03-02,SHORT,65991.7,blocked,,0.0632,0,0.0632,hvn
BTC-USDT-SWAP-LONG-1772410803000-4,2026-03-02,LONG,65913.0,blocked,,0.0561,0,0.0561,hvn
BTC-USDT-SWAP-SHORT-1772412598000-5,2026-03-02,SHORT,66473.8,blocked,,0.2424,0,0.2424,swing_low
BTC-USDT-SWAP-SHORT-1772412610000-6,2026-03-02,SHORT,66473.8,blocked,,0.2424,0,0.2424,swing_low
BTC-USDT-SWAP-SHORT-1772415850000-9,2026-03-02,SHORT,66509.3,blocked,,0.2395,0,0.2395,hvn
BTC-USDT-SWAP-LONG-1772414212000-7,2026-03-02,LONG,66592.6,blocked,,0.6977,0,0.6977,session_high
BTC-USDT-SWAP-LONG-1772414223000-8,2026-03-02,LONG,66592.6,blocked,,0.6977,0,0.6977,session_high
BTC-USDT-SWAP-LONG-1772416021000-10,2026-03-02,LONG,66552.3,blocked,,0.121,0,0.121,swing_high
BTC-USDT-SWAP-SHORT-1772418726000-11,2026-03-02,SHORT,66293.6,blocked,,0.0959,0,0.0959,swing_high
BTC-USDT-SWAP-LONG-1772419889000-13,2026-03-02,LONG,66223.8,blocked,,0.3689,0,0.3689,swing_high
BTC-USDT-SWAP-LONG-1772420096000-14,2026-03-02,LONG,66190.6,blocked,,0.4674,0,0.4674,hvn
BTC-USDT-SWAP-SHORT-1772419273000-12,2026-03-02,SHORT,66464.8,blocked,,0.1983,0,0.1983,swing_high
BTC-USDT-SWAP-LONG-1772420976000-15,2026-03-02,LONG,66759.0,blocked,,0.4467,0,0.4467,session_high
BTC-USDT-SWAP-SHORT-1772422168000-17,2026-03-02,SHORT,66858.0,hvn,65250.0,2.4051,1,0.3436,swing_high
BTC-USDT-SWAP-SHORT-1772421927000-16,2026-03-02,SHORT,66745.8,hvn,65250.0,2.241,1,0.2934,hvn
BTC-USDT-SWAP-LONG-1772423133000-18,2026-03-02,LONG,66864.2,blocked,,0.2886,0,0.2886,session_high
BTC-USDT-SWAP-SHORT-1772434429000-19,2026-03-02,SHORT,66157.9,blocked,,0.6704,0,0.6704,session_low
BTC-USDT-SWAP-SHORT-1772436650000-21,2026-03-02,SHORT,65907.0,blocked,,0.5901,0,0.5901,session_low
BTC-USDT-SWAP-SHORT-1772436154000-20,2026-03-02,SHORT,65762.7,blocked,,0.3719,0,0.3719,session_low
BTC-USDT-SWAP-SHORT-1772454967000-22,2026-03-02,SHORT,65991.8,blocked,,0.1391,0,0.1391,hvn
BTC-USDT-SWAP-LONG-1772461492000-27,2026-03-02,LONG,65472.6,session_high,67057.2,2.4202,1,0.0695,swing_low
BTC-USDT-SWAP-SHORT-1772459757000-24,2026-03-02,SHORT,65393.1,blocked,,0.1214,0,0.1214,session_low
BTC-USDT-SWAP-SHORT-1772460162000-25,2026-03-02,SHORT,65486.0,blocked,,0.4222,0,0.4222,session_low
BTC-USDT-SWAP-LONG-1772459159000-23,2026-03-02,LONG,65422.5,session_high,67057.2,2.4987,1,0.1949,hvn
BTC-USDT-SWAP-SHORT-1772461132000-26,2026-03-02,SHORT,66105.4,blocked,,0.0864,0,0.0864,swing_low
BTC-USDT-SWAP-LONG-1772464005000-28,2026-03-02,LONG,68537.4,blocked,,0.0724,0,0.0724,session_high
BTC-USDT-SWAP-LONG-1772464013000-29,2026-03-02,LONG,68537.4,blocked,,0.0724,0,0.0724,session_high
BTC-USDT-SWAP-LONG-1772465497000-30,2026-03-02,LONG,69421.9,blocked,,0.0981,0,0.0981,session_high
BTC-USDT-SWAP-LONG-1772468544000-32,2026-03-02,LONG,69349.9,blocked,,0.0722,0,0.0722,hvn
BTC-USDT-SWAP-SHORT-1772471902000-34,2026-03-02,SHORT,69405.8,swing_high,66355.0,4.3956,1,0.0516,swing_low
BTC-USDT-SWAP-SHORT-1772471938000-35,2026-03-02,SHORT,69355.5,swing_high,66405.9,4.2529,1,0.08,hvn
BTC-USDT-SWAP-LONG-1772470363000-33,2026-03-02,LONG,69468.4,blocked,,0.1175,0,0.1175,hvn
BTC-USDT-SWAP-SHORT-1772472002000-36,2026-03-02,SHORT,69355.5,swing_high,66405.9,4.2529,1,0.08,hvn
BTC-USDT-SWAP-SHORT-1772468028000-31,2026-03-02,SHORT,69457.3,hvn,66400.0,4.4017,1,0.0825,hvn
BTC-USDT-SWAP-SHORT-1772474203000-37,2026-03-02,SHORT,69011.0,swing_high,66355.0,3.8487,1,0.1608,hvn
BTC-USDT-SWAP-SHORT-1772496035000-1,2026-03-03,SHORT,68861.9,blocked,,0.0899,0,0.0899,hvn
BTC-USDT-SWAP-SHORT-1772496525000-2,2026-03-03,SHORT,68837.7,blocked,,0.0548,0,0.0548,hvn
