zone_id,date,direction,confirmed_iso,tz_entry_ref_price,tz_session_high,tz_session_low,tz_nearest_obstacle_pct,tz_nearest_obstacle_type,tz_room_to_run_pct,tz_n_obstacles_within_2pct,tz_target_price,tz_target_type,tz_target_distance_pct,tz_has_target_ge_2pct,tz_void_thin_path_score,tz_opposing_wall_risk,tz_max_wall_on_path,tz_n_swing_levels,tz_n_volume_nodes,watch_label,coverage_class,setup_type
BTC-USDT-SWAP-LONG-1772409634000-1,2026-03-02,LONG,2026-03-02T00:20:03+00:00,65901.6,66191.0,65714.4,0.0734,hvn,0.0734,10,,blocked,0.0734,0,0.1013,49.0,255.48,6,10,GOOD,covered_watch_early,absorption_reversal_long
BTC-USDT-SWAP-SHORT-1772410491000-2,2026-03-02,SHORT,2026-03-02T00:36:47+00:00,65991.7,66191.0,65714.4,0.0632,hvn,0.0632,5,,blocked,0.0632,0,0.1037,38.0,196.05,5,9,GOOD,covered_watch_early,absorption_reversal_short
BTC-USDT-SWAP-SHORT-1772410502000-3,2026-03-02,SHORT,2026-03-02T00:36:47+00:00,65991.7,66191.0,65714.4,0.0632,hvn,0.0632,5,,blocked,0.0632,0,0.1037,38.0,196.05,5,9,GOOD,covered_watch_early,absorption_reversal_short
BTC-USDT-SWAP-LONG-1772410803000-4,2026-03-02,LONG,2026-03-02T00:27:38+00:00,65913.0,66191.0,65714.4,0.0561,hvn,0.0561,12,,blocked,0.0561,0,0.0964,68.0,1526.12,6,10,GOOD,covered_watch_early,absorption_reversal_long
BTC-USDT-SWAP-SHORT-1772412598000-5,2026-03-02,SHORT,2026-03-02T01:02:51+00:00,66473.8,66765.0,65714.4,0.2424,swing_low,0.2424,15,,blocked,0.2424,0,0.0985,51.0,1228.05,8,8,GOOD,covered_watch_early,absorption_reversal_short
BTC-USDT-SWAP-SHORT-1772412610000-6,2026-03-02,SHORT,2026-03-02T01:02:51+00:00,66473.8,66765.0,65714.4,0.2424,swing_low,0.2424,15,,blocked,0.2424,0,0.0985,51.0,1228.05,8,8,GOOD,covered_watch_early,absorption_reversal_short
BTC-USDT-SWAP-SHORT-1772415850000-9,2026-03-02,SHORT,2026-03-02T01:57:18+00:00,66509.3,67057.2,65714.4,0.2395,hvn,0.2395,11,,blocked,0.2395,0,0.1016,43.0,290.69,2,10,MID,covered_mid,absorption_reversal_short
BTC-USDT-SWAP-LONG-1772414212000-7,2026-03-02,LONG,2026-03-02T01:47:01+00:00,66592.6,67057.2,65714.4,0.6977,session_high,0.6977,1,,blocked,0.6977,0,0.1033,41.0,207.47,5,10,BAD,wrong_direction,absorption_reversal_long
BTC-USDT-SWAP-LONG-1772414223000-8,2026-03-02,LONG,2026-03-02T01:47:01+00:00,66592.6,67057.2,65714.4,0.6977,session_high,0.6977,1,,blocked,0.6977,0,0.1033,41.0,207.47,5,10,BAD,wrong_direction,absorption_reversal_long
BTC-USDT-SWAP-LONG-1772416021000-10,2026-03-02,LONG,2026-03-02T01:52:40+00:00,66552.3,67057.2,65714.4,0.121,swing_high,0.121,2,,blocked,0.121,0,0.1018,37.0,770.73,7,10,BAD,wrong_direction,retest_after_breakout_long
