date,zone_id,direction,class,trigger_iso,range_15m_pct,range_30m_pct,range_60m_pct,range_180m_pct
2026-03-16,BTC-USDT-SWAP-SHORT-1773620946000-4,SHORT,failed_triggered,2026-03-16T01:05:02+00:00,0.4219,0.4621,0.854,0.9086
2026-03-16,BTC-USDT-SWAP-SHORT-1773626785000-7,SHORT,failed_triggered,2026-03-16T02:27:51+00:00,0.5069,0.6796,0.6796,1.057
2026-03-16,BTC-USDT-SWAP-LONG-1773620182000-2,LONG,primary_unique_reached_move,2026-03-16T03:30:42+00:00,0.7409,0.8223,0.9143,1.0733
2026-03-16,BTC-USDT-SWAP-LONG-1773620204000-3,LONG,duplicate_reached_move,2026-03-16T03:30:42+00:00,0.7409,0.8223,0.9143,1.0733
2026-03-16,BTC-USDT-SWAP-LONG-1773623888000-6,LONG,duplicate_reached_move,2026-03-16T03:30:42+00:00,0.7409,0.8223,0.9143,1.0733
2026-03-16,BTC-USDT-SWAP-SHORT-1773638712000-12,SHORT,failed_triggered,2026-03-16T06:07:20+00:00,0.5668,0.5668,0.7354,2.7573
2026-03-16,BTC-USDT-SWAP-SHORT-1773639024000-13,SHORT,failed_triggered,2026-03-16T06:12:23+00:00,0.8138,0.8138,0.8138,2.7573
2026-03-16,BTC-USDT-SWAP-SHORT-1773640454000-15,SHORT,failed_triggered,2026-03-16T06:12:32+00:00,0.9335,0.9335,0.9335,2.7573
2026-03-16,BTC-USDT-SWAP-SHORT-1773640886000-16,SHORT,failed_triggered,2026-03-16T07:41:10+00:00,0.5742,0.6619,0.6619,1.4159
2026-03-16,BTC-USDT-SWAP-SHORT-1773647103000-18,SHORT,failed_triggered,2026-03-16T08:31:28+00:00,0.418,0.7105,0.7325,1.3658
2026-03-16,BTC-USDT-SWAP-LONG-1773655882000-26,LONG,failed_triggered,2026-03-16T10:50:18+00:00,0.4592,0.4592,0.4592,1.2649
2026-03-16,BTC-USDT-SWAP-LONG-1773656977000-27,LONG,failed_triggered,2026-03-16T10:50:18+00:00,0.4592,0.4592,0.4592,1.2649
2026-03-16,BTC-USDT-SWAP-LONG-1773650421000-22,LONG,failed_triggered,2026-03-16T10:56:14+00:00,0.6734,0.723,0.723,1.2649
2026-03-16,BTC-USDT-SWAP-LONG-1773660808000-30,LONG,failed_triggered,2026-03-16T12:04:25+00:00,0.4203,0.4203,0.43,1.0624
2026-03-16,BTC-USDT-SWAP-SHORT-1773660536000-29,SHORT,failed_triggered,2026-03-16T12:11:18+00:00,0.4846,0.4846,0.4846,0.9538
2026-03-16,BTC-USDT-SWAP-LONG-1773659225000-28,LONG,failed_triggered,2026-03-16T12:27:19+00:00,0.5644,0.5977,0.5977,0.9597
2026-03-16,BTC-USDT-SWAP-LONG-1773665169000-32,LONG,failed_triggered,2026-03-16T13:31:39+00:00,0.3051,0.3182,0.4796,1.1757
2026-03-16,BTC-USDT-SWAP-LONG-1773664875000-31,LONG,failed_triggered,2026-03-16T13:32:09+00:00,0.3071,0.3182,0.4796,1.1757
2026-03-16,BTC-USDT-SWAP-LONG-1773666805000-33,LONG,failed_triggered,2026-03-16T13:32:12+00:00,0.339,0.339,0.4796,1.1757
2026-03-16,BTC-USDT-SWAP-LONG-1773650790000-23,LONG,failed_triggered,2026-03-16T13:35:27+00:00,0.825,0.8502,0.9576,1.6571
2026-03-16,BTC-USDT-SWAP-LONG-1773684454000-38,LONG,failed_triggered,2026-03-16T19:10:10+00:00,0.8627,0.8627,0.8627,1.5634
2026-03-16,BTC-USDT-SWAP-LONG-1773685469000-39,LONG,failed_triggered,2026-03-16T19:10:12+00:00,0.8964,0.8964,0.8964,1.5974
2026-03-16,BTC-USDT-SWAP-LONG-1773695990000-40,LONG,failed_triggered,2026-03-16T21:36:14+00:00,0.5859,0.5859,0.8427,1.1852
2026-03-16,BTC-USDT-SWAP-SHORT-1773700604000-44,SHORT,failed_triggered,2026-03-16T23:02:18+00:00,0.3433,0.3457,0.6242,1.4227
2026-03-18,BTC-USDT-SWAP-SHORT-1773792030000-1,SHORT,primary_unique_reached_move,2026-03-18T00:23:51+00:00,0.4186,0.4204,0.4204,0.4204
2026-03-18,BTC-USDT-SWAP-LONG-1773793270000-3,LONG,failed_triggered,2026-03-18T01:29:00+00:00,0.258,0.3194,0.6999,0.7403
2026-03-18,BTC-USDT-SWAP-LONG-1773796201000-7,LONG,failed_triggered,2026-03-18T01:30:30+00:00,0.2886,0.35,0.7306,0.7403
2026-03-18,BTC-USDT-SWAP-LONG-1773794558000-5,LONG,failed_triggered,2026-03-18T01:31:23+00:00,0.4205,0.4498,0.8632,0.8632
2026-03-18,BTC-USDT-SWAP-LONG-1773793754000-4,LONG,failed_triggered,2026-03-18T01:33:57+00:00,0.4185,0.4907,0.9043,0.9043
2026-03-18,BTC-USDT-SWAP-LONG-1773798977000-9,LONG,failed_triggered,2026-03-18T02:16:28+00:00,0.3248,0.3946,0.6083,1.0518
2026-03-18,BTC-USDT-SWAP-LONG-1773799629000-10,LONG,failed_triggered,2026-03-18T02:34:15+00:00,0.2416,0.3996,0.4695,1.1272
2026-03-18,BTC-USDT-SWAP-LONG-1773800100000-11,LONG,failed_triggered,2026-03-18T03:25:28+00:00,0.4121,0.4421,0.5379,1.4261
2026-03-18,BTC-USDT-SWAP-SHORT-1773806704000-17,SHORT,duplicate_reached_move,2026-03-18T05:27:07+00:00,0.2377,0.2631,0.2647,0.7634
2026-03-18,BTC-USDT-SWAP-SHORT-1773808660000-19,SHORT,duplicate_reached_move,2026-03-18T05:29:15+00:00,0.3283,0.3537,0.3537,0.8545
2026-03-18,BTC-USDT-SWAP-SHORT-1773802038000-13,SHORT,duplicate_reached_move,2026-03-18T05:55:44+00:00,0.3396,0.4465,0.6419,1.144
2026-03-18,BTC-USDT-SWAP-SHORT-1773814999000-20,SHORT,duplicate_reached_move,2026-03-18T07:31:27+00:00,0.2176,0.276,0.5808,0.7015
2026-03-18,BTC-USDT-SWAP-SHORT-1773804588000-14,SHORT,duplicate_reached_move,2026-03-18T11:29:40+00:00,0.5895,0.6761,0.8383,0.9501
2026-03-18,BTC-USDT-SWAP-SHORT-1773834431000-26,SHORT,duplicate_reached_move,2026-03-18T12:11:29+00:00,0.4726,0.6578,1.8693,2.2345
2026-03-18,BTC-USDT-SWAP-SHORT-1773835688000-27,SHORT,duplicate_reached_move,2026-03-18T12:30:43+00:00,0.3879,0.529,1.3625,2.3204
2026-03-18,BTC-USDT-SWAP-SHORT-1773836170000-28,SHORT,duplicate_reached_move,2026-03-18T12:30:51+00:00,0.4537,0.5949,1.0927,2.3874
2026-03-18,BTC-USDT-SWAP-SHORT-1773834370000-25,SHORT,duplicate_reached_move,2026-03-18T12:32:15+00:00,0.6099,0.6976,1.1811,2.5467
2026-03-18,BTC-USDT-SWAP-SHORT-1773837926000-31,SHORT,duplicate_reached_move,2026-03-18T13:01:23+00:00,0.4579,0.562,1.0958,2.9034
2026-03-18,BTC-USDT-SWAP-SHORT-1773837656000-30,SHORT,duplicate_reached_move,2026-03-18T13:02:07+00:00,0.528,0.5803,1.1528,2.9752
2026-03-18,BTC-USDT-SWAP-SHORT-1773842088000-33,SHORT,failed_triggered,2026-03-18T14:28:18+00:00,0.2812,0.5518,1.0272,2.7723
2026-03-18,BTC-USDT-SWAP-SHORT-1773842025000-32,SHORT,failed_triggered,2026-03-18T14:28:20+00:00,0.3511,0.6218,1.0976,2.8334
2026-03-18,BTC-USDT-SWAP-SHORT-1773844720000-37,SHORT,failed_triggered,2026-03-18T14:43:32+00:00,0.5538,0.784,1.3,2.3431
