date,zone_id,direction,class,candidate_iso,confirmed_iso,trigger_iso,candidate_to_confirm_min,confirm_to_trigger_min,total_pre_trigger_min,trigger_to_target_min_canonical_1pct_stop,trigger_to_stop_min_canonical_1pct_stop,filter_kept,filter_fast_ok,filter_dup_suppressed
2026-03-16,BTC-USDT-SWAP-LONG-1773619553000-1,LONG,invalidated_or_expired,2026-03-16T00:05:53+00:00,2026-03-16T00:09:04+00:00,,3.183333333333333,,,,,,,
2026-03-16,BTC-USDT-SWAP-SHORT-1773620946000-4,SHORT,failed_triggered,2026-03-16T00:29:06+00:00,2026-03-16T00:47:37+00:00,2026-03-16T01:05:02+00:00,18.516666666666666,17.416666666666668,35.93333333333333,,,True,True,False
2026-03-16,BTC-USDT-SWAP-SHORT-1773623053000-5,SHORT,invalidated_or_expired,2026-03-16T01:04:13+00:00,2026-03-16T01:11:28+00:00,,7.25,,,,,,,
2026-03-16,BTC-USDT-SWAP-SHORT-1773626785000-7,SHORT,failed_triggered,2026-03-16T02:06:25+00:00,2026-03-16T02:09:25+00:00,2026-03-16T02:27:51+00:00,3.0,18.433333333333334,21.433333333333334,,,True,True,False
2026-03-16,BTC-USDT-SWAP-SHORT-1773628369000-8,SHORT,invalidated_or_expired,2026-03-16T02:32:49+00:00,2026-03-16T02:35:49+00:00,,3.0,,,,,,,
2026-03-16,BTC-USDT-SWAP-LONG-1773620182000-2,LONG,primary_unique_reached_move,2026-03-16T00:16:22+00:00,2026-03-16T00:37:27+00:00,2026-03-16T03:30:42+00:00,21.083333333333332,173.25,194.33333333333334,84.32,,False,False,False
2026-03-16,BTC-USDT-SWAP-LONG-1773620204000-3,LONG,duplicate_reached_move,2026-03-16T00:16:44+00:00,2026-03-16T00:37:27+00:00,2026-03-16T03:30:42+00:00,20.716666666666665,173.25,193.96666666666667,84.32,,False,False,False
2026-03-16,BTC-USDT-SWAP-LONG-1773623888000-6,LONG,duplicate_reached_move,2026-03-16T01:18:08+00:00,2026-03-16T01:57:01+00:00,2026-03-16T03:30:42+00:00,38.88333333333333,93.68333333333334,132.56666666666666,84.32,,False,False,False
2026-03-16,BTC-USDT-SWAP-SHORT-1773633161000-9,SHORT,invalidated_or_expired,2026-03-16T03:52:41+00:00,2026-03-16T04:01:50+00:00,,9.15,,,,,,,
2026-03-16,BTC-USDT-SWAP-SHORT-1773634922000-11,SHORT,invalidated_or_expired,2026-03-16T04:22:02+00:00,2026-03-16T04:30:03+00:00,,8.016666666666667,,,,,,,
2026-03-16,BTC-USDT-SWAP-LONG-1773633430000-10,LONG,invalidated_or_expired,2026-03-16T03:57:10+00:00,,,,,,,,,,
2026-03-16,BTC-USDT-SWAP-SHORT-1773638712000-12,SHORT,failed_triggered,2026-03-16T05:25:12+00:00,2026-03-16T05:29:00+00:00,2026-03-16T06:07:20+00:00,3.8,38.333333333333336,42.13333333333333,,,True,True,False
2026-03-16,BTC-USDT-SWAP-SHORT-1773639024000-13,SHORT,failed_triggered,2026-03-16T05:30:24+00:00,2026-03-16T05:33:32+00:00,2026-03-16T06:12:23+00:00,3.1333333333333333,38.85,41.983333333333334,,,False,True,True
2026-03-16,BTC-USDT-SWAP-SHORT-1773640454000-15,SHORT,failed_triggered,2026-03-16T05:54:14+00:00,2026-03-16T06:01:26+00:00,2026-03-16T06:12:32+00:00,7.2,11.1,18.3,,,False,True,True
2026-03-16,BTC-USDT-SWAP-SHORT-1773640886000-16,SHORT,failed_triggered,2026-03-16T06:01:26+00:00,2026-03-16T06:20:42+00:00,2026-03-16T07:41:10+00:00,19.266666666666666,80.46666666666667,99.73333333333333,,,False,False,False
2026-03-16,BTC-USDT-SWAP-LONG-1773641764000-17,LONG,invalidated_or_expired,2026-03-16T06:16:04+00:00,2026-03-16T06:45:49+00:00,,29.75,,,,,,,
2026-03-16,BTC-USDT-SWAP-SHORT-1773647103000-18,SHORT,failed_triggered,2026-03-16T07:45:03+00:00,2026-03-16T07:59:28+00:00,2026-03-16T08:31:28+00:00,14.416666666666666,32.0,46.416666666666664,,,False,True,True
2026-03-16,BTC-USDT-SWAP-LONG-1773640084000-14,LONG,invalidated_or_expired,2026-03-16T05:48:04+00:00,2026-03-16T06:16:04+00:00,,28.0,,,,,,,
2026-03-16,BTC-USDT-SWAP-LONG-1773647666000-19,LONG,invalidated_or_expired,2026-03-16T07:54:26+00:00,2026-03-16T08:20:09+00:00,,25.716666666666665,,,,,,,
