_venue,_date,id,direction,sim_label,strong_label,true_mfe,true_mae,sim_outcome,sim_pnl_after_cost,taker_imbalance_15m,supportive_taker_imb_15m,eng_ofi,reclaim_zoneMid_preconfirm,regime_1d,dist_to_recent_swing_high_pct,cv_mate_dmin,cv_match_5m,cv_match_15m,cv_same_dir,cv_mate_taker,cv_confirm,cv_conflict,cv_lead
OKX,2026-05-22,BTC-USDT-SWAP-SHORT-1779408570000-2,SHORT,GOOD,STRONG_2_5,2.785,-0.528,WIN,1.86,0.0771,-0.0771,-0.3711946944904984,0,RANGE,0.4113,2.65,1,1,1,-0.0368,1,0,self
OKX,2026-05-22,BTC-USDT-SWAP-LONG-1779408364000-1,LONG,NOISE,MID,0.494,-2.818,LOSS,-1.64,0.3147,0.3147,-0.05940980764330244,1,RANGE,0.3775,11.37,0,1,0,-0.0368,0,1,other
OKX,2026-05-22,BTC-USDT-SWAP-LONG-1779415195000-4,LONG,NOISE,MID,0.27,-3.19,LOSS,-1.64,0.1806,0.1806,0.11381598489103649,1,RANGE,0.0769,16.45,0,0,0,0.1741,1,0,self
OKX,2026-05-22,BTC-USDT-SWAP-LONG-1779416443000-6,LONG,NOISE,MID,0.31,-3.151,LOSS,-1.64,-0.2003,-0.2003,0.19784957599496028,0,RANGE,0.1109,5.38,0,1,0,0.1741,1,0,other
OKX,2026-05-22,BTC-USDT-SWAP-SHORT-1779421196000-8,SHORT,GOOD,STRONG_3,3.3,-0.156,WIN,1.86,0.0936,-0.0936,-0.1585771887369443,1,RANGE,0.0332,26.7,0,0,1,0.2236,0,1,self
OKX,2026-05-22,BTC-USDT-SWAP-SHORT-1779423246000-9,SHORT,GOOD,STRONG_3,3.351,-0.006,WIN,1.86,0.0329,-0.0329,0.0467823170636827,1,RANGE,0.1026,12.97,0,1,1,0.2236,0,1,other
OKX,2026-05-22,BTC-USDT-SWAP-SHORT-1779415546000-5,SHORT,GOOD,STRONG_3,3.14,-0.322,WIN,1.86,-0.0391,0.0391,-0.259134577425258,1,RANGE,0.1224,9.98,0,1,1,0.1741,0,1,other
OKX,2026-05-22,BTC-USDT-SWAP-LONG-1779420889000-7,LONG,NOISE,MID,0.154,-3.302,LOSS,-1.64,0.0224,0.0224,-0.0380223659423884,0,RANGE,0.0313,21.92,0,0,0,0.2236,1,0,self
OKX,2026-05-22,BTC-USDT-SWAP-SHORT-1779411930000-3,SHORT,GOOD,STRONG_2_5,2.882,-0.589,WIN,1.86,0.3502,-0.3502,-0.06271025801990764,0,RANGE,0.4719,9.92,0,1,1,-0.093,1,0,other
OKX,2026-05-22,BTC-USDT-SWAP-LONG-1779448856000-14,LONG,NOISE,MID,0.427,-3.911,LOSS,-1.64,-0.5418,-0.5418,0.33073262698668326,1,RANGE,0.3829,131.57,0,0,,,0,0,
