variant,zone_id,date,direction,trigger_ts_ms,entry_sec,exit_sec,entry_price,exit_price,exit_reason,pnl_pct,mfe_pct,mae_pct,time_in_trade_h,used_stop_pct
baseline,BTC-USDT-SWAP-LONG-1772409634000-1,2026-03-02,LONG,1772412250000,1772412250,1772435426,66252.3,65589.777,stop,-1.0,1.214901,1.007663,6.4378,1.0
baseline,BTC-USDT-SWAP-SHORT-1772436650000-21,2026-03-02,SHORT,1772440062000,1772440062,1772442116,65698.1,66355.081,stop,-1.0,0.111114,1.014032,0.5706,1.0
baseline,BTC-USDT-SWAP-SHORT-1772454967000-22,2026-03-02,SHORT,1772456650000,1772456650,1772462540,65856.1,66514.66100000001,stop,-1.0,0.981838,1.005374,1.6361,1.0
baseline,BTC-USDT-SWAP-LONG-1772464005000-28,2026-03-02,LONG,1772464867000,1772464867,1772495999,68715.2,68799.5,timeout,0.12268,1.982385,0.537145,8.6478,1.0
baseline,BTC-USDT-SWAP-SHORT-1772496035000-1,2026-03-03,SHORT,1772497156000,1772497156,1772527326,68699.3,67325.314,target_2pct,2.0,2.022291,0.79011,8.3806,1.0
baseline,BTC-USDT-SWAP-LONG-1772536899000-31,2026-03-03,LONG,1772537968000,1772537968,1772549070,67037.8,66367.422,stop,-1.0,1.336112,1.012265,3.0839,1.0
baseline,BTC-USDT-SWAP-LONG-1772553323000-38,2026-03-03,LONG,1772553878000,1772553878,1772582399,67891.6,68294.3,timeout,0.593151,1.56308,0.675341,7.9225,1.0
baseline,BTC-USDT-SWAP-SHORT-1772582934000-2,2026-03-04,SHORT,1772584483000,1772584483,1772588530,68008.4,68688.484,stop,-1.0,0.285406,1.08913,1.1242,1.0
baseline,BTC-USDT-SWAP-SHORT-1772588463000-6,2026-03-04,SHORT,1772588837000,1772588837,1772610423,68439.0,69123.39,stop,-1.0,1.579363,1.046187,5.9961,1.0
baseline,BTC-USDT-SWAP-LONG-1772611621000-23,2026-03-04,LONG,1772613742000,1772613742,1772615201,69802.0,71198.04000000001,target_2pct,2.0,2.054382,0.034526,0.4053,1.0
baseline,BTC-USDT-SWAP-LONG-1772613179000-25,2026-03-04,LONG,1772615849000,1772615849,1772626709,71434.6,70720.254,stop,-1.0,0.620568,1.010575,3.0167,1.0
baseline,BTC-USDT-SWAP-LONG-1772631907000-37,2026-03-04,LONG,1772633824000,1772633824,1772639919,71961.6,73400.83200000001,target_2pct,2.0,2.053039,0.976354,1.6931,1.0
baseline,BTC-USDT-SWAP-SHORT-1772638974000-41,2026-03-04,SHORT,1772641331000,1772641331,1772643231,72545.4,73270.85399999999,stop,-1.0,0.062444,1.006404,0.5278,1.0
baseline,BTC-USDT-SWAP-LONG-1772642212000-44,2026-03-04,LONG,1772644395000,1772644395,1772644939,73643.1,72906.66900000001,stop,-1.0,0.098855,1.007426,0.1511,1.0
