selector,trades,wins,losses,timeouts,winrate_pct,expectancy_after_cost_pct,pf_after_cost,total_return_after_cost_pct,max_consecutive_losses,h1_winrate,h2_winrate,long_winrate,short_winrate,changed_vs_S0
S0_enhanced_baseline,29,18,8,3,62.07,0.6876,2.473,19.94,4,71.43,53.33,55.56,72.73,0
S1_enh_fuel_ge_med,15,10,5,0,66.67,0.6933,2.268,10.4,2,85.71,50.0,70.0,60.0,14
S1b_enh_fuel_lt_med,14,8,3,3,57.14,0.6814,2.787,9.54,2,57.14,57.14,37.5,83.33,15
S2_enh_oi_delta_pos,15,9,5,1,60.0,0.56,2.007,8.4,3,85.71,37.5,50.0,71.43,14
S2b_enh_oi_delta_neg,14,9,3,2,64.29,0.8243,3.219,11.54,2,57.14,71.43,60.0,75.0,15
S3_enh_funding_neg,16,10,4,2,62.5,0.735,2.719,11.76,2,63.64,60.0,63.64,60.0,13
S3b_enh_funding_pos,13,8,4,1,61.54,0.6292,2.221,8.18,3,100.0,50.0,42.86,83.33,16
S4_enh_target_quality,14,12,1,1,85.71,1.4671,12.539,20.54,1,88.89,80.0,77.78,100.0,15
S5_enh_fuel_and_void,8,8,0,0,100.0,1.86,,14.88,0,100.0,100.0,100.0,100.0,21
S6_absorption_short,10,7,2,1,70.0,0.96,3.807,9.6,3,60.0,80.0,0.0,70.0,19
S6b_absorption_long,17,9,6,2,52.94,0.3894,1.654,6.62,4,71.43,40.0,52.94,0.0,12
S7_EV_positive,26,17,7,2,65.38,0.7638,2.689,19.86,4,76.92,53.85,58.82,77.78,3
