feature,winners_mean,nonwin_mean,winners_median,nonwin_median,cohens_d_win_vs_nonwin,n_win,n_nonwin
flow_taker_imb_30m_z,-0.388011,0.239827,-0.4423,0.6385,-0.6303,18,11
oi_pct_delta_1d,0.954161,-1.054818,0.1918,0.0481,0.5971,18,11
flow_supp_minus_opp_15m_z,-0.115428,-0.367164,-0.007,-0.321,0.5669,18,11
true_fuel_score,1.654256,1.434591,1.6443,1.4086,0.3207,18,11
flow_vol_anomaly_15m_z,-0.061791,-0.127488,-0.1567,-0.16805,0.3029,11,8
funding_zscore_7d,-0.395694,-0.156918,-0.45925,-0.6302,-0.2656,18,11
funding_rate_at_signal,-4e-06,4e-06,-1e-05,-1e-06,-0.2393,18,11
dir_fuel_score,-1.051589,-1.776727,-0.7025,-1.1727,0.2289,18,11
oi_pct_delta_3d,-0.068167,0.711073,-1.00445,0.6009,-0.1686,18,11
flow_taker_imb_15m_z,0.062756,-0.008355,0.2982,0.0866,0.072,18,11
oi_zscore_14d,-0.318628,-0.273618,-0.62655,-0.4414,-0.0546,18,11
funding_abs_extreme,3e-05,2.9e-05,2.8e-05,3e-05,0.0059,18,11
