feature,good_mean,bad_mean,wrong_mean,missed_mean,late_mean,good_n,bad_n,cohens_d_good_vs_bad,cohens_d_good_vs_wrong,cohens_d_good_vs_missed,cohens_d_good_vs_late,type
local_range_180m_pct,1.2194,1.5772,1.7283,1.4763,1.9247,123,774,-0.3731,-0.5813,-0.2834,-0.7919,numeric
prior_move_60m_pct,0.1363,-0.0379,0.1168,-0.1008,0.0914,123,774,0.2629,0.0318,0.4015,0.0592,numeric
trig_break_pct,0.2743,0.2118,0.1657,0.224,0.2025,71,438,0.2575,0.4221,0.1899,0.2883,numeric
local_range_60m_pct,0.8411,0.9775,1.0298,0.9161,1.2468,123,774,-0.2565,-0.401,-0.1475,-0.7589,numeric
prior_move_30m_pct,0.0889,-0.0145,0.0994,-0.0495,0.017,123,774,0.2377,-0.0261,0.3363,0.1551,numeric
local_range_30m_pct,0.5941,0.6706,0.6918,0.6369,0.8288,123,774,-0.2131,-0.2837,-0.12,-0.6846,numeric
local_realized_vol_15m,0.0006,0.0007,0.0007,0.0007,0.0008,123,774,-0.2003,-0.3458,-0.0864,-0.7878,numeric
local_realized_vol_30m,0.0007,0.0007,0.0007,0.0007,0.0009,123,774,-0.1819,-0.3052,-0.066,-0.7947,numeric
prior_move_15m_pct,0.0364,-0.008,0.0048,-0.0123,-0.0023,123,774,0.1656,0.1088,0.1896,0.129,numeric
local_range_15m_pct,0.3959,0.43,0.4494,0.412,0.5032,123,774,-0.1447,-0.2043,-0.0716,-0.4367,numeric
local_realized_vol_60m,0.0007,0.0007,0.0007,0.0007,0.0009,123,774,-0.1446,-0.3071,-0.0133,-0.698,numeric
zone_width_pct,0.3564,0.4048,0.444,0.3939,0.4092,123,774,-0.131,-0.2325,-0.1031,-0.1702,numeric
prior_move_180m_pct,0.1476,0.0051,0.4595,-0.1463,0.1972,123,774,0.1251,-0.3032,0.2838,-0.0442,numeric
local_realized_vol_180m,0.0007,0.0007,0.0008,0.0006,0.0008,123,774,-0.1065,-0.4083,0.0467,-0.5623,numeric
opp_dir_zones_active_60m,0.9187,0.9961,1.3669,0.9462,0.7396,123,774,-0.072,-0.4046,-0.0261,0.1813,numeric
trig_flow_multiplier,2.1545,2.0348,1.821,2.1278,1.859,71,438,0.0703,0.2756,0.0136,0.2589,numeric
cand_pressure_against,0.6006,0.5972,0.5946,0.5995,0.5882,123,774,0.0692,0.1314,0.0212,0.2725,numeric
score_ofi,-0.0087,0.0052,0.0427,-0.0052,0.0092,123,774,-0.0685,-0.2663,-0.0172,-0.0885,numeric
cand_absorb_score,0.6523,0.6493,0.6488,0.6504,0.6438,123,774,0.0654,0.0748,0.0409,0.1778,numeric
candidate_to_confirm_min,12.4951,11.8335,12.5429,11.9401,10.2076,123,774,0.0648,-0.0046,0.0527,0.2391,numeric
conf_age_min,12.4951,11.8335,12.5429,11.9401,10.2076,123,774,0.0648,-0.0046,0.0527,0.2391,numeric
conf_defended_persistence_sec,749.7073,710.009,752.5755,716.4063,612.4583,123,774,0.0648,-0.0046,0.0527,0.2391,numeric
filter_kept,,,,,,,,,,,,boolean
conf_cycles_seen,53.4309,56.2351,44.9137,59.7347,52.9792,123,774,-0.0574,0.195,-0.1265,0.0101,numeric
filter_dup_suppressed,,,,,,,,,,,,boolean
same_dir_zones_active_60m,0.8293,0.8695,0.8993,0.8609,0.875,123,774,-0.0415,-0.0708,-0.0327,-0.0472,numeric
conf_opposite_thinning,0.5002,0.5003,0.5003,0.5003,0.5001,123,774,-0.0377,-0.0394,-0.0518,0.0602,numeric
confirm_to_trigger_min,61.5052,65.0005,43.9167,80.0453,26.56,71,438,-0.0368,0.2162,-0.1754,0.5113,numeric
total_pre_trigger_min,72.7432,75.746,54.9437,90.7258,37.3303,71,438,-0.0312,0.2107,-0.1681,0.4989,numeric
cand_prior_move_pct,0.0003,0.0002,0.0002,0.0003,0.0001,123,774,0.0285,0.1253,-0.0184,0.2541,numeric
score_refill,0.5002,0.5003,0.5002,0.5003,0.5005,123,774,-0.0279,0.0164,-0.0193,-0.1277,numeric
filter_fast_ok,,,,,,,,,,,,boolean
score_absorption,0.6483,0.6473,0.6424,0.649,0.645,123,774,0.0196,0.1246,-0.0154,0.0691,numeric
score_trigger,0.9881,0.9883,0.9903,0.9876,0.9895,71,438,-0.0118,-0.1561,0.0407,-0.0975,numeric
cand_refill_with,0.5002,0.5002,0.5,0.5003,0.5003,123,774,0.0028,0.1489,-0.0278,-0.0253,numeric
score_liquidity_void,1,1,1,1,1,123,774,,,,,numeric
cand_range_compression,,,,,,,,,,,,boolean
trig_side_flow_ok,,,,,,,,,,,,boolean
