date,funding_settlements,oi_daily_snapshot_usd
2026-03-02,3,3040623141.1
2026-03-03,3,2946056454.0
2026-03-04,3,3285877689.6
2026-03-05,3,3166911068.7
2026-03-06,3,2963759166.8
2026-03-07,3,2931693231.7
2026-03-08,3,2886160376.6
2026-03-09,3,2922497243.4
2026-03-10,3,3045438349.0
2026-03-11,3,2975190203.1
2026-03-12,3,2941439632.9
2026-03-13,3,3092260035.5
2026-03-14,3,2886957160.7
2026-03-15,3,2923299271.1
2026-03-16,3,3028216632.7
2026-03-18,3,3141185186.6
2026-03-19,3,3018745054.1
2026-03-20,3,3020197352.6
2026-03-21,3,2972392637.9
2026-03-22,3,2944158650.4
2026-03-23,3,2891366635.9
2026-03-24,3,2904589149.9
2026-03-25,3,2917649679.4
2026-03-26,3,3010147976.4
2026-03-27,3,2945138323.2
2026-03-28,3,2942177560.5
2026-03-29,3,2940007707.7
2026-03-30,3,2867232994.1
2026-03-31,3,2778310474.6
