zone_id,date,direction,confirmed_iso,watch_label,coverage_class,setup_type,oi_at_signal_usd,oi_delta_1d_usd,oi_pct_delta_1d,oi_pct_delta_3d,oi_zscore_14d,funding_rate_at_signal,funding_zscore_7d,funding_regime,funding_positive,funding_negative,funding_abs_extreme,price_up_oi_up,price_up_oi_down,price_down_oi_up,price_down_oi_down,true_fuel_score,dir_fuel_score,flow_taker_imb_15m_z,flow_taker_imb_30m_z,flow_supp_minus_opp_15m_z,flow_vol_anomaly_15m_z
BTC-USDT-SWAP-LONG-1772409634000-1,2026-03-02,LONG,2026-03-02T00:20:03+00:00,GOOD,covered_watch_early,absorption_reversal_long,2895934110.7,25985145.4,0.9054,-2.1271,-1.5375,-1.36739e-05,-1.1254,neutral,0,1,1.36739e-05,1,0,0,0,2.6629,1.0421,0.4035,0.1491,0.3575,
BTC-USDT-SWAP-SHORT-1772410491000-2,2026-03-02,SHORT,2026-03-02T00:36:47+00:00,GOOD,covered_watch_early,absorption_reversal_short,2895934110.7,25985145.4,0.9054,-2.1271,-1.5375,-1.36739e-05,-1.1254,neutral,0,1,1.36739e-05,1,0,0,0,2.6629,-1.0421,-0.2052,-0.1579,0.4279,1.409
BTC-USDT-SWAP-SHORT-1772410502000-3,2026-03-02,SHORT,2026-03-02T00:36:47+00:00,GOOD,covered_watch_early,absorption_reversal_short,2895934110.7,25985145.4,0.9054,-2.1271,-1.5375,-1.36739e-05,-1.1254,neutral,0,1,1.36739e-05,1,0,0,0,2.6629,-1.0421,-0.2052,-0.1579,0.4279,1.409
BTC-USDT-SWAP-LONG-1772410803000-4,2026-03-02,LONG,2026-03-02T00:27:38+00:00,GOOD,covered_watch_early,absorption_reversal_long,2895934110.7,25985145.4,0.9054,-2.1271,-1.5375,-1.36739e-05,-1.1254,neutral,0,1,1.36739e-05,1,0,0,0,2.6629,1.0421,-2.0941,0.0561,-1.1375,
BTC-USDT-SWAP-SHORT-1772412598000-5,2026-03-02,SHORT,2026-03-02T01:02:51+00:00,GOOD,covered_watch_early,absorption_reversal_short,2895934110.7,25985145.4,0.9054,-2.1271,-1.5375,-1.36739e-05,-1.1254,neutral,0,1,1.36739e-05,1,0,0,0,2.6629,-1.0421,-0.2271,-2.1183,0.0064,0.4904
BTC-USDT-SWAP-SHORT-1772412610000-6,2026-03-02,SHORT,2026-03-02T01:02:51+00:00,GOOD,covered_watch_early,absorption_reversal_short,2895934110.7,25985145.4,0.9054,-2.1271,-1.5375,-1.36739e-05,-1.1254,neutral,0,1,1.36739e-05,1,0,0,0,2.6629,-1.0421,-0.2271,-2.1183,0.0064,0.4904
BTC-USDT-SWAP-SHORT-1772415850000-9,2026-03-02,SHORT,2026-03-02T01:57:18+00:00,MID,covered_mid,absorption_reversal_short,2895934110.7,25985145.4,0.9054,-2.1271,-1.5375,-1.36739e-05,-1.1254,neutral,0,1,1.36739e-05,1,0,0,0,2.6629,-1.0421,1.3151,0.5684,0.0023,-0.2314
BTC-USDT-SWAP-LONG-1772414212000-7,2026-03-02,LONG,2026-03-02T01:47:01+00:00,BAD,wrong_direction,absorption_reversal_long,2895934110.7,25985145.4,0.9054,-2.1271,-1.5375,-1.36739e-05,-1.1254,neutral,0,1,1.36739e-05,1,0,0,0,2.6629,1.0421,0.0099,-0.4813,1.104,-0.2666
BTC-USDT-SWAP-LONG-1772414223000-8,2026-03-02,LONG,2026-03-02T01:47:01+00:00,BAD,wrong_direction,absorption_reversal_long,2895934110.7,25985145.4,0.9054,-2.1271,-1.5375,-1.36739e-05,-1.1254,neutral,0,1,1.36739e-05,1,0,0,0,2.6629,1.0421,0.0099,-0.4813,1.104,-0.2666
BTC-USDT-SWAP-LONG-1772416021000-10,2026-03-02,LONG,2026-03-02T01:52:40+00:00,BAD,wrong_direction,retest_after_breakout_long,2895934110.7,25985145.4,0.9054,-2.1271,-1.5375,-1.36739e-05,-1.1254,neutral,0,1,1.36739e-05,1,0,0,0,2.6629,1.0421,-1.0466,-0.492,0.0964,-0.232
BTC-USDT-SWAP-SHORT-1772418726000-11,2026-03-02,SHORT,2026-03-02T02:41:13+00:00,MID,covered_mid,absorption_reversal_short,2895934110.7,25985145.4,0.9054,-2.1271,-1.5375,-1.36739e-05,-1.1254,neutral,0,1,1.36739e-05,1,0,0,0,2.6629,-1.0421,-1.3983,-0.2001,-0.195,-0.2693
BTC-USDT-SWAP-LONG-1772419889000-13,2026-03-02,LONG,2026-03-02T02:54:56+00:00,BAD,wrong_direction,retest_after_breakout_long,2895934110.7,25985145.4,0.9054,-2.1271,-1.5375,-1.36739e-05,-1.1254,neutral,0,1,1.36739e-05,1,0,0,0,2.6629,1.0421,-1.1194,0.5677,-0.0845,-0.2856
BTC-USDT-SWAP-LONG-1772420096000-14,2026-03-02,LONG,2026-03-02T03:06:38+00:00,BAD,wrong_direction,absorption_reversal_long,2895934110.7,25985145.4,0.9054,-2.1271,-1.5375,-1.36739e-05,-1.1254,neutral,0,1,1.36739e-05,1,0,0,0,2.6629,1.0421,-1.368,-0.8934,0.0464,-0.2791
BTC-USDT-SWAP-SHORT-1772419273000-12,2026-03-02,SHORT,2026-03-02T03:16:25+00:00,MID,covered_mid,absorption_reversal_short,2895934110.7,25985145.4,0.9054,-2.1271,-1.5375,-1.36739e-05,-1.1254,neutral,0,1,1.36739e-05,1,0,0,0,2.6629,-1.0421,-0.7039,-0.5535,0.0014,-0.22
BTC-USDT-SWAP-LONG-1772420976000-15,2026-03-02,LONG,2026-03-02T03:34:24+00:00,BAD,wrong_direction,absorption_reversal_long,2895934110.7,25985145.4,0.9054,-2.1271,-1.5375,-1.36739e-05,-1.1254,neutral,0,1,1.36739e-05,1,0,0,0,2.6629,1.0421,1.1508,1.4663,-0.8132,-0.2257
