#,date,direction,zone_id_short,setup_type,entry_iso,entry_price,target_price,stop_price,exit_iso,exit_reason,pnl_after_cost,result,true_fuel_score,dir_fuel_score,funding_rate_at_signal,funding_regime,void_thin_path,opp_wall,microprice_5m,p_reach,expected_trade_ev,hit_2pct,tz_target_distance_pct,mfe_pct,mae_pct
1,2026-03-02,LONG,72409634000-1,absorption_reversal_long,2026-03-02T00:20:03+00:00,65901.6,67219.63,64913.08,2026-03-02T15:01:39+00:00,target_2pct,1.86,WIN,2.6629,1.0421,-1.36739e-05,neutral,0.1013,49.0,5.154,0.66,0.67,1,0.0734,2.01725,1.050202
2,2026-03-03,SHORT,72496525000-2,absorption_reversal_short,2026-03-03T00:11:45+00:00,68837.7,67460.95,69870.27,2026-03-03T08:39:12+00:00,target_2pct,1.86,WIN,1.5829,-5.3947,-3.98385e-05,negative,0.1003,63.0,11.429,0.64,0.6,1,0.0548,2.001665,0.587469
3,2026-03-04,LONG,2606412000-18,retest_after_breakout_long,2026-03-04T06:44:35+00:00,68530.8,69901.42,67502.84,2026-03-04T08:45:06+00:00,target_2pct,1.86,WIN,2.3007,-2.7403,-3.69797e-05,negative,0.1025,50.0,2.629,0.66,0.67,1,0.5052,2.012526,0.322191
4,2026-03-05,SHORT,72670314000-2,absorption_reversal_short,2026-03-05T00:46:06+00:00,72842.4,71385.55,73935.04,2026-03-05T15:26:13+00:00,target_2pct,1.86,WIN,3.1363,-11.0083,5.26514e-05,positive,0.1015,42.0,4.159,0.66,0.67,1,0.4492,2.032607,0.938464
5,2026-03-06,LONG,2834507000-42,absorption_reversal_long,2026-03-06T22:04:47+00:00,68316.2,69682.52,67291.46,2026-03-07T19:19:15+00:00,stop,-1.64,LOSS,1.4086,-6.375,-3.9837e-06,neutral,0.1002,44.0,10.537,0.63,0.565,0,4.5104,0.305345,1.575468
6,2026-03-07,LONG,72852776000-6,absorption_reversal_long,2026-03-07T03:09:16+00:00,68335.8,69702.52,67310.76,2026-03-07T19:19:15+00:00,stop,-1.64,LOSS,1.3148,-6.402,-1.2767e-06,neutral,0.0965,69.0,4.242,0.6,0.46,0,0.0793,0.276575,1.603698
7,2026-03-08,SHORT,2966351000-24,retest_after_breakout_short,2026-03-08T10:42:11+00:00,67942.3,66583.45,68961.43,2026-03-08T22:03:08+00:00,target_2pct,1.86,WIN,0.8224,1.2601,1.7815e-05,neutral,0.0943,66.0,8.206,0.6,0.46,1,2.1072,2.062044,0.002944
8,2026-03-09,LONG,3066205000-36,absorption_reversal_long,2026-03-09T14:28:44+00:00,69117.0,70499.34,68080.24,2026-03-10T02:49:49+00:00,target_2pct,1.86,WIN,2.5,-1.1117,-4.41386e-05,negative,0.1027,45.0,2.181,0.66,0.67,1,0.2204,2.041466,1.312268
9,2026-03-10,SHORT,3132250000-30,absorption_reversal_short,2026-03-10T08:51:53+00:00,70731.7,69317.07,71792.68,2026-03-10T14:15:57+00:00,target_2pct,1.86,WIN,1.0145,-0.9939,2.65058e-05,positive,0.1005,43.0,2.458,0.63,0.565,1,2.3123,2.008576,0.750159
10,2026-03-11,SHORT,73188193000-2,absorption_reversal_short,2026-03-11T00:19:33+00:00,69950.0,68551.0,70999.25,2026-03-11T13:39:39+00:00,stop,-1.64,LOSS,1.5815,-4.5325,-3.25797e-05,negative,0.0944,105.0,11.476,0.61,0.495,0,0.0688,1.437598,1.528234
11,2026-03-13,LONG,73360301000-1,absorption_reversal_long,2026-03-13T00:21:56+00:00,71550.2,72981.2,70476.95,2026-03-13T13:17:51+00:00,target_2pct,1.86,WIN,1.0474,-0.8601,-2.74309e-05,negative,0.0944,73.0,10.165,0.6,0.46,1,0.1912,2.138778,0.871416
12,2026-03-14,LONG,3484455000-16,absorption_reversal_long,2026-03-14T10:37:15+00:00,70430.5,71839.11,69374.04,2026-03-15T09:03:56+00:00,target_2pct,1.86,WIN,2.0084,5.556,-4.28587e-05,negative,0.0991,60.0,2.761,0.66,0.67,1,0.0701,2.013758,0.054096
13,2026-03-15,LONG,3607034000-26,absorption_reversal_long,2026-03-15T20:50:55+00:00,71739.2,73173.98,70663.11,2026-03-15T23:06:34+00:00,target_2pct,1.86,WIN,0.9964,1.322,-6.3223e-06,neutral,0.0991,61.0,4.984,0.63,0.565,1,0.321,2.007828,0.200866
14,2026-03-16,SHORT,73626785000-7,absorption_reversal_short,2026-03-16T02:09:25+00:00,72725.0,71270.5,73815.88,2026-03-16T03:35:10+00:00,stop,-1.64,LOSS,1.5373,-1.1727,8.6086e-06,neutral,0.0968,74.0,8.134,0.63,0.565,0,0.1031,0.54658,1.527398
15,2026-03-19,SHORT,73879450000-2,absorption_reversal_short,2026-03-19T00:20:30+00:00,71090.0,69668.2,72156.35,2026-03-19T07:20:25+00:00,target_2pct,1.86,WIN,2.447,-2.4752,-2.7649e-05,negative,0.0983,72.0,10.92,0.64,0.6,1,0.0523,2.003095,0.693346
16,2026-03-20,LONG,3993061000-19,absorption_reversal_long,2026-03-20T07:54:01+00:00,70863.8,72281.08,69800.84,2026-03-20T13:35:21+00:00,stop,-1.64,LOSS,1.6609,-3.5288,-3.69057e-05,negative,0.0975,58.0,6.173,0.63,0.565,0,0.0934,0.677215,1.500907
17,2026-03-22,SHORT,74146977000-6,absorption_reversal_short,2026-03-22T02:41:48+00:00,69200.0,67816.0,70238.0,2026-03-22T21:05:14+00:00,target_2pct,1.86,WIN,0.4208,1.7471,1.6434e-05,neutral,0.0978,58.0,2.382,0.6,0.46,1,0.0723,2.052023,0.544509
18,2026-03-23,LONG,74228797000-8,absorption_reversal_long,2026-03-23T01:22:57+00:00,68000.0,69360.0,66980.0,2026-03-23T11:05:32+00:00,target_2pct,1.86,WIN,1.9337,-0.5449,-4.05036e-05,negative,0.0994,49.0,4.633,0.66,0.67,1,0.1831,2.020441,0.779853
19,2026-03-24,LONG,4385370000-34,absorption_reversal_long,2026-03-24T21:01:09+00:00,70061.7,71462.93,69010.77,2026-03-25T08:33:33+00:00,target_2pct,1.86,WIN,2.4938,-0.1296,5.86921e-05,positive,0.0974,66.0,1.117,0.61,0.495,1,0.0547,2.044341,0.282037
20,2026-03-25,LONG,4416472000-13,absorption_reversal_long,2026-03-25T05:32:19+00:00,71206.3,72630.43,70138.21,2026-03-26T05:32:19+00:00,timeout,-1.1207,TIMEOUT,1.3974,0.2812,1.7607e-05,neutral,0.1012,47.0,12.72,0.61,0.495,0,0.1527,1.0992,1.071815
21,2026-03-26,LONG,74484096000-2,absorption_reversal_long,2026-03-26T00:24:34+00:00,71267.9,72693.26,70198.88,2026-03-26T05:45:48+00:00,stop,-1.64,LOSS,2.4334,-0.3134,7.63096e-05,positive,0.0973,66.0,0.374,0.61,0.495,0,0.1152,0.20879,1.505446
22,2026-03-27,LONG,74576895000-6,absorption_reversal_long,2026-03-27T02:04:50+00:00,69086.4,70468.13,68050.1,2026-03-27T08:35:47+00:00,stop,-1.64,LOSS,1.5556,2.4129,7.57378e-05,positive,0.0981,50.0,8.275,0.61,0.495,0,0.0921,0.112323,1.803828
23,2026-03-28,LONG,4679676000-13,absorption_reversal_long,2026-03-28T06:39:05+00:00,66412.4,67740.65,65416.21,2026-03-29T06:39:05+00:00,timeout,0.2273,TIMEOUT,1.3943,-1.8583,-3.01444e-05,negative,0.0956,76.0,1.992,0.6,0.46,0,0.0504,1.328065,0.485452
