variant,date,trade_number,zone_id,direction,class_label,is_primary_unique,is_duplicate_reached,was_reached_raw,triggerTs_iso,confirm_to_trigger_min,entryTs_iso,entry_delay_from_trigger_min,entry_price,target_price,stop_price,used_stop_pct,exitTs_iso,holding_time_min,exit_reason,exit_price,pnl_pct,mfe_pct,mae_pct,target_2pct_after_stop_iso
A,2026-03-16,1,BTC-USDT-SWAP-SHORT-1773620946000-4,SHORT,failed_triggered,False,False,False,2026-03-16T01:05:02+00:00,17.416666666666668,2026-03-16T01:05:02+00:00,0.0,72356.0,70908.88,73079.56,1.0,2026-03-16T03:30:44+00:00,145.7,stop,73079.56,-1.0,0.196666,1.027696,
A,2026-03-16,2,BTC-USDT-SWAP-SHORT-1773638712000-12,SHORT,failed_triggered,False,False,False,2026-03-16T06:07:20+00:00,38.333333333333336,2026-03-16T06:07:20+00:00,0.0,73811.5,72335.27,74549.615,1.0,2026-03-16T21:36:13+00:00,928.88,stop,74549.615,-1.0,1.331364,1.068262,
A,2026-03-16,3,BTC-USDT-SWAP-LONG-1773695990000-40,LONG,failed_triggered,False,False,False,2026-03-16T21:36:14+00:00,5.85,2026-03-16T21:36:14+00:00,0.0,74692.3,76186.14600000001,73945.37700000001,1.0,2026-03-16T23:59:59+00:00,143.75,timeout,74842.3,0.200824,0.251298,0.650268,
A,2026-03-18,4,BTC-USDT-SWAP-SHORT-1773792030000-1,SHORT,primary_unique_reached_move,True,False,True,2026-03-18T00:23:51+00:00,10.833333333333334,2026-03-18T00:23:51+00:00,0.0,73727.4,72252.852,74464.674,1.0,2026-03-18T03:24:37+00:00,180.77,stop,74464.674,-1.0,0.327829,1.005325,2026-03-18T12:33:09+00:00
A,2026-03-18,5,BTC-USDT-SWAP-SHORT-1773806704000-17,SHORT,duplicate_reached_move,False,True,True,2026-03-18T05:27:07+00:00,49.45,2026-03-18T05:27:07+00:00,0.0,74092.2,72610.356,74833.122,1.0,2026-03-18T12:30:38+00:00,423.52,target_2pct,72610.356,2.0,2.002235,0.211358,
A,2026-03-18,6,BTC-USDT-SWAP-SHORT-1773842088000-33,SHORT,failed_triggered,False,False,False,2026-03-18T14:28:18+00:00,16.483333333333334,2026-03-18T14:28:18+00:00,0.0,71788.2,70352.436,72506.082,1.0,2026-03-18T23:59:59+00:00,571.68,timeout,71211.6,0.803196,1.860194,0.246141,
B,2026-03-16,1,BTC-USDT-SWAP-SHORT-1773620946000-4,SHORT,failed_triggered,False,False,False,2026-03-16T01:05:02+00:00,17.416666666666668,2026-03-16T01:20:02+00:00,15.0,72421.1,70972.678,73507.41649999999,1.5,2026-03-16T03:33:49+00:00,133.78,stop,73507.41649999999,-1.5,0.129244,1.627841,
B,2026-03-16,2,BTC-USDT-SWAP-SHORT-1773638712000-12,SHORT,failed_triggered,False,False,False,2026-03-16T06:07:20+00:00,38.333333333333336,2026-03-16T06:22:20+00:00,15.0,73789.4,72313.612,74896.24099999998,1.5,2026-03-16T23:59:59+00:00,1057.65,timeout,74842.3,-1.426899,1.301813,1.47799,
B,2026-03-18,3,BTC-USDT-SWAP-SHORT-1773792030000-1,SHORT,primary_unique_reached_move,True,False,True,2026-03-18T00:23:51+00:00,10.833333333333334,2026-03-18T00:38:51+00:00,15.0,73612.1,72139.85800000001,74716.2815,1.5,2026-03-18T13:01:22+00:00,742.52,target_2pct,72139.85800000001,2.0,2.014207,1.402351,
B,2026-03-18,4,BTC-USDT-SWAP-SHORT-1773842088000-33,SHORT,failed_triggered,False,False,False,2026-03-18T14:28:18+00:00,16.483333333333334,2026-03-18T14:43:18+00:00,15.0,71485.8,70056.084,72558.087,1.5,2026-03-18T23:59:59+00:00,556.68,timeout,71211.6,0.383573,1.445042,0.670203,
