date,direction,zone_id,entry,old_fixed_2pct_target,target_zone_price,target_zone_type,target_distance_pct,target_quality_score,fuel_score,dir_fuel_score,funding_regime,oi_pct_delta_1d,hit_2pct,hit_target_zone,mfe_pct,mae_pct,watch_label,target_zone_too_close,target_zone_overestimated,local_reaction_only,comment
2026-03-02,LONG,BTC-USDT-SWAP-LONG-1772409634000-1,65901.6,67219.63,,blocked,0.0734,0.1013,2.6629,1.0421,neutral,0.9054,True,False,2.0172,1.0502,GOOD,1,1,0,win_2pct
2026-03-03,SHORT,BTC-USDT-SWAP-SHORT-1772496525000-2,68837.7,67460.95,,blocked,0.0548,0.1003,1.5829,-5.3947,negative,4.9963,True,False,2.0017,0.5875,GOOD,1,1,0,win_2pct
2026-03-04,LONG,BTC-USDT-SWAP-LONG-1772606412000-18,68530.8,69901.42,,blocked,0.5052,0.1025,2.3007,-2.7403,negative,-3.1101,True,False,2.0125,0.3222,MID,1,1,0,win_2pct
2026-03-05,SHORT,BTC-USDT-SWAP-SHORT-1772670314000-2,72842.4,71385.55,,blocked,0.4492,0.1015,3.1363,-11.0083,positive,11.5348,True,False,2.0326,0.9385,GOOD,1,1,0,win_2pct
2026-03-06,LONG,BTC-USDT-SWAP-LONG-1772834507000-42,68316.2,69682.52,71397.5,session_high,4.5104,0.1002,1.4086,-6.375,neutral,-6.4148,False,False,0.3053,2.1017,BAD,0,0,0,no_follow_through
2026-03-07,LONG,BTC-USDT-SWAP-LONG-1772852776000-6,68335.8,69702.52,,blocked,0.0793,0.0965,1.3148,-6.402,neutral,-6.4148,False,False,0.2766,2.2474,BAD,1,0,0,no_follow_through
2026-03-08,SHORT,BTC-USDT-SWAP-SHORT-1772966351000-24,67942.3,66583.45,66510.6,session_low,2.1072,0.0943,0.8224,1.2601,neutral,-1.0819,True,True,2.3657,0.0029,BAD,0,0,0,win_2pct
2026-03-09,LONG,BTC-USDT-SWAP-LONG-1773066205000-36,69117.0,70499.34,,blocked,0.2204,0.1027,2.5,-1.1117,negative,-1.5531,True,False,2.0415,1.3123,MID,1,1,0,win_2pct
2026-03-10,SHORT,BTC-USDT-SWAP-SHORT-1773132250000-30,70731.7,69317.07,69096.2,swing_low,2.3123,0.1005,1.0145,-0.9939,positive,1.259,True,False,2.0948,1.447,GOOD,0,1,0,win_2pct
2026-03-11,SHORT,BTC-USDT-SWAP-SHORT-1773188193000-2,69950.0,68551.0,,blocked,0.0688,0.0944,1.5815,-4.5325,negative,4.2067,False,False,1.4376,1.9267,BAD,1,0,0,no_follow_through
2026-03-12,SHORT,BTC-USDT-SWAP-SHORT-1773273641000-1,70118.8,68716.42,68716.42,open_void_2pct,2.0,0.095,1.1179,1.9644,negative,-2.3067,False,False,1.3731,0.9418,MID,0,0,0,no_follow_through
2026-03-13,LONG,BTC-USDT-SWAP-LONG-1773360301000-1,71550.2,72981.2,,blocked,0.1912,0.0944,1.0474,-0.8601,negative,-1.1344,True,False,2.1388,0.8714,GOOD,1,1,0,win_2pct
