date,zone_id,direction,watch_label,coverage_class,lead_min_before_move,matched_move_size_pct,_half
2026-03-02,BTC-USDT-SWAP-LONG-1772409634000-1,LONG,GOOD,covered_watch_early,51.23,2.0434,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772410491000-2,SHORT,GOOD,covered_watch_early,34.57,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772410502000-3,SHORT,GOOD,covered_watch_early,34.57,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772410803000-4,LONG,GOOD,covered_watch_early,43.65,2.0434,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772412598000-5,SHORT,GOOD,covered_watch_early,8.5,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772412610000-6,SHORT,GOOD,covered_watch_early,8.5,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772415850000-9,SHORT,MID,covered_mid,-45.95,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772414212000-7,LONG,BAD,wrong_direction,,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772414223000-8,LONG,BAD,wrong_direction,,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772416021000-10,LONG,BAD,wrong_direction,,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772418726000-11,SHORT,MID,covered_mid,-89.87,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772419889000-13,LONG,BAD,wrong_direction,,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772420096000-14,LONG,BAD,wrong_direction,,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772419273000-12,SHORT,MID,covered_mid,-125.07,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772420976000-15,LONG,BAD,wrong_direction,,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772422168000-17,SHORT,MID,covered_mid,-158.23,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772421927000-16,SHORT,MID,covered_mid,-138.12,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772423133000-18,LONG,BAD,wrong_direction,,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772434429000-19,SHORT,MID,covered_mid,-348.75,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772436650000-21,SHORT,BAD,covered_late,-409.5,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772436154000-20,SHORT,MID,covered_mid,-379.48,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772454967000-22,SHORT,BAD,covered_late,-703.07,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772461492000-27,LONG,MID,covered_mid,-23.77,7.465,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772459757000-24,SHORT,BAD,covered_late,-768.67,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772460162000-25,SHORT,BAD,wrong_direction,,7.465,first
2026-03-02,BTC-USDT-SWAP-LONG-1772459159000-23,LONG,MID,covered_mid,-20.62,7.465,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772461132000-26,SHORT,BAD,wrong_direction,,7.465,first
2026-03-02,BTC-USDT-SWAP-LONG-1772464005000-28,LONG,MID,covered_mid,-76.32,7.465,first
