variant,zone_id,date,direction,entry_sec,exit_sec,entry_price,exit_price,exit_reason,pnl_pct,mfe_pct,mae_pct,time_in_trade_h,used_stop_pct
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1773620946000-4,2026-03-16,SHORT,1773623102,1773631844,72356.0,73079.56,stop,-1.0,0.196666,1.027696,2.4283,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1773638712000-12,2026-03-16,SHORT,1773641240,1773696973,73811.5,74549.615,stop,-1.0,1.331364,1.068262,15.4814,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1773695990000-40,2026-03-16,LONG,1773696974,1773705599,74692.3,74842.3,timeout,0.200824,0.251298,0.650268,2.3958,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1773792030000-1,2026-03-18,SHORT,1773793431,1773804277,73727.4,74464.674,stop,-1.0,0.327829,1.005325,3.0128,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1773806704000-17,2026-03-18,SHORT,1773811627,1773837038,74092.2,72610.356,target_2pct,2.0,2.002235,0.211358,7.0586,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1773842088000-33,2026-03-18,SHORT,1773844098,1773878399,71788.2,71211.6,timeout,0.803196,1.860194,0.246141,9.5281,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1773879450000-2,2026-03-19,SHORT,1773880505,1773904903,71029.9,69609.302,target_2pct,2.0,2.003382,0.778545,6.7772,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1773910669000-22,2026-03-19,LONG,1773910977,1773924638,70118.2,69417.018,stop,-1.0,0.592713,1.119681,3.7947,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1773926911000-30,2026-03-19,LONG,1773927690,1773935141,69475.0,68780.25,stop,-1.0,0.944081,1.019216,2.0697,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1773943584000-43,2026-03-19,LONG,1773946888,1773964799,69887.9,69884.8,timeout,-0.004436,1.097901,0.302627,4.9753,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1773965776000-2,2026-03-20,LONG,1773967167,1774019297,70184.1,69482.259,stop,-1.0,1.652226,1.026443,14.4806,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1774051508000-1,2026-03-21,LONG,1774052181,1774136812,70623.3,69917.067,stop,-1.0,0.657573,1.023033,23.5086,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774139842000-3,2026-03-22,SHORT,1774140786,1774150082,68751.8,69439.318,stop,-1.0,0.043344,1.00681,2.5822,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774149904000-8,2026-03-22,SHORT,1774153324,1774213513,69234.4,67849.712,target_2pct,2.0,2.019805,0.19109,16.7192,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1774214168000-32,2026-03-22,LONG,1774218333,1774223999,68152.3,67830.9,timeout,-0.471591,0.418328,0.512529,1.5739,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774224201000-1,2026-03-23,SHORT,1774226171,1774233784,67669.8,68346.498,stop,-1.0,0.373579,1.019657,2.1147,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774236610000-13,2026-03-23,SHORT,1774238570,1774242216,68025.9,68706.159,stop,-1.0,0.0,1.062683,1.0128,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774244879000-18,2026-03-23,SHORT,1774247792,1774263924,68329.9,69013.199,stop,-1.0,1.258893,1.127032,4.4811,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774265760000-20,2026-03-23,SHORT,1774266471,1774273022,70176.0,70877.76,stop,-1.0,0.740709,1.002764,1.8197,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1774270395000-24,2026-03-23,LONG,1774273053,1774281225,71070.3,70359.59700000001,stop,-1.0,0.994368,1.005765,2.27,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1774288091000-35,2026-03-23,LONG,1774291608,1774307999,71130.9,70419.591,stop,-1.0,0.115421,1.007298,4.5531,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774311890000-5,2026-03-24,SHORT,1774312348,1774339083,70556.9,71262.469,stop,-1.0,0.657484,1.016059,7.4264,1.0
