date,zone_id,direction,class,isPrimary,candidate_iso,confirmed_iso,trigger_iso,candidate_to_confirm_min,confirm_to_trigger_min,total_pre_trigger_min,suppress_reason,related_move_start_iso,related_move_size_pct,zone_before_move,tg_watch_alert_useful,filter_failure
2026-03-16,BTC-USDT-SWAP-LONG-1773620182000-2,LONG,primary_unique_reached_move,True,2026-03-16T00:16:22+00:00,2026-03-16T00:37:27+00:00,2026-03-16T03:30:42+00:00,21.083333333333332,173.25,194.33333333333334,slow_trigger (ctm=173m),2026-03-16T03:34:00+00:00,3.0964,True,YES (candidate/confirmed available before move),True
2026-03-16,BTC-USDT-SWAP-LONG-1773620204000-3,LONG,duplicate_reached_move,False,2026-03-16T00:16:44+00:00,2026-03-16T00:37:27+00:00,2026-03-16T03:30:42+00:00,20.716666666666665,173.25,193.96666666666667,slow_trigger (ctm=173m),2026-03-16T03:34:00+00:00,3.0964,True,YES (candidate/confirmed available before move),True
2026-03-16,BTC-USDT-SWAP-LONG-1773623888000-6,LONG,duplicate_reached_move,False,2026-03-16T01:18:08+00:00,2026-03-16T01:57:01+00:00,2026-03-16T03:30:42+00:00,38.88333333333333,93.68333333333334,132.56666666666666,slow_trigger (ctm=94m),2026-03-16T03:34:00+00:00,3.0964,True,YES (candidate/confirmed available before move),True
2026-03-18,BTC-USDT-SWAP-SHORT-1773808660000-19,SHORT,duplicate_reached_move,False,2026-03-18T04:37:40+00:00,2026-03-18T04:40:52+00:00,2026-03-18T05:29:15+00:00,3.2,48.38333333333333,51.583333333333336,duplicate_60m_price_band,,,,UNCLEAR,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773802038000-13,SHORT,duplicate_reached_move,False,2026-03-18T02:47:18+00:00,2026-03-18T03:05:02+00:00,2026-03-18T05:55:44+00:00,17.733333333333334,170.7,188.43333333333334,duplicate_60m_price_band; slow_trigger (ctm=171m),,,,UNCLEAR,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773804588000-14,SHORT,duplicate_reached_move,False,2026-03-18T03:29:48+00:00,2026-03-18T03:35:07+00:00,2026-03-18T11:29:40+00:00,5.316666666666666,474.55,479.8666666666667,slow_trigger (ctm=475m),,,,UNCLEAR,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773835688000-27,SHORT,duplicate_reached_move,False,2026-03-18T12:08:08+00:00,2026-03-18T12:16:10+00:00,2026-03-18T12:30:43+00:00,8.033333333333333,14.55,22.583333333333332,duplicate_60m_price_band,,,,UNCLEAR,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773836170000-28,SHORT,duplicate_reached_move,False,2026-03-18T12:16:10+00:00,2026-03-18T12:27:28+00:00,2026-03-18T12:30:51+00:00,11.3,3.3833333333333333,14.683333333333334,duplicate_60m_price_band,,,,UNCLEAR,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773834370000-25,SHORT,duplicate_reached_move,False,2026-03-18T11:46:10+00:00,2026-03-18T11:49:10+00:00,2026-03-18T12:32:15+00:00,3.0,43.083333333333336,46.083333333333336,duplicate_60m_price_band,,,,UNCLEAR,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773837926000-31,SHORT,duplicate_reached_move,False,2026-03-18T12:45:26+00:00,2026-03-18T12:48:26+00:00,2026-03-18T13:01:23+00:00,3.0,12.95,15.95,duplicate_60m_price_band,,,,UNCLEAR,True
