date,direction,size_pct,is_secondary_1_5pct,move_start_iso,move_end_iso,duration_min,candidate_before_move_zone_id,candidate_before_move_iso,confirmed_before_move_zone_id,confirmed_before_move_iso,trigger_before_move_zone_id,trigger_before_move_iso,best_matching_zone_id,best_zone_class,pct_of_move_completed_by_trigger,filter_kept,filter_reason,classification
2026-03-16,UP,3.0964,False,2026-03-16T03:34:00+00:00,2026-03-16T04:55:01+00:00,81.02,BTC-USDT-SWAP-LONG-1773623888000-6,2026-03-16T01:18:08+00:00,BTC-USDT-SWAP-LONG-1773620182000-2,2026-03-16T00:37:27+00:00,BTC-USDT-SWAP-LONG-1773620182000-2,2026-03-16T03:30:42+00:00,BTC-USDT-SWAP-LONG-1773620182000-2,primary_unique_reached_move,0.0,False,slow_trigger (ctm=173m),filtered_correct_zone
2026-03-16,DOWN,2.1772,False,2026-03-16T04:55:01+00:00,2026-03-16T08:44:57+00:00,229.93,BTC-USDT-SWAP-SHORT-1773626785000-7,2026-03-16T02:06:25+00:00,BTC-USDT-SWAP-SHORT-1773626785000-7,2026-03-16T02:09:25+00:00,BTC-USDT-SWAP-SHORT-1773626785000-7,2026-03-16T02:27:51+00:00,BTC-USDT-SWAP-SHORT-1773638712000-12,failed_triggered,31.45,True,,covered_watch_early
2026-03-16,UP,2.2946,False,2026-03-16T08:44:57+00:00,2026-03-16T13:41:49+00:00,296.87,BTC-USDT-SWAP-LONG-1773640084000-14,2026-03-16T05:48:04+00:00,BTC-USDT-SWAP-LONG-1773640084000-14,2026-03-16T06:16:04+00:00,,,BTC-USDT-SWAP-LONG-1773655882000-26,failed_triggered,42.22,True,,covered_watch_early
2026-03-16,DOWN,2.0801,False,2026-03-16T13:41:49+00:00,2026-03-16T14:42:45+00:00,60.93,BTC-USDT-SWAP-SHORT-1773660536000-29,2026-03-16T11:28:56+00:00,BTC-USDT-SWAP-SHORT-1773660536000-29,2026-03-16T11:38:29+00:00,BTC-USDT-SWAP-SHORT-1773660536000-29,2026-03-16T12:11:18+00:00,BTC-USDT-SWAP-SHORT-1773660536000-29,failed_triggered,0.0,True,,covered_trigger_early
2026-03-19,DOWN,3.9505,False,2026-03-19T03:19:48+00:00,2026-03-19T15:46:46+00:00,746.97,BTC-USDT-SWAP-SHORT-1773882002000-4,2026-03-19T01:00:02+00:00,BTC-USDT-SWAP-SHORT-1773879450000-2,2026-03-19T00:20:30+00:00,BTC-USDT-SWAP-SHORT-1773886593000-7,2026-03-19T02:51:08+00:00,BTC-USDT-SWAP-SHORT-1773886593000-7,duplicate_reached_move,0.0,True,,covered_trigger_early
2026-03-20,UP,2.2116,False,2026-03-20T08:10:32+00:00,2026-03-20T08:12:09+00:00,1.62,BTC-USDT-SWAP-LONG-1773988237000-17,2026-03-20T06:30:37+00:00,BTC-USDT-SWAP-LONG-1773988237000-17,2026-03-20T06:37:54+00:00,BTC-USDT-SWAP-LONG-1773993061000-19,2026-03-20T08:09:24+00:00,BTC-USDT-SWAP-LONG-1773993061000-19,failed_triggered,0.0,False,duplicate_60m_price_band,filtered_correct_zone
2026-03-20,DOWN,2.7881,False,2026-03-20T08:12:09+00:00,2026-03-20T17:37:19+00:00,565.17,BTC-USDT-SWAP-SHORT-1773990723000-18,2026-03-20T07:12:03+00:00,BTC-USDT-SWAP-SHORT-1773990723000-18,2026-03-20T07:15:26+00:00,BTC-USDT-SWAP-SHORT-1773977273000-11,2026-03-20T06:20:06+00:00,BTC-USDT-SWAP-SHORT-1773995341000-21,failed_triggered,11.4,True,,covered_watch_early
2026-03-22,UP,2.0367,False,2026-03-22T03:28:07+00:00,2026-03-22T03:35:49+00:00,7.7,BTC-USDT-SWAP-LONG-1774139310000-1,2026-03-22T00:28:30+00:00,BTC-USDT-SWAP-LONG-1774139310000-1,2026-03-22T00:41:19+00:00,BTC-USDT-SWAP-LONG-1774147456000-7,2026-03-22T03:27:57+00:00,BTC-USDT-SWAP-LONG-1774147456000-7,failed_triggered,0.0,False,duplicate_60m_price_band,filtered_correct_zone
2026-03-23,UP,2.1612,False,2026-03-23T05:03:36+00:00,2026-03-23T05:56:59+00:00,53.38,BTC-USDT-SWAP-LONG-1774233261000-11,2026-03-23T02:34:21+00:00,BTC-USDT-SWAP-LONG-1774233261000-11,2026-03-23T02:40:31+00:00,BTC-USDT-SWAP-LONG-1774237251000-14,2026-03-23T04:30:54+00:00,BTC-USDT-SWAP-LONG-1774226586000-5,duplicate_reached_move,0.0,False,duplicate_60m_price_band,filtered_correct_zone
2026-03-23,DOWN,2.0389,False,2026-03-23T05:56:59+00:00,2026-03-23T07:06:19+00:00,69.33,BTC-USDT-SWAP-SHORT-1774235188000-12,2026-03-23T03:06:28+00:00,BTC-USDT-SWAP-SHORT-1774235188000-12,2026-03-23T03:27:50+00:00,BTC-USDT-SWAP-SHORT-1774236610000-13,2026-03-23T04:02:50+00:00,BTC-USDT-SWAP-SHORT-1774244879000-18,failed_triggered,57.04,True,,covered_watch_early
2026-03-23,UP,5.9542,False,2026-03-23T07:06:19+00:00,2026-03-23T11:13:08+00:00,246.82,BTC-USDT-SWAP-LONG-1774240874000-15,2026-03-23T04:41:14+00:00,BTC-USDT-SWAP-LONG-1774240874000-15,2026-03-23T05:14:05+00:00,BTC-USDT-SWAP-LONG-1774240874000-15,2026-03-23T05:16:29+00:00,BTC-USDT-SWAP-LONG-1774240874000-15,duplicate_reached_move,0.0,False,duplicate_60m_price_band,filtered_correct_zone
2026-03-23,DOWN,2.561,False,2026-03-23T11:13:08+00:00,2026-03-23T12:03:12+00:00,50.07,,,,,,,BTC-USDT-SWAP-SHORT-1774265760000-20,failed_triggered,69.34,True,,covered_late
