date,zones,triggered,reached_raw,primary_unique_reached,duplicate_move_credits,failed_triggered,no_trigger,invalidated,expired,LONG,SHORT,raw_hit_pct,unique_hit_pct,dedup_supp
2026-03-16,45,24,3,1,2,21,5,15,1,25,20,12.5,4.17,11140
2026-03-18,57,33,12,1,11,21,4,20,0,21,36,36.36,3.03,12056
2026-03-19,51,27,7,1,6,20,3,20,1,25,26,25.93,3.7,11913
2026-03-20,34,16,0,0,0,16,1,17,0,14,20,0.0,0.0,11484
2026-03-21,21,15,10,1,9,5,0,6,0,9,12,66.67,6.67,19368
2026-03-22,33,24,7,1,6,17,1,8,0,14,19,29.17,4.17,14899
2026-03-23,37,24,8,1,7,16,0,13,0,19,18,33.33,4.17,11431
2026-03-24,36,20,4,1,3,16,2,14,0,16,20,20.0,5.0,13397
2026-03-25,33,23,0,0,0,23,1,8,1,18,15,0.0,0.0,11008
2026-03-26,49,28,11,1,10,17,5,16,0,23,26,39.29,3.57,14511
2026-03-27,33,20,9,1,8,11,3,10,0,20,13,45.0,5.0,13062
2026-03-28,23,15,0,0,0,15,2,6,0,15,8,0.0,0.0,14387
2026-03-29,24,16,6,1,5,10,0,8,0,11,13,37.5,6.25,15533
2026-03-30,38,23,5,2,3,18,3,12,0,22,16,21.74,8.7,14990
2026-03-31,29,22,7,3,4,15,1,6,0,12,17,31.82,13.64,9852
