date,rank_in_day,zone_id,direction,stage_used_for_tg_watch,candidate_iso,confirmed_iso,trigger_iso,zone_low,zone_high,zone_mid,confidence,evidence_count,rank_score,filter_kept,filter_dup_suppressed,filter_ctm_min,engine_class,engine_is_primary,engine_reached_raw,coverage_result,lead_min_before_move,related_market_move_size_pct,why_selected,summary
2026-03-16,1,BTC-USDT-SWAP-LONG-1773620182000-2,LONG,confirmed,2026-03-16T00:16:22+00:00,2026-03-16T00:37:27+00:00,2026-03-16T03:30:42+00:00,72463.15,72829.95,72646.54999999999,HIGH,9,9.4,False,False,173.25,primary_unique_reached_move,True,True,covered_2pct_move,176.55,3.0964,"highest rank_score 9.4 on day (9 evidence, HIGH confidence)",LONG because aggressive_sell_absorbed; bid_absorbed_sells; bid_refill_score_present; range_compression; void_score_present; 28_defense_cycles; zone_defended_long; OFI_buy_side; trigger_flow_strong
2026-03-16,2,BTC-USDT-SWAP-LONG-1773620204000-3,LONG,confirmed,2026-03-16T00:16:44+00:00,2026-03-16T00:37:27+00:00,2026-03-16T03:30:42+00:00,72463.15,72836.34997499999,72649.74998749999,HIGH,9,9.4,False,False,173.25,duplicate_reached_move,False,True,covered_2pct_move,176.55,3.0964,"highest rank_score 9.4 on day (9 evidence, HIGH confidence)",LONG because aggressive_sell_absorbed; bid_absorbed_sells; bid_refill_score_present; range_compression; void_score_present; 6_defense_cycles; zone_defended_long; OFI_buy_side; trigger_flow_strong
2026-03-18,1,BTC-USDT-SWAP-SHORT-1773792030000-1,SHORT,confirmed,2026-03-18T00:00:30+00:00,2026-03-18T00:13:01+00:00,2026-03-18T00:23:51+00:00,73779.05,74029.65,73904.35,HIGH,8,8.5,True,False,10.833333333333334,primary_unique_reached_move,True,True,missed_no_move_in_4h,,,"highest rank_score 8.5 on day (8 evidence, HIGH confidence)",SHORT because aggressive_buy_absorbed; ask_absorbed_buys; ask_refill_score_present; range_compression; void_score_present; 38_defense_cycles; zone_defended_long; trigger_flow_strong
2026-03-18,2,BTC-USDT-SWAP-SHORT-1773792781000-2,SHORT,confirmed,2026-03-18T00:13:01+00:00,2026-03-18T00:54:55+00:00,,73502.2,74022.14257499999,73762.1712875,HIGH,8,8.5,,,,invalidated_or_expired,False,False,missed_no_move_in_4h,,,"highest rank_score 8.5 on day (8 evidence, HIGH confidence)",SHORT because aggressive_buy_absorbed; ask_absorbed_buys; ask_refill_score_present; range_compression; void_score_present; 96_defense_cycles; zone_defended_long; OFI_sell_side
2026-03-19,1,BTC-USDT-SWAP-LONG-1773910814000-23,LONG,confirmed,2026-03-19T09:00:14+00:00,2026-03-19T09:18:04+00:00,2026-03-19T09:21:42+00:00,69936.45,70123.95,70030.2,HIGH,9,9.5,False,True,3.6333333333333333,failed_triggered,False,False,noisy_partial_1_5pct,,1.5858,"highest rank_score 9.5 on day (9 evidence, HIGH confidence)",LONG because aggressive_sell_absorbed; bid_absorbed_sells; bid_refill_score_present; range_compression; void_score_present; 56_defense_cycles; zone_defended_long; OFI_buy_side; trigger_flow_strong
2026-03-19,2,BTC-USDT-SWAP-LONG-1773926911000-30,LONG,confirmed,2026-03-19T13:28:31+00:00,2026-03-19T13:40:10+00:00,2026-03-19T13:41:30+00:00,69210.55,69423.05,69316.8,HIGH,9,9.5,True,False,1.3333333333333333,failed_triggered,False,False,missed_no_move_in_4h,,,"highest rank_score 9.5 on day (9 evidence, HIGH confidence)",LONG because aggressive_sell_absorbed; bid_absorbed_sells; bid_refill_score_present; range_compression; void_score_present; 66_defense_cycles; zone_defended_long; OFI_buy_side; trigger_flow_strong
2026-03-20,1,BTC-USDT-SWAP-SHORT-1773964831000-1,SHORT,confirmed,2026-03-20T00:00:31+00:00,2026-03-20T00:21:21+00:00,,69800.05,70139.95,69970.0,HIGH,8,8.5,,,,invalidated_or_expired,False,False,missed_no_move_in_4h,,,"highest rank_score 8.5 on day (8 evidence, HIGH confidence)",SHORT because aggressive_buy_absorbed; ask_absorbed_buys; ask_refill_score_present; range_compression; void_score_present; 53_defense_cycles; zone_defended_long; OFI_sell_side
2026-03-20,2,BTC-USDT-SWAP-SHORT-1773966081000-3,SHORT,confirmed,2026-03-20T00:21:21+00:00,2026-03-20T00:44:27+00:00,,69903.65,70227.45,70065.54999999999,HIGH,8,8.5,,,,invalidated_or_expired,False,False,missed_no_move_in_4h,,,"highest rank_score 8.5 on day (8 evidence, HIGH confidence)",SHORT because aggressive_buy_absorbed; ask_absorbed_buys; ask_refill_score_present; range_compression; void_score_present; 25_defense_cycles; zone_defended_long; OFI_sell_side
2026-03-21,1,BTC-USDT-SWAP-SHORT-1774053604000-4,SHORT,confirmed,2026-03-21T00:40:04+00:00,2026-03-21T00:59:58+00:00,2026-03-21T01:44:59+00:00,70532.75,70696.15,70614.45,HIGH,8,8.5,True,False,45.016666666666666,primary_unique_reached_move,True,True,missed_no_move_in_4h,,,"highest rank_score 8.5 on day (8 evidence, HIGH confidence)",SHORT because ask_absorbed_buys; ask_refill_score_present; range_compression; void_score_present; 16_defense_cycles; zone_defended_long; OFI_sell_side; trigger_flow_strong
2026-03-21,2,BTC-USDT-SWAP-SHORT-1774078231000-9,SHORT,confirmed,2026-03-21T07:30:31+00:00,2026-03-21T07:42:37+00:00,2026-03-21T08:21:16+00:00,70728.25,70862.463525,70795.3567625,HIGH,8,8.5,False,True,38.65,duplicate_reached_move,False,True,missed_no_move_in_4h,,,"highest rank_score 8.5 on day (8 evidence, HIGH confidence)",SHORT because aggressive_buy_absorbed; ask_absorbed_buys; ask_refill_score_present; range_compression; void_score_present; 41_defense_cycles; zone_defended_long; OFI_sell_side
2026-03-22,1,BTC-USDT-SWAP-SHORT-1774142237000-5,SHORT,confirmed,2026-03-22T01:17:17+00:00,2026-03-22T01:32:41+00:00,2026-03-22T01:37:40+00:00,68830.617475,69049.95,68940.2837375,HIGH,9,9.5,False,True,4.983333333333333,duplicate_reached_move,False,True,wrong_direction,,2.0367,"highest rank_score 9.5 on day (9 evidence, HIGH confidence)",SHORT because aggressive_buy_absorbed; ask_absorbed_buys; ask_refill_score_present; range_compression; void_score_present; 24_defense_cycles; zone_defended_long; OFI_sell_side; trigger_flow_strong
2026-03-22,2,BTC-USDT-SWAP-SHORT-1774149904000-8,SHORT,confirmed,2026-03-22T03:25:04+00:00,2026-03-22T03:39:26+00:00,2026-03-22T04:22:04+00:00,69251.75,69547.65,69399.7,HIGH,9,9.5,True,False,42.63333333333333,duplicate_reached_move,False,True,missed_no_move_in_4h,,,"highest rank_score 9.5 on day (9 evidence, HIGH confidence)",SHORT because aggressive_buy_absorbed; ask_absorbed_buys; ask_refill_score_present; range_compression; void_score_present; 53_defense_cycles; zone_defended_long; OFI_sell_side; trigger_flow_strong
2026-03-23,1,BTC-USDT-SWAP-SHORT-1774224201000-1,SHORT,confirmed,2026-03-23T00:03:21+00:00,2026-03-23T00:14:57+00:00,2026-03-23T00:36:11+00:00,67738.25,68085.95,67912.1,HIGH,8,8.5,True,False,21.233333333333334,failed_triggered,False,False,missed_no_move_in_4h,,,"highest rank_score 8.5 on day (8 evidence, HIGH confidence)",SHORT because aggressive_buy_absorbed; ask_absorbed_buys; ask_refill_score_present; range_compression; void_score_present; 37_defense_cycles; zone_defended_long; trigger_flow_strong
2026-03-23,2,BTC-USDT-SWAP-LONG-1774224518000-4,LONG,confirmed,2026-03-23T00:08:38+00:00,2026-03-23T00:22:01+00:00,,67762.85,68085.95,67924.4,HIGH,8,8.5,,,,invalidated_or_expired,False,False,missed_no_move_in_4h,,,"highest rank_score 8.5 on day (8 evidence, HIGH confidence)",LONG because aggressive_sell_absorbed; bid_absorbed_sells; bid_refill_score_present; range_compression; void_score_present; 96_defense_cycles; zone_defended_long; OFI_buy_side
2026-03-24,1,BTC-USDT-SWAP-SHORT-1774331704000-14,SHORT,confirmed,2026-03-24T05:55:04+00:00,2026-03-24T06:07:43+00:00,,70219.75,70377.65,70298.7,HIGH,8,8.5,,,,invalidated_or_expired,False,False,covered_2pct_move,111.33,3.5123,"highest rank_score 8.5 on day (8 evidence, HIGH confidence)",SHORT because aggressive_buy_absorbed; ask_absorbed_buys; ask_refill_score_present; range_compression; void_score_present; 112_defense_cycles; zone_defended_long; OFI_sell_side
2026-03-24,2,BTC-USDT-SWAP-SHORT-1774362766000-24,SHORT,confirmed,2026-03-24T14:32:46+00:00,2026-03-24T14:36:16+00:00,2026-03-24T14:45:44+00:00,69915.374825,70111.25,70013.3124125,HIGH,8,8.5,True,False,9.466666666666667,failed_triggered,False,False,missed_no_move_in_4h,,,"highest rank_score 8.5 on day (8 evidence, HIGH confidence)",SHORT because aggressive_buy_absorbed; ask_absorbed_buys; ask_refill_score_present; range_compression; void_score_present; 26_defense_cycles; OFI_sell_side; trigger_flow_strong
