id,date,dir,regime_dir,vol,trend_aligned,true_mfe,strong_label,sim_outcome,reclaim,cv_confirm
BTCUSDT-LONG-1779321652000-1,2026-05-21,LONG,RANGE,LOW_VOL,0,0.739,MID,TIMEOUT,0,0
BTCUSDT-LONG-1779323426000-2,2026-05-21,LONG,RANGE,LOW_VOL,0,0.64,MID,TIMEOUT,0,0
BTCUSDT-LONG-1779325402000-5,2026-05-21,LONG,RANGE,LOW_VOL,0,0.3,MID,LOSS,1,0
BTCUSDT-SHORT-1779323772000-3,2026-05-21,SHORT,RANGE,LOW_VOL,0,1.284,MID,TIMEOUT,0,0
BTCUSDT-LONG-1779326696000-8,2026-05-21,LONG,RANGE,NORMAL_VOL,0,0.456,MID,TIMEOUT,0,0
BTCUSDT-LONG-1779331245000-9,2026-05-21,LONG,RANGE,NORMAL_VOL,0,0.295,MID,LOSS,0,0
BTCUSDT-SHORT-1779342844000-10,2026-05-21,SHORT,RANGE,LOW_VOL,0,1.351,MID,TIMEOUT,0,0
BTCUSDT-LONG-1779344451000-11,2026-05-21,LONG,RANGE,NORMAL_VOL,0,0.767,MID,TIMEOUT,0,0
BTCUSDT-SHORT-1779346581000-12,2026-05-21,SHORT,RANGE,NORMAL_VOL,0,1.122,MID,TIMEOUT,0,0
BTCUSDT-SHORT-1779357069000-14,2026-05-21,SHORT,RANGE,NORMAL_VOL,0,1.184,MID,TIMEOUT,1,0
BTCUSDT-SHORT-1779325094000-4,2026-05-21,SHORT,RANGE,NORMAL_VOL,0,1.687,MID,TIMEOUT,1,0
BTCUSDT-SHORT-1779326244000-6,2026-05-21,SHORT,RANGE,NORMAL_VOL,0,1.461,MID,TIMEOUT,1,0
BTCUSDT-SHORT-1779326363000-7,2026-05-21,SHORT,RANGE,NORMAL_VOL,0,1.461,MID,TIMEOUT,1,0
BTCUSDT-SHORT-1779359582000-16,2026-05-21,SHORT,RANGE,NORMAL_VOL,0,0.84,MID,TIMEOUT,1,0
BTCUSDT-LONG-1779362883000-18,2026-05-21,LONG,RANGE,NORMAL_VOL,0,1.096,MID,TIMEOUT,0,0
BTCUSDT-LONG-1779360866000-17,2026-05-21,LONG,RANGE,NORMAL_VOL,0,1.135,MID,TIMEOUT,0,0
BTCUSDT-LONG-1779378060000-24,2026-05-21,LONG,RANGE,NORMAL_VOL,0,1.117,MID,TIMEOUT,0,0
BTCUSDT-LONG-1779366351000-19,2026-05-21,LONG,RANGE,NORMAL_VOL,0,1.227,MID,TIMEOUT,1,0
BTCUSDT-SHORT-1779372363000-23,2026-05-21,SHORT,RANGE,NORMAL_VOL,0,0.305,MID,TIMEOUT,1,0
BTCUSDT-SHORT-1779371412000-22,2026-05-21,SHORT,RANGE,NORMAL_VOL,0,0.468,MID,TIMEOUT,0,0
