id,date,dir,regime_dir,vol,trend_aligned,true_mfe,strong_label,sim_outcome,reclaim,cv_confirm
BTC-USDT-SWAP-LONG-1772409634000-1,2026-03-02,LONG,RANGE,LOW_VOL,0,6.336,STRONG_3,WIN,0,
BTC-USDT-SWAP-SHORT-1772410491000-2,2026-03-02,SHORT,RANGE,LOW_VOL,0,1.185,MID,LOSS,0,
BTC-USDT-SWAP-SHORT-1772410502000-3,2026-03-02,SHORT,RANGE,LOW_VOL,0,1.185,MID,LOSS,0,
BTC-USDT-SWAP-LONG-1772410803000-4,2026-03-02,LONG,RANGE,LOW_VOL,0,6.318,STRONG_3,WIN,0,
BTC-USDT-SWAP-SHORT-1772412598000-5,2026-03-02,SHORT,RANGE,NORMAL_VOL,0,1.902,MID,LOSS,1,
BTC-USDT-SWAP-SHORT-1772412610000-6,2026-03-02,SHORT,RANGE,NORMAL_VOL,0,1.902,MID,LOSS,1,
BTC-USDT-SWAP-SHORT-1772415850000-9,2026-03-02,SHORT,RANGE,NORMAL_VOL,0,1.954,MID,LOSS,1,
BTC-USDT-SWAP-LONG-1772414212000-7,2026-03-02,LONG,RANGE,NORMAL_VOL,0,5.233,STRONG_3,LOSS,0,
BTC-USDT-SWAP-LONG-1772414223000-8,2026-03-02,LONG,RANGE,NORMAL_VOL,0,5.233,STRONG_3,LOSS,0,
BTC-USDT-SWAP-LONG-1772416021000-10,2026-03-02,LONG,RANGE,NORMAL_VOL,0,5.297,STRONG_3,LOSS,1,
BTC-USDT-SWAP-SHORT-1772418726000-11,2026-03-02,SHORT,RANGE,NORMAL_VOL,0,1.635,MID,LOSS,0,
BTC-USDT-SWAP-LONG-1772419889000-13,2026-03-02,LONG,RANGE,NORMAL_VOL,0,5.819,STRONG_3,LOSS,0,
BTC-USDT-SWAP-LONG-1772420096000-14,2026-03-02,LONG,RANGE,NORMAL_VOL,0,5.872,STRONG_3,WIN,0,
BTC-USDT-SWAP-SHORT-1772419273000-12,2026-03-02,SHORT,RANGE,NORMAL_VOL,0,1.889,MID,LOSS,0,
BTC-USDT-SWAP-LONG-1772420976000-15,2026-03-02,LONG,RANGE,NORMAL_VOL,0,4.971,STRONG_3,LOSS,1,
BTC-USDT-SWAP-SHORT-1772422168000-17,2026-03-02,SHORT,RANGE,NORMAL_VOL,0,2.466,WEAK_WIN_2,WIN,0,
BTC-USDT-SWAP-SHORT-1772421927000-16,2026-03-02,SHORT,RANGE,NORMAL_VOL,0,2.302,WEAK_WIN_2,WIN,0,
BTC-USDT-SWAP-LONG-1772423133000-18,2026-03-02,LONG,RANGE,NORMAL_VOL,0,4.806,STRONG_3,LOSS,0,
BTC-USDT-SWAP-SHORT-1772434429000-19,2026-03-02,SHORT,RANGE,NORMAL_VOL,0,1.434,MID,LOSS,0,
BTC-USDT-SWAP-SHORT-1772436650000-21,2026-03-02,SHORT,RANGE,NORMAL_VOL,0,1.058,MID,LOSS,0,
BTC-USDT-SWAP-SHORT-1772436154000-20,2026-03-02,SHORT,RANGE,NORMAL_VOL,0,0.841,MID,LOSS,0,
BTC-USDT-SWAP-SHORT-1772454967000-22,2026-03-02,SHORT,RANGE,NORMAL_VOL,0,1.185,MID,LOSS,0,
BTC-USDT-SWAP-LONG-1772461492000-27,2026-03-02,LONG,RANGE,NORMAL_VOL,0,7.033,STRONG_3,WIN,1,
BTC-USDT-SWAP-SHORT-1772459757000-24,2026-03-02,SHORT,RANGE,NORMAL_VOL,0,0.281,MID,LOSS,1,
BTC-USDT-SWAP-SHORT-1772460162000-25,2026-03-02,SHORT,RANGE,NORMAL_VOL,0,0.228,MID,LOSS,0,
BTC-USDT-SWAP-LONG-1772459159000-23,2026-03-02,LONG,RANGE,NORMAL_VOL,0,7.115,STRONG_3,WIN,0,
BTC-USDT-SWAP-SHORT-1772461132000-26,2026-03-02,SHORT,RANGE,NORMAL_VOL,0,0.053,MID,LOSS,0,
BTC-USDT-SWAP-LONG-1772464005000-28,2026-03-02,LONG,TREND_UP,HIGH_VOL,1,2.247,WEAK_WIN_2,WIN,1,
BTC-USDT-SWAP-LONG-1772464013000-29,2026-03-02,LONG,TREND_UP,HIGH_VOL,1,2.247,WEAK_WIN_2,WIN,1,
BTC-USDT-SWAP-LONG-1772465497000-30,2026-03-02,LONG,TREND_UP,HIGH_VOL,1,0.944,MID,LOSS,1,
BTC-USDT-SWAP-LONG-1772468544000-32,2026-03-02,LONG,TREND_UP,HIGH_VOL,1,1.049,MID,LOSS,0,
BTC-USDT-SWAP-SHORT-1772471902000-34,2026-03-02,SHORT,TREND_UP,HIGH_VOL,0,4.801,STRONG_3,WIN,0,
BTC-USDT-SWAP-SHORT-1772471938000-35,2026-03-02,SHORT,TREND_UP,HIGH_VOL,0,4.732,STRONG_3,WIN,0,
BTC-USDT-SWAP-LONG-1772470363000-33,2026-03-02,LONG,TREND_UP,HIGH_VOL,1,0.111,MID,LOSS,0,
BTC-USDT-SWAP-SHORT-1772472002000-36,2026-03-02,SHORT,TREND_UP,HIGH_VOL,0,4.732,STRONG_3,WIN,0,
BTC-USDT-SWAP-SHORT-1772468028000-31,2026-03-02,SHORT,TREND_UP,HIGH_VOL,0,4.871,STRONG_3,WIN,0,
BTC-USDT-SWAP-SHORT-1772474203000-37,2026-03-02,SHORT,TREND_UP,HIGH_VOL,0,4.256,STRONG_3,WIN,0,
