id,date,dir,regime_dir,vol,trend_aligned,true_mfe,strong_label,sim_outcome,reclaim,cv_confirm
BTC-USDT-SWAP-SHORT-1779408570000-2,2026-05-22,SHORT,RANGE,LOW_VOL,0,2.785,STRONG_2_5,WIN,0,1
BTC-USDT-SWAP-LONG-1779408364000-1,2026-05-22,LONG,RANGE,LOW_VOL,0,0.494,MID,LOSS,1,0
BTC-USDT-SWAP-LONG-1779415195000-4,2026-05-22,LONG,RANGE,LOW_VOL,0,0.27,MID,LOSS,1,1
BTC-USDT-SWAP-LONG-1779416443000-6,2026-05-22,LONG,RANGE,LOW_VOL,0,0.31,MID,LOSS,0,1
BTC-USDT-SWAP-SHORT-1779421196000-8,2026-05-22,SHORT,RANGE,LOW_VOL,0,3.3,STRONG_3,WIN,1,0
BTC-USDT-SWAP-SHORT-1779423246000-9,2026-05-22,SHORT,RANGE,LOW_VOL,0,3.351,STRONG_3,WIN,1,0
BTC-USDT-SWAP-SHORT-1779415546000-5,2026-05-22,SHORT,RANGE,LOW_VOL,0,3.14,STRONG_3,WIN,1,0
BTC-USDT-SWAP-LONG-1779420889000-7,2026-05-22,LONG,RANGE,LOW_VOL,0,0.154,MID,LOSS,0,1
BTC-USDT-SWAP-SHORT-1779411930000-3,2026-05-22,SHORT,RANGE,LOW_VOL,0,2.882,STRONG_2_5,WIN,0,1
BTC-USDT-SWAP-LONG-1779448856000-14,2026-05-22,LONG,RANGE,LOW_VOL,0,0.427,MID,LOSS,1,0
BTC-USDT-SWAP-SHORT-1779439235000-11,2026-05-22,SHORT,RANGE,LOW_VOL,0,3.998,STRONG_3,WIN,0,1
BTC-USDT-SWAP-SHORT-1779441426000-13,2026-05-22,SHORT,RANGE,LOW_VOL,0,3.951,STRONG_3,WIN,0,1
BTC-USDT-SWAP-SHORT-1779457879000-15,2026-05-22,SHORT,RANGE,LOW_VOL,0,3.863,STRONG_3,WIN,0,1
BTC-USDT-SWAP-LONG-1779433591000-10,2026-05-22,LONG,RANGE,NORMAL_VOL,0,0.258,MID,LOSS,1,0
BTC-USDT-SWAP-SHORT-1779459081000-16,2026-05-22,SHORT,RANGE,NORMAL_VOL,0,3.691,STRONG_3,WIN,1,1
BTC-USDT-SWAP-SHORT-1779459495000-17,2026-05-22,SHORT,RANGE,NORMAL_VOL,0,3.36,STRONG_3,WIN,1,1
BTC-USDT-SWAP-SHORT-1779459508000-18,2026-05-22,SHORT,RANGE,NORMAL_VOL,0,3.36,STRONG_3,WIN,1,1
BTC-USDT-SWAP-SHORT-1779460217000-19,2026-05-22,SHORT,RANGE,NORMAL_VOL,0,3.393,STRONG_3,WIN,0,0
BTC-USDT-SWAP-LONG-1779460984000-20,2026-05-22,LONG,RANGE,NORMAL_VOL,0,0.425,MID,LOSS,0,1
BTC-USDT-SWAP-LONG-1779464654000-21,2026-05-22,LONG,RANGE,NORMAL_VOL,0,0.299,MID,LOSS,1,1
BTC-USDT-SWAP-SHORT-1779464926000-22,2026-05-22,SHORT,RANGE,NORMAL_VOL,0,3.341,STRONG_3,WIN,0,0
BTC-USDT-SWAP-SHORT-1779494401000-1,2026-05-23,SHORT,TREND_DOWN,NORMAL_VOL,1,1.731,MID,LOSS,1,1
BTC-USDT-SWAP-SHORT-1779494481000-2,2026-05-23,SHORT,TREND_DOWN,NORMAL_VOL,1,1.731,MID,LOSS,1,1
BTC-USDT-SWAP-SHORT-1779496099000-5,2026-05-23,SHORT,TREND_DOWN,NORMAL_VOL,1,1.579,MID,LOSS,1,1
BTC-USDT-SWAP-SHORT-1779507906000-9,2026-05-23,SHORT,TREND_DOWN,LOW_VOL,1,1.869,MID,LOSS,1,0
BTC-USDT-SWAP-LONG-1779507581000-8,2026-05-23,LONG,TREND_DOWN,LOW_VOL,0,2.326,WEAK_WIN_2,LOSS,1,0
BTC-USDT-SWAP-SHORT-1779497203000-7,2026-05-23,SHORT,TREND_DOWN,NORMAL_VOL,1,1.514,MID,LOSS,0,1
BTC-USDT-SWAP-LONG-1779495107000-3,2026-05-23,LONG,TREND_DOWN,NORMAL_VOL,0,2.633,STRONG_2_5,LOSS,0,0
BTC-USDT-SWAP-LONG-1779495574000-4,2026-05-23,LONG,TREND_DOWN,NORMAL_VOL,0,2.565,STRONG_2_5,LOSS,1,0
BTC-USDT-SWAP-LONG-1779496998000-6,2026-05-23,LONG,TREND_DOWN,NORMAL_VOL,0,2.672,STRONG_2_5,LOSS,1,0
BTC-USDT-SWAP-LONG-1779528501000-12,2026-05-23,LONG,TREND_DOWN,NORMAL_VOL,0,3.631,STRONG_3,WIN,1,0
BTC-USDT-SWAP-LONG-1779532902000-13,2026-05-23,LONG,TREND_DOWN,NORMAL_VOL,0,3.733,STRONG_3,WIN,1,1
BTC-USDT-SWAP-LONG-1779537311000-14,2026-05-23,LONG,TREND_DOWN,LOW_VOL,0,3.697,STRONG_3,WIN,0,0
BTC-USDT-SWAP-LONG-1779542109000-15,2026-05-23,LONG,TREND_DOWN,LOW_VOL,0,3.448,STRONG_3,WIN,0,1
BTC-USDT-SWAP-LONG-1779544826000-16,2026-05-23,LONG,RANGE,NORMAL_VOL,0,3.098,STRONG_3,WIN,1,0
BTC-USDT-SWAP-SHORT-1779522337000-10,2026-05-23,SHORT,TREND_DOWN,NORMAL_VOL,1,0.282,MID,LOSS,1,1
BTC-USDT-SWAP-LONG-1779546968000-17,2026-05-23,LONG,RANGE,NORMAL_VOL,0,2.777,STRONG_2_5,WIN,1,1
BTC-USDT-SWAP-LONG-1779548601000-18,2026-05-23,LONG,RANGE,NORMAL_VOL,0,2.567,STRONG_2_5,WIN,0,0
BTC-USDT-SWAP-LONG-1779549554000-19,2026-05-23,LONG,RANGE,NORMAL_VOL,0,2.57,STRONG_2_5,WIN,0,0
BTC-USDT-SWAP-LONG-1779581256000-2,2026-05-24,LONG,RANGE,NORMAL_VOL,0,1.183,MID,TIMEOUT,0,0
