venue,model,trades,wins,losses,timeouts,winrate_pct,expectancy_after_cost_pct,pf_after_cost,total_return_after_cost_pct,max_consecutive_losses,no_trade_days,alerts_per_day,hit_2,hit_2_5,hit_3,wrong_direction
OKX_MARCH,M0_old_RS1,29,18,8,3,62.07,0.6475,2.258,18.7771,3,0,1.0,18,16,12,8
OKX_MARCH,M1_regime_filter,26,9,13,4,34.62,-0.1529,0.819,-3.9757,6,3,0.9,9,9,6,12
OKX_MARCH,M2_regime_noise,25,9,14,2,36.0,-0.2068,0.775,-5.1695,4,4,0.86,10,10,9,14
OKX_MARCH,M3_regime_strongscore,24,9,13,2,37.5,-0.1471,0.834,-3.5295,3,5,0.83,10,10,9,13
OKX_MARCH,M5_regime_notrade_cooldown,44,13,27,4,29.55,-0.4825,0.543,-21.2294,6,4,1.52,17,17,15,27
OKX_MAY,M0_old_RS1,9,2,2,5,22.22,0.1473,1.35,1.3256,1,0,1.0,4,1,0,4
OKX_MAY,M1_regime_filter,6,2,0,4,33.33,0.4667,3.281,2.8001,2,3,0.67,2,2,1,1
OKX_MAY,M2_regime_noise,4,1,1,2,25.0,-0.0331,0.942,-0.1324,1,5,0.44,1,1,0,1
OKX_MAY,M3_regime_strongscore,0,0,0,0,0.0,,,,0,9,0.0,0,0,0,0
OKX_MAY,M4_regime_crossconfirm,2,2,0,0,100.0,1.86,,3.72,0,7,0.22,2,2,0,0
OKX_MAY,M5_regime_notrade_cooldown,5,1,2,2,20.0,-0.3545,0.55,-1.7724,2,5,0.56,1,1,0,2
BINANCE_MAY,M0_old_RS1,10,1,4,5,10.0,-0.5411,0.315,-5.4107,7,0,1.0,1,1,1,6
BINANCE_MAY,M1_regime_filter,2,0,0,2,0.0,0.6436,,1.2872,0,8,0.2,0,0,0,1
BINANCE_MAY,M2_regime_noise,0,0,0,0,0.0,,,,0,10,0.0,0,0,0,0
BINANCE_MAY,M3_regime_strongscore,0,0,0,0,0.0,,,,0,10,0.0,0,0,0,0
BINANCE_MAY,M4_regime_crossconfirm,0,0,0,0,0.0,,,,0,10,0.0,0,0,0,0
BINANCE_MAY,M5_regime_notrade_cooldown,0,0,0,0,0.0,,,,0,10,0.0,0,0,0,0
