id,_date,direction,sim_label,sim_outcome,sim_pnl_after_cost,explainable_score,dist_to_recent_swing_high_pct,dl2_supp_minus_opp_net_flow_15m__pctile_prior,dl2_supp_minus_opp_net_flow_15m__z_prior,dl2_supp_minus_opp_net_flow_15m__pctile_7d,dl2_supp_minus_opp_net_flow_15m__pctile_day,dl2_supp_minus_opp_net_flow_15m__pctile_60m,dl2_supp_minus_opp_net_flow_15m__pctile_180m,dl2_supp_minus_opp_net_flow_15m__z_60m,dl2_supp_minus_opp_net_flow_15m__z_180m,dl2_supp_minus_opp_net_flow_15m__over_med_prior,dl2_supp_minus_opp_net_flow_15m__over_mad_prior,dl2_supp_minus_opp_net_flow_5m__pctile_prior,dl2_supp_minus_opp_net_flow_5m__z_prior,dl2_supp_minus_opp_net_flow_5m__pctile_7d,dl2_supp_minus_opp_net_flow_5m__pctile_day,dl2_supp_minus_opp_net_flow_5m__pctile_60m,dl2_supp_minus_opp_net_flow_5m__pctile_180m,dl2_supp_minus_opp_net_flow_5m__z_60m,dl2_supp_minus_opp_net_flow_5m__z_180m,dl2_supp_minus_opp_net_flow_5m__over_med_prior,dl2_supp_minus_opp_net_flow_5m__over_mad_prior,dl2_microprice_aligned_delta_5m_bps__pctile_prior,dl2_microprice_aligned_delta_5m_bps__z_prior,dl2_microprice_aligned_delta_5m_bps__pctile_7d,dl2_microprice_aligned_delta_5m_bps__pctile_day,dl2_microprice_aligned_delta_5m_bps__pctile_60m,dl2_microprice_aligned_delta_5m_bps__pctile_180m,dl2_microprice_aligned_delta_5m_bps__z_60m,dl2_microprice_aligned_delta_5m_bps__z_180m,dl2_microprice_aligned_delta_5m_bps__over_med_prior,dl2_microprice_aligned_delta_5m_bps__over_mad_prior,dl2_microprice_aligned_delta_15m_bps__pctile_prior,dl2_microprice_aligned_delta_15m_bps__z_prior,dl2_microprice_aligned_delta_15m_bps__pctile_7d,dl2_microprice_aligned_delta_15m_bps__pctile_day,dl2_microprice_aligned_delta_15m_bps__pctile_60m,dl2_microprice_aligned_delta_15m_bps__pctile_180m,dl2_microprice_aligned_delta_15m_bps__z_60m,dl2_microprice_aligned_delta_15m_bps__z_180m,dl2_microprice_aligned_delta_15m_bps__over_med_prior,dl2_microprice_aligned_delta_15m_bps__over_mad_prior,dl2_top1_supportive_persistence_ge_50_5m_sec__pctile_prior,dl2_top1_supportive_persistence_ge_50_5m_sec__z_prior,dl2_top1_supportive_persistence_ge_50_5m_sec__pctile_7d,dl2_top1_supportive_persistence_ge_50_5m_sec__pctile_day,dl2_top1_supportive_persistence_ge_50_5m_sec__pctile_60m,dl2_top1_supportive_persistence_ge_50_5m_sec__pctile_180m,dl2_top1_supportive_persistence_ge_50_5m_sec__z_60m,dl2_top1_supportive_persistence_ge_50_5m_sec__z_180m,dl2_top1_supportive_persistence_ge_50_5m_sec__over_med_prior,dl2_top1_supportive_persistence_ge_50_5m_sec__over_mad_prior,dl2_spread_now_bps__pctile_prior,dl2_spread_now_bps__z_prior,dl2_spread_now_bps__pctile_7d,dl2_spread_now_bps__pctile_day,dl2_spread_now_bps__pctile_60m,dl2_spread_now_bps__pctile_180m,dl2_spread_now_bps__z_60m,dl2_spread_now_bps__z_180m,dl2_spread_now_bps__over_med_prior,dl2_spread_now_bps__over_mad_prior,eng_ofi__pctile_prior,eng_ofi__z_prior,eng_ofi__pctile_7d,eng_ofi__pctile_day,eng_ofi__pctile_60m,eng_ofi__pctile_180m,eng_ofi__z_60m,eng_ofi__z_180m,eng_ofi__over_med_prior,eng_ofi__over_mad_prior,eng_refill__pctile_prior,eng_refill__z_prior,eng_refill__pctile_7d,eng_refill__pctile_day,eng_refill__pctile_60m,eng_refill__pctile_180m,eng_refill__z_60m,eng_refill__z_180m,eng_refill__over_med_prior,eng_refill__over_mad_prior,eng_absorption__pctile_prior,eng_absorption__z_prior,eng_absorption__pctile_7d,eng_absorption__pctile_day,eng_absorption__pctile_60m,eng_absorption__pctile_180m,eng_absorption__z_60m,eng_absorption__z_180m,eng_absorption__over_med_prior,eng_absorption__over_mad_prior,eng_void__pctile_prior,eng_void__z_prior,eng_void__pctile_7d,eng_void__pctile_day,eng_void__pctile_60m,eng_void__pctile_180m,eng_void__z_60m,eng_void__z_180m,eng_void__over_med_prior,eng_void__over_mad_prior,supportive_taker_imb_15m__pctile_prior,supportive_taker_imb_15m__z_prior,supportive_taker_imb_15m__pctile_7d,supportive_taker_imb_15m__pctile_day,supportive_taker_imb_15m__pctile_60m,supportive_taker_imb_15m__pctile_180m,supportive_taker_imb_15m__z_60m,supportive_taker_imb_15m__z_180m,supportive_taker_imb_15m__over_med_prior,supportive_taker_imb_15m__over_mad_prior,taker_imbalance_15m__pctile_prior,taker_imbalance_15m__z_prior,taker_imbalance_15m__pctile_7d,taker_imbalance_15m__pctile_day,taker_imbalance_15m__pctile_60m,taker_imbalance_15m__pctile_180m,taker_imbalance_15m__z_60m,taker_imbalance_15m__z_180m,taker_imbalance_15m__over_med_prior,taker_imbalance_15m__over_mad_prior,explainable_score__pctile_prior,explainable_score__z_prior,explainable_score__pctile_7d,explainable_score__pctile_day,explainable_score__pctile_60m,explainable_score__pctile_180m,explainable_score__z_60m,explainable_score__z_180m,explainable_score__over_med_prior,explainable_score__over_mad_prior
BTC-USDT-SWAP-LONG-1772409634000-1,2026-03-02,LONG,GOOD,WIN,1.86,2.129,0.4391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC-USDT-SWAP-SHORT-1772410491000-2,2026-03-02,SHORT,NOISE,LOSS,-1.64,0.672,0.302,100.0,,100.0,100.0,,,,,,,100.0,,100.0,100.0,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,,,,,50.0,,50.0,50.0,,,,,,,100.0,,100.0,100.0,,,,,,,0.0,,0.0,0.0,,,,,,,100.0,,100.0,100.0,,,,,,,50.0,,50.0,50.0,,,,,,,100.0,,100.0,100.0,,,,,,,50.0,,50.0,50.0,,,,,,,100.0,,100.0,100.0,,,,,,,0.0,,0.0,0.0,,,,,,
BTC-USDT-SWAP-SHORT-1772410502000-3,2026-03-02,SHORT,NOISE,LOSS,-1.64,0.672,0.302,100.0,,100.0,100.0,100.0,100.0,0.755,0.755,,,100.0,,100.0,100.0,100.0,100.0,1.359,1.359,,,33.3,,33.3,33.3,33.3,33.3,-1.282,-1.282,,,33.3,,33.3,33.3,33.3,33.3,-1.024,-1.024,,,66.7,,66.7,66.7,66.7,66.7,-0.532,-0.532,,,100.0,,100.0,100.0,100.0,100.0,,,,,0.0,,0.0,0.0,0.0,0.0,-1.783,-1.783,,,100.0,,100.0,100.0,100.0,100.0,1.148,1.148,,,66.7,,66.7,66.7,66.7,66.7,-0.359,-0.359,,,100.0,,100.0,100.0,100.0,100.0,,,,,66.7,,66.7,66.7,66.7,66.7,0.4,0.4,,,100.0,,100.0,100.0,100.0,100.0,0.84,0.84,,,33.3,,33.3,33.3,33.3,33.3,-1.045,-1.045,,
BTC-USDT-SWAP-LONG-1772410803000-4,2026-03-02,LONG,GOOD,WIN,1.86,1.1237,0.4218,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,,,,,100.0,,100.0,100.0,,,,,,,100.0,,100.0,100.0,,,,,,,100.0,,100.0,100.0,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,,,,,100.0,,100.0,100.0,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,,,,
BTC-USDT-SWAP-SHORT-1772412598000-5,2026-03-02,SHORT,NOISE,LOSS,-1.64,1.3822,0.4381,25.0,,25.0,25.0,25.0,25.0,-0.019,-0.019,,,25.0,,25.0,25.0,25.0,25.0,-1.003,-1.003,,,75.0,,75.0,75.0,75.0,75.0,0.7,0.7,,,75.0,,75.0,75.0,75.0,75.0,0.894,0.894,,,75.0,,75.0,75.0,75.0,75.0,-0.352,-0.352,,,100.0,,100.0,100.0,100.0,100.0,,,,,100.0,,100.0,100.0,100.0,100.0,2.587,2.587,,,25.0,,25.0,25.0,25.0,25.0,-0.381,-0.381,,,25.0,,25.0,25.0,25.0,25.0,-0.992,-0.992,,,100.0,,100.0,100.0,100.0,100.0,,,,,25.0,,25.0,25.0,25.0,25.0,0.324,0.324,,,100.0,,100.0,100.0,100.0,100.0,0.683,0.683,,,75.0,,75.0,75.0,75.0,75.0,0.392,0.392,,
BTC-USDT-SWAP-SHORT-1772412610000-6,2026-03-02,SHORT,NOISE,LOSS,-1.64,1.3822,0.4381,40.0,-0.017,40.0,40.0,40.0,40.0,-0.017,-0.017,0.372,-4.988,40.0,-0.818,40.0,40.0,40.0,40.0,-0.818,-0.818,0.091,-0.545,80.0,0.597,80.0,80.0,80.0,80.0,0.597,0.597,1.142,0.266,80.0,0.742,80.0,80.0,80.0,80.0,0.742,0.742,-0.23,1.366,80.0,-0.311,80.0,80.0,80.0,80.0,-0.311,-0.311,1.004,1.0,100.0,,100.0,100.0,100.0,100.0,,,,,40.0,-0.496,40.0,40.0,40.0,40.0,-0.496,-0.496,-1.464,-0.699,40.0,-0.336,40.0,40.0,40.0,40.0,-0.336,-0.336,1.0,-0.233,40.0,-0.811,40.0,40.0,40.0,40.0,-0.811,-0.811,0.917,-1.0,100.0,,100.0,100.0,100.0,100.0,,,,,40.0,0.286,40.0,40.0,40.0,40.0,0.286,0.286,1.031,-1.0,100.0,0.584,100.0,100.0,100.0,100.0,0.584,0.584,1.031,1.0,80.0,0.345,80.0,80.0,80.0,80.0,0.345,0.345,1.23,0.572
BTC-USDT-SWAP-SHORT-1772415850000-9,2026-03-02,SHORT,NOISE,LOSS,-1.64,0.8851,0.8238,11.1,-0.417,11.1,11.1,0.0,11.1,-0.88,-0.417,0.365,-1.012,44.4,-0.504,44.4,44.4,60.0,44.4,-0.084,-0.504,0.356,-0.708,0.0,-1.333,0.0,0.0,0.0,0.0,-1.256,-1.333,-0.049,-1.68,88.9,1.458,88.9,88.9,100.0,88.9,5.134,1.458,-38.24,3.924,88.9,0.729,88.9,88.9,100.0,88.9,1.72,0.729,1.028,3.5,100.0,,100.0,100.0,100.0,100.0,,,,,22.2,-0.695,22.2,22.2,0.0,22.2,-1.184,-0.695,-1.561,-1.039,11.1,-1.265,11.1,11.1,0.0,11.1,-1.912,-1.265,0.998,-0.912,77.8,0.042,77.8,77.8,80.0,77.8,0.655,0.042,1.025,0.403,100.0,,100.0,100.0,100.0,100.0,,,,,100.0,2.452,100.0,100.0,100.0,100.0,4.137,2.452,-2.179,6.944,22.2,-0.863,22.2,22.2,20.0,22.2,-1.318,-0.863,-7.956,-3.239,55.6,-0.122,55.6,55.6,60.0,55.6,0.15,-0.122,1.317,0.472
BTC-USDT-SWAP-LONG-1772414212000-7,2026-03-02,LONG,NOISE,LOSS,-1.64,0.6636,0.6977,100.0,1.996,100.0,100.0,,100.0,,1.996,3.404,4.374,66.7,-0.307,66.7,66.7,,66.7,,-0.307,1.955,0.624,0.0,-1.399,0.0,0.0,,0.0,,-1.399,0.224,-3.111,50.0,0.428,50.0,50.0,,50.0,,0.428,0.07,0.336,83.3,-0.056,83.3,83.3,,83.3,,-0.056,1.01,5.0,100.0,,100.0,100.0,,100.0,,,,,83.3,0.576,83.3,83.3,,83.3,,0.576,-5.898,0.793,66.7,1.019,66.7,66.7,,66.7,,1.019,1.002,1.59,50.0,-0.16,50.0,50.0,,50.0,,-0.16,1.021,0.491,100.0,,100.0,100.0,,100.0,,,,,83.3,0.561,83.3,83.3,,83.3,,0.561,0.534,30.652,16.7,-0.204,16.7,16.7,,16.7,,-0.204,-0.542,-49.957,0.0,-1.131,0.0,0.0,,0.0,,-1.131,0.53,-1.66
BTC-USDT-SWAP-LONG-1772414223000-8,2026-03-02,LONG,NOISE,LOSS,-1.64,0.6636,0.6977,100.0,1.475,100.0,100.0,100.0,100.0,1.414,1.475,2.335,2.126,71.4,-0.282,71.4,71.4,100.0,71.4,1.414,-0.282,1.066,0.073,14.3,-1.145,14.3,14.3,33.3,14.3,-1.414,-1.145,0.24,-1.422,57.1,0.391,57.1,57.1,33.3,57.1,-1.414,0.391,1.0,0.0,85.7,-0.052,85.7,85.7,100.0,85.7,1.414,-0.052,1.008,2.0,100.0,,100.0,100.0,100.0,100.0,,,,,42.9,-0.458,42.9,42.9,33.3,42.9,-1.097,-0.458,-1.208,-0.896,71.4,0.88,71.4,71.4,100.0,71.4,1.414,0.88,1.002,1.0,57.1,-0.148,57.1,57.1,100.0,57.1,1.414,-0.148,1.0,0.0,100.0,,100.0,100.0,100.0,100.0,,,,,85.7,0.508,85.7,85.7,100.0,85.7,1.414,0.508,0.542,14.826,28.6,-0.188,28.6,28.6,33.3,28.6,-1.414,-0.188,-0.542,-49.957,14.3,-0.963,14.3,14.3,33.3,14.3,-1.414,-0.963,0.591,-1.019
BTC-USDT-SWAP-LONG-1772416021000-10,2026-03-02,LONG,NOISE,LOSS,-1.64,-0.0737,0.7587,37.5,-0.286,37.5,37.5,50.0,37.5,-0.836,-0.286,0.501,-0.767,12.5,-0.903,12.5,12.5,0.0,12.5,-1.795,-0.903,-0.287,-1.411,0.0,-1.27,0.0,0.0,0.0,0.0,-1.304,-1.27,0.162,-1.345,37.5,0.101,37.5,37.5,0.0,37.5,-3.096,0.101,11.0,-0.437,0.0,-1.738,0.0,0.0,0.0,0.0,-12.0,-1.738,0.957,-7.333,100.0,,100.0,100.0,100.0,100.0,,,,,100.0,1.89,100.0,100.0,100.0,100.0,1.553,1.89,-43.797,3.292,37.5,-0.488,37.5,37.5,50.0,37.5,-0.873,-0.488,0.999,-1.049,87.5,0.656,87.5,87.5,100.0,87.5,3.539,0.656,1.08,1.892,100.0,,100.0,100.0,100.0,100.0,,,,,12.5,-1.037,12.5,12.5,0.0,12.5,-7.995,-1.037,2.74,-7.121,12.5,-1.335,12.5,12.5,0.0,12.5,-3.794,-1.335,-4.301,-8.571,0.0,-2.34,0.0,0.0,0.0,0.0,-3.052,-2.34,-0.082,-4.147
