regime,window_id,ts_iso,outcome,ret_30m,ret_60m,ret_180m,ret_360m,price_vs_vwap180_pct,cvd_60m,cvd_180m,net_taker_60m,up_from_recent_low_pct,range_180m_pct,buy_recovery,downside_progress,weak_bounce,bounce_danger,chop,uptrend_danger,downtrend_perm,seller_ctrl_strict
TREND_DOWN,DOWN_NOV,2025-11-19T08:02:00+00:00,WIN,0.524,0.833,0.738,-0.642,1.019,16117.8,68880.19,22470.29,0.833,2.145,False,False,False,False,False,True,False,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:03:00+00:00,WIN,0.331,0.8,0.734,-0.609,1.007,14330.92,69488.81,16117.8,0.8,2.145,False,False,False,False,False,True,False,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:04:00+00:00,WIN,0.348,0.742,0.741,-0.645,1.029,12789.0,68030.96,14330.92,0.742,2.145,False,False,False,False,False,True,False,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:05:00+00:00,WIN,0.364,0.677,0.775,-0.861,1.008,4010.43,66855.98,12789.0,0.68,2.145,False,False,False,False,False,True,False,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:06:00+00:00,WIN,0.254,0.534,0.614,-0.916,0.927,-2155.57,58644.59,4010.43,0.6,2.145,False,False,False,False,False,True,False,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:09:00+00:00,WIN,0.028,0.525,0.797,-1.008,0.939,-20310.35,73390.4,-14056.88,0.622,2.145,False,False,False,False,False,True,False,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:11:00+00:00,WIN,0.028,0.586,0.772,-1.057,0.926,-19616.33,69847.95,-16376.62,0.612,2.145,False,False,False,False,False,True,False,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:12:00+00:00,WIN,0.051,0.476,0.768,-1.086,0.902,-26449.37,66548.68,-19616.33,0.59,2.145,False,False,True,False,False,True,False,True
TREND_DOWN,DOWN_NOV,2025-11-19T08:13:00+00:00,WIN,0.014,0.465,0.801,-1.068,0.934,-34759.61,63442.83,-26449.37,0.624,2.145,False,False,False,False,False,True,False,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:15:00+00:00,WIN,-0.02,0.533,0.805,-1.075,0.935,-39241.93,60994.48,-37000.7,0.628,2.145,False,False,False,False,False,True,False,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:16:00+00:00,WIN,-0.193,0.565,0.781,-1.13,0.933,-39664.63,55326.77,-39241.93,0.628,2.145,False,False,False,False,False,True,False,False
TREND_DOWN,DOWN_NOV,2025-11-19T08:17:00+00:00,TIMEOUT,-0.307,0.515,0.728,-1.092,0.89,-41760.99,48529.44,-39664.63,0.586,2.145,False,False,True,False,False,True,False,True
TREND_DOWN,DOWN_NOV,2025-11-19T08:18:00+00:00,TIMEOUT,-0.251,0.509,0.71,-1.056,0.861,-46847.05,40335.47,-41760.99,0.558,2.145,False,False,True,False,False,True,False,True
TREND_DOWN,DOWN_NOV,2025-11-19T08:19:00+00:00,TIMEOUT,-0.346,0.527,0.648,-1.019,0.834,-52052.42,33675.36,-46847.05,0.535,2.145,False,False,True,False,False,True,False,True
TREND_DOWN,DOWN_NOV,2025-11-19T08:20:00+00:00,WIN,-0.284,0.496,0.602,-0.976,0.819,-60419.27,22949.83,-52052.42,0.522,2.145,False,False,True,False,False,True,False,True
TREND_DOWN,DOWN_NOV,2025-11-19T08:22:00+00:00,WIN,-0.201,0.446,0.702,-0.815,0.863,-66230.02,21812.61,-65063.48,0.577,2.145,False,False,True,False,False,True,False,True
TREND_DOWN,DOWN_NOV,2025-11-19T08:40:00+00:00,WIN,-0.247,-0.14,1.179,-1.354,0.614,-82311.76,46545.42,-75681.45,0.0,2.145,False,True,True,False,False,True,False,True
TREND_DOWN,DOWN_NOV,2025-11-19T08:41:00+00:00,WIN,-0.205,-0.177,1.224,-1.251,0.604,-84350.66,49358.03,-82311.76,0.0,2.145,False,True,True,False,False,True,False,True
TREND_DOWN,DOWN_NOV,2025-11-19T08:42:00+00:00,WIN,-0.14,-0.089,1.286,-1.128,0.638,-81083.17,46672.34,-84350.66,0.044,2.145,False,True,True,False,False,True,False,True
TREND_DOWN,DOWN_NOV,2025-11-19T08:43:00+00:00,WIN,-0.181,-0.168,1.234,-1.11,0.62,-84646.93,45843.42,-81083.17,0.036,2.145,False,True,True,False,False,True,False,True
TREND_DOWN,DOWN_NOV,2025-11-19T08:44:00+00:00,WIN,-0.208,-0.164,1.368,-1.124,0.633,-84890.8,48032.71,-84646.93,0.053,2.145,False,True,True,False,False,True,False,True
TREND_DOWN,DOWN_NOV,2025-11-19T08:45:00+00:00,WIN,-0.211,-0.23,1.263,-1.21,0.584,-82550.56,39819.51,-84890.8,0.011,2.145,False,True,True,False,False,True,False,True
TREND_DOWN,DOWN_NOV,2025-11-19T08:46:00+00:00,WIN,-0.282,-0.474,1.391,-1.28,0.502,-93153.34,44590.35,-82550.56,0.0,2.145,False,True,True,False,False,True,False,True
TREND_DOWN,DOWN_NOV,2025-11-19T08:47:00+00:00,WIN,-0.297,-0.603,1.48,-1.317,0.427,-99133.94,41859.33,-93153.34,0.0,2.145,False,True,True,False,False,True,False,True
TREND_DOWN,DOWN_NOV,2025-11-19T08:48:00+00:00,WIN,-0.282,-0.532,1.369,-1.336,0.38,-94114.13,28105.52,-99133.94,0.0,2.145,False,True,True,False,False,True,False,True
TREND_DOWN,DOWN_NOV,2025-11-19T08:49:00+00:00,WIN,-0.28,-0.625,1.455,-1.412,0.34,-81640.14,42085.1,-94114.13,0.0,2.145,False,True,True,False,False,True,False,True
TREND_DOWN,DOWN_NOV,2025-11-19T08:50:00+00:00,WIN,-0.334,-0.618,1.427,-1.446,0.241,-83578.83,49341.51,-81640.14,0.0,2.145,False,True,True,False,False,True,False,True
