exchange,data_type,nominal_date,filename,size_mb,ok,symbol,first_utc,last_utc,first_date,last_date,error
Bybit,orderbook,2024-04-12,2024-04-12_BTCUSDT_ob500.data.zip,266.5,True,BTCUSDT,2024-04-12 00:00:03,first-line-only(big file),2024-04-12,,
Bybit,orderbook,2024-04-13,2024-04-13_BTCUSDT_ob500.data.zip,337.2,True,BTCUSDT,2024-04-13 00:00:03,first-line-only(big file),2024-04-13,,
Bybit,orderbook,2024-04-14,2024-04-14_BTCUSDT_ob500.data.zip,368.4,True,BTCUSDT,2024-04-14 00:00:03,first-line-only(big file),2024-04-14,,
Bybit,orderbook,2024-04-15,2024-04-15_BTCUSDT_ob500.data.zip,366.9,True,BTCUSDT,2024-04-15 00:00:03,first-line-only(big file),2024-04-15,,
Bybit,orderbook,2024-04-16,2024-04-16_BTCUSDT_ob500.data.zip,404.2,True,BTCUSDT,2024-04-16 00:00:02,first-line-only(big file),2024-04-16,,
Bybit,orderbook,2024-04-17,2024-04-17_BTCUSDT_ob500.data.zip,394.1,True,BTCUSDT,2024-04-17 00:00:02,first-line-only(big file),2024-04-17,,
Bybit,orderbook,2025-11-19,2025-11-19_BTCUSDT_ob200.data.zip,291.1,True,BTCUSDT,2025-11-19 00:00:01,first-line-only(big file),2025-11-19,,
Bybit,orderbook,2025-11-19,2025-11-19_BTCUSDT_ob200.data.zip,291.1,True,BTCUSDT,2025-11-19 00:00:01,first-line-only(big file),2025-11-19,,
Bybit,orderbook,2025-11-20,2025-11-20_BTCUSDT_ob200.data.zip,317.0,True,BTCUSDT,2025-11-20 00:00:01,first-line-only(big file),2025-11-20,,
Bybit,orderbook,2025-11-21,2025-11-21_BTCUSDT_ob200.data.zip,441.2,True,BTCUSDT,2025-11-21 00:00:01,first-line-only(big file),2025-11-21,,
Bybit,orderbook,2025-11-22,2025-11-22_BTCUSDT_ob200.data.zip,244.4,True,BTCUSDT,2025-11-22 00:00:01,first-line-only(big file),2025-11-22,,
Bybit,orderbook,2026-01-28,2026-01-28_BTCUSDT_ob200.data.zip,206.8,True,BTCUSDT,2026-01-28 00:00:01,first-line-only(big file),2026-01-28,,
Bybit,orderbook,2026-01-29,2026-01-29_BTCUSDT_ob200.data.zip,218.5,True,BTCUSDT,2026-01-29 00:00:01,first-line-only(big file),2026-01-29,,
Bybit,orderbook,2026-01-30,2026-01-30_BTCUSDT_ob200.data.zip,297.1,True,BTCUSDT,2026-01-30 00:00:01,first-line-only(big file),2026-01-30,,
Bybit,orderbook,2026-01-31,2026-01-31_BTCUSDT_ob200.data.zip,283.1,True,BTCUSDT,2026-01-31 00:00:01,first-line-only(big file),2026-01-31,,
