window,date,exchange,data_type,status,covered_by
W1,2025-11-19,Bybit,orderbook,PRESENT,2025-11-19_BTCUSDT_ob200.data.zip; 2025-11-19_BTCUSDT_ob200.data.zip
W1,2025-11-19,Bybit,trades,PRESENT,BTCUSDT2025-11-19.csv.gz
W1,2025-11-19,OKX,orderbook,MISSING,-
W1,2025-11-19,OKX,trades,MISSING,-
W1,2025-11-20,Bybit,orderbook,PRESENT,2025-11-20_BTCUSDT_ob200.data.zip
W1,2025-11-20,Bybit,trades,PRESENT,BTCUSDT2025-11-20.csv.gz
W1,2025-11-20,OKX,orderbook,MISSING,-
W1,2025-11-20,OKX,trades,MISSING,-
W1,2025-11-21,Bybit,orderbook,PRESENT,2025-11-21_BTCUSDT_ob200.data.zip
W1,2025-11-21,Bybit,trades,PRESENT,BTCUSDT2025-11-21.csv.gz
W1,2025-11-21,OKX,orderbook,MISSING,-
W1,2025-11-21,OKX,trades,MISSING,-
W1,2025-11-22,Bybit,orderbook,PRESENT,2025-11-22_BTCUSDT_ob200.data.zip
W1,2025-11-22,Bybit,trades,PRESENT,BTCUSDT2025-11-22.csv.gz
W1,2025-11-22,OKX,orderbook,PRESENT,BTC-USDT-SWAP-L2orderbook-400lv-2025-11-22.tar.gz
W1,2025-11-22,OKX,trades,MISSING,-
W3,2026-01-28,Bybit,orderbook,PRESENT,2026-01-28_BTCUSDT_ob200.data.zip
W3,2026-01-28,Bybit,trades,PRESENT,BTCUSDT2026-01-28.csv.gz
W3,2026-01-28,OKX,orderbook,MISSING,-
W3,2026-01-28,OKX,trades,MISSING,-
W3,2026-01-29,Bybit,orderbook,PRESENT,2026-01-29_BTCUSDT_ob200.data.zip
W3,2026-01-29,Bybit,trades,PRESENT,BTCUSDT2026-01-29.csv.gz
W3,2026-01-29,OKX,orderbook,MISSING,-
W3,2026-01-29,OKX,trades,MISSING,-
W3,2026-01-30,Bybit,orderbook,PRESENT,2026-01-30_BTCUSDT_ob200.data.zip
W3,2026-01-30,Bybit,trades,PRESENT,BTCUSDT2026-01-30.csv.gz
W3,2026-01-30,OKX,orderbook,MISSING,-
W3,2026-01-30,OKX,trades,MISSING,-
W3,2026-01-31,Bybit,orderbook,PRESENT,2026-01-31_BTCUSDT_ob200.data.zip
W3,2026-01-31,Bybit,trades,PRESENT,BTCUSDT2026-01-31.csv.gz
W3,2026-01-31,OKX,orderbook,PRESENT,BTC-USDT-SWAP-L2orderbook-400lv-2026-01-31.tar.gz
W3,2026-01-31,OKX,trades,MISSING,-
NEW_APRIL,2024-04-12,Bybit,orderbook,PRESENT,2024-04-12_BTCUSDT_ob500.data.zip
NEW_APRIL,2024-04-12,Bybit,trades,PRESENT,BTCUSDT2024-04-12.csv.gz
NEW_APRIL,2024-04-12,OKX,orderbook,MISSING,-
NEW_APRIL,2024-04-12,OKX,trades,MISSING,-
NEW_APRIL,2024-04-13,Bybit,orderbook,PRESENT,2024-04-13_BTCUSDT_ob500.data.zip
NEW_APRIL,2024-04-13,Bybit,trades,PRESENT,BTCUSDT2024-04-13.csv.gz
NEW_APRIL,2024-04-13,OKX,orderbook,MISSING,-
NEW_APRIL,2024-04-13,OKX,trades,MISSING,-
NEW_APRIL,2024-04-14,Bybit,orderbook,PRESENT,2024-04-14_BTCUSDT_ob500.data.zip
NEW_APRIL,2024-04-14,Bybit,trades,PRESENT,BTCUSDT2024-04-14.csv.gz
NEW_APRIL,2024-04-14,OKX,orderbook,MISSING,-
NEW_APRIL,2024-04-14,OKX,trades,MISSING,-
NEW_APRIL,2024-04-15,Bybit,orderbook,PRESENT,2024-04-15_BTCUSDT_ob500.data.zip
NEW_APRIL,2024-04-15,Bybit,trades,PRESENT,BTCUSDT2024-04-15.csv.gz
NEW_APRIL,2024-04-15,OKX,orderbook,MISSING,-
NEW_APRIL,2024-04-15,OKX,trades,MISSING,-
NEW_APRIL,2024-04-16,Bybit,orderbook,PRESENT,2024-04-16_BTCUSDT_ob500.data.zip
NEW_APRIL,2024-04-16,Bybit,trades,PRESENT,BTCUSDT2024-04-16.csv.gz
NEW_APRIL,2024-04-16,OKX,orderbook,MISSING,-
NEW_APRIL,2024-04-16,OKX,trades,MISSING,-
NEW_APRIL,2024-04-17,Bybit,orderbook,PRESENT,2024-04-17_BTCUSDT_ob500.data.zip
NEW_APRIL,2024-04-17,Bybit,trades,PRESENT,BTCUSDT2024-04-17.csv.gz
NEW_APRIL,2024-04-17,OKX,orderbook,PRESENT,BTC-USDT-SWAP-L2orderbook-400lv-2024-04-17.tar.gz
NEW_APRIL,2024-04-17,OKX,trades,PRESENT,BTC-USDT-SWAP-trades-2024-04-18.zip
