cluster_id,capital_state,direction,outcome,effort_vs_result,absorption_refill,initiative_control,background_alignment,not_overextended,liquidity_execution
W1-SHORT-0,UNKNOWN,SHORT,WIN,0,1,0,0,1,3
W1-SHORT-1,DISTRIBUTION_INTO_BOUNCE,SHORT,TIMEOUT,2,3,3,2,1,3
W1-SHORT-2,UNKNOWN,SHORT,WIN,2,2,2,1,2,3
W1-SHORT-3,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,2,2,3,2,1,3
W1-SHORT-4,NO_CONTROL_CHOP,SHORT,LOSS,1,0,1,1,3,3
W1-SHORT-5,UNKNOWN,SHORT,WIN,0,3,0,1,1,3
W1-SHORT-6,UNKNOWN,SHORT,WIN,0,2,0,1,1,3
W1-SHORT-7,UNKNOWN,SHORT,TIMEOUT,0,2,0,1,2,3
W1-SHORT-8,UNKNOWN,SHORT,WIN,0,2,0,2,2,3
W1-SHORT-9,DISTRIBUTION_INTO_BOUNCE,SHORT,WIN,2,2,3,1,1,3
W1-SHORT-10,UNKNOWN,SHORT,WIN,0,1,0,3,3,3
W1-SHORT-11,NO_CONTROL_CHOP,SHORT,WIN,0,0,0,2,2,3
W1-SHORT-12,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,1,1,1,1,3,3
W1-SHORT-13,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,2,2,2,2,3,3
W1-SHORT-14,NO_CONTROL_CHOP,SHORT,TIMEOUT,0,0,0,2,3,3
W1-SHORT-15,DISTRIBUTION_INTO_BOUNCE,SHORT,TIMEOUT,1,1,1,1,2,3
W1-SHORT-16,UNKNOWN,SHORT,TIMEOUT,0,2,0,1,3,3
W1-SHORT-17,UNKNOWN,SHORT,TIMEOUT,0,1,0,1,2,3
W1-LONG-18,ACTIVE_MARKDOWN,LONG,LOSS,1,0,1,1,2,3
W1-LONG-19,UNKNOWN,LONG,LOSS,3,2,3,0,1,3
W1-LONG-20,ACTIVE_MARKDOWN,LONG,LOSS,0,2,0,1,2,3
W1-LONG-21,UNKNOWN,LONG,TIMEOUT,3,2,3,2,2,3
W1-LONG-22,ACTIVE_MARKDOWN,LONG,LOSS,1,0,1,1,2,3
W1-LONG-23,UNKNOWN,LONG,LOSS,2,2,2,2,2,3
W1-LONG-24,UNKNOWN,LONG,LOSS,0,2,0,0,2,3
W1-LONG-25,UNKNOWN,LONG,LOSS,2,2,2,2,3,3
W1-LONG-26,NO_CONTROL_CHOP,LONG,WIN,0,0,0,0,3,3
W1-LONG-27,UNKNOWN,LONG,TIMEOUT,2,1,2,1,3,3
W1-LONG-28,UNKNOWN,LONG,TIMEOUT,3,2,3,1,2,3
W1-LONG-29,ACTIVE_MARKDOWN,LONG,TIMEOUT,1,1,1,2,2,3
W1-LONG-30,UNKNOWN,LONG,TIMEOUT,3,3,3,0,2,3
W1-LONG-31,UNKNOWN,LONG,TIMEOUT,0,2,0,2,2,3
W1-LONG-32,UNKNOWN,LONG,TIMEOUT,3,2,3,1,1,3
W1-LONG-33,ACTIVE_MARKDOWN,LONG,TIMEOUT,0,1,0,0,1,3
W2-SHORT-0,UNKNOWN,SHORT,WIN,0,1,0,0,1,3
W2-SHORT-1,DISTRIBUTION_INTO_BOUNCE,SHORT,TIMEOUT,2,2,2,2,1,3
W2-SHORT-2,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,2,1,2,1,1,3
W2-SHORT-3,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,2,2,2,1,2,3
W2-SHORT-4,UNKNOWN,SHORT,LOSS,0,1,0,1,2,3
W2-SHORT-5,UNKNOWN,SHORT,LOSS,0,1,0,2,2,3
W2-SHORT-6,NO_CONTROL_CHOP,SHORT,TIMEOUT,1,0,1,1,3,3
W2-SHORT-7,DISTRIBUTION_INTO_BOUNCE,SHORT,TIMEOUT,2,2,2,2,1,3
W2-SHORT-8,NO_CONTROL_CHOP,SHORT,TIMEOUT,1,0,1,1,2,3
W2-SHORT-9,NO_CONTROL_CHOP,SHORT,WIN,0,0,0,1,2,3
W2-SHORT-10,DISTRIBUTION_INTO_BOUNCE,SHORT,WIN,1,1,1,2,2,3
W2-SHORT-11,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,2,1,2,2,1,3
W2-SHORT-12,UNKNOWN,SHORT,TIMEOUT,0,1,0,1,2,3
W2-SHORT-13,UNKNOWN,SHORT,LOSS,2,1,2,1,2,3
W2-SHORT-14,UNKNOWN,SHORT,TIMEOUT,1,1,1,1,3,3
W2-SHORT-15,UNKNOWN,SHORT,LOSS,3,3,3,1,0,3
W2-SHORT-16,UNKNOWN,SHORT,TIMEOUT,3,3,3,1,2,3
W2-SHORT-17,ACTIVE_MARKDOWN,SHORT,TIMEOUT,0,0,0,2,1,3
W2-SHORT-18,NO_CONTROL_CHOP,SHORT,TIMEOUT,0,0,0,1,1,3
W2-LONG-19,UNKNOWN,LONG,LOSS,0,3,0,0,2,3
W2-LONG-20,UNKNOWN,LONG,WIN,0,1,0,2,3,3
W2-LONG-21,UNKNOWN,LONG,TIMEOUT,2,2,2,0,2,3
W2-LONG-22,UNKNOWN,LONG,TIMEOUT,2,2,2,0,1,3
W2-LONG-23,ACTIVE_MARKDOWN,LONG,TIMEOUT,1,1,1,2,2,3
W2-LONG-24,UNKNOWN,LONG,LOSS,2,2,2,2,3,3
W2-LONG-25,UNKNOWN,LONG,TIMEOUT,3,3,3,0,1,3
W2-LONG-26,UNKNOWN,LONG,WIN,2,1,2,2,2,3
W2-LONG-27,ACTIVE_MARKDOWN,LONG,TIMEOUT,0,2,0,1,1,3
W2-LONG-28,UNKNOWN,LONG,TIMEOUT,3,2,3,0,2,3
W2-LONG-29,UNKNOWN,LONG,TIMEOUT,3,2,3,0,3,3
W3-SHORT-0,UNKNOWN,SHORT,TIMEOUT,3,3,3,0,0,3
W3-SHORT-1,UNKNOWN,SHORT,TIMEOUT,0,2,0,1,1,3
W3-SHORT-2,DISTRIBUTION_INTO_BOUNCE,SHORT,TIMEOUT,2,2,2,1,1,3
W3-SHORT-3,NO_CONTROL_CHOP,SHORT,TIMEOUT,1,0,1,1,1,3
W3-SHORT-4,DISTRIBUTION_INTO_BOUNCE,SHORT,TIMEOUT,2,3,3,2,1,3
W3-SHORT-5,UNKNOWN,SHORT,WIN,0,1,0,1,2,3
W3-SHORT-6,NO_CONTROL_CHOP,SHORT,TIMEOUT,0,0,0,2,2,3
W3-SHORT-7,UNKNOWN,SHORT,TIMEOUT,0,3,0,1,3,3
W3-SHORT-8,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,2,1,2,1,1,3
W3-SHORT-9,UNKNOWN,SHORT,TIMEOUT,0,3,0,1,2,3
W3-SHORT-10,UNKNOWN,SHORT,WIN,3,3,3,1,0,3
W3-SHORT-11,DISTRIBUTION_INTO_BOUNCE,SHORT,TIMEOUT,1,1,1,2,3,3
W3-LONG-12,UNKNOWN,LONG,TIMEOUT,2,1,2,0,1,3
W3-LONG-13,UNKNOWN,LONG,LOSS,3,2,3,1,2,3
W3-LONG-14,ACTIVE_MARKDOWN,LONG,TIMEOUT,0,1,0,2,3,3
W3-LONG-15,ACTIVE_MARKDOWN,LONG,TIMEOUT,0,2,0,2,2,3
W3-LONG-16,UNKNOWN,LONG,LOSS,0,2,0,1,2,3
W3-LONG-17,ACTIVE_MARKDOWN,LONG,LOSS,0,1,0,1,1,3
W3-LONG-18,NO_CONTROL_CHOP,LONG,TIMEOUT,0,0,0,1,2,3
W3-LONG-19,ACTIVE_MARKDOWN,LONG,WIN,0,0,0,0,1,3
W3-LONG-20,NO_CONTROL_CHOP,LONG,WIN,0,0,0,1,2,3
W3-LONG-21,UNKNOWN,LONG,WIN,0,2,0,2,3,3
W3-LONG-22,ACTIVE_MARKDOWN,LONG,LOSS,0,0,0,2,2,3
W3-LONG-23,UNKNOWN,LONG,LOSS,1,1,1,2,2,3
W3-LONG-24,ABSORPTION_AFTER_SELL_PRESSURE,LONG,LOSS,3,2,3,3,3,3
