dup,file,first_utc,label_date,last_utc,nominal_date,ok,symbol,type,utc_span,verified_utc_date
,BTC-USDT-SWAP-L2orderbook-400lv-2024-04-12.tar.gz,2024-04-12 00:00:00,,,2024-04-12,True,BTC-USDT-SWAP,orderbook,,2024-04-12
,BTC-USDT-SWAP-L2orderbook-400lv-2024-04-13.tar.gz,2024-04-13 00:00:00,,,2024-04-13,True,BTC-USDT-SWAP,orderbook,,2024-04-13
,BTC-USDT-SWAP-L2orderbook-400lv-2024-04-14.tar.gz,2024-04-14 00:00:00,,,2024-04-14,True,BTC-USDT-SWAP,orderbook,,2024-04-14
,BTC-USDT-SWAP-L2orderbook-400lv-2024-04-15.tar.gz,2024-04-15 00:00:00,,,2024-04-15,True,BTC-USDT-SWAP,orderbook,,2024-04-15
,BTC-USDT-SWAP-L2orderbook-400lv-2024-04-16.tar.gz,2024-04-16 00:00:00,,,2024-04-16,True,BTC-USDT-SWAP,orderbook,,2024-04-16
,BTC-USDT-SWAP-L2orderbook-400lv-2024-04-17.tar (2).gz,2024-04-17 00:00:00,,,2024-04-17,True,BTC-USDT-SWAP,orderbook,,2024-04-17
DUP,BTC-USDT-SWAP-L2orderbook-400lv-2024-04-17.tar.gz,2024-04-17 00:00:00,,,2024-04-17,True,BTC-USDT-SWAP,orderbook,,2024-04-17
,BTC-USDT-SWAP-L2orderbook-400lv-2025-11-19.tar.gz,2025-11-19 00:00:00,,,2025-11-19,True,BTC-USDT-SWAP,orderbook,,2025-11-19
,BTC-USDT-SWAP-L2orderbook-400lv-2025-11-20.tar.gz,2025-11-20 00:00:00,,,2025-11-20,True,BTC-USDT-SWAP,orderbook,,2025-11-20
,BTC-USDT-SWAP-L2orderbook-400lv-2025-11-21.tar.gz,2025-11-21 00:00:00,,,2025-11-21,True,BTC-USDT-SWAP,orderbook,,2025-11-21
,BTC-USDT-SWAP-L2orderbook-400lv-2025-11-22.tar.gz,2025-11-22 00:00:00,,,2025-11-22,True,BTC-USDT-SWAP,orderbook,,2025-11-22
,BTC-USDT-SWAP-L2orderbook-400lv-2026-01-28.tar.gz,2026-01-28 00:00:00,,,2026-01-28,True,BTC-USDT-SWAP,orderbook,,2026-01-28
,BTC-USDT-SWAP-L2orderbook-400lv-2026-01-29.tar.gz,2026-01-29 00:00:00,,,2026-01-29,True,BTC-USDT-SWAP,orderbook,,2026-01-29
,BTC-USDT-SWAP-L2orderbook-400lv-2026-01-30.tar.gz,2026-01-30 00:00:00,,,2026-01-30,True,BTC-USDT-SWAP,orderbook,,2026-01-30
,BTC-USDT-SWAP-L2orderbook-400lv-2026-01-31.tar.gz,2026-01-31 00:00:00,,,2026-01-31,True,BTC-USDT-SWAP,orderbook,,2026-01-31
,BTC-USDT-SWAP-trades-2024-04-12.zip,2024-04-11 16:00:00,2024-04-12,2024-04-12 15:59:59,,True,BTC-USDT-SWAP,trades,2024-04-11..2024-04-12,
,BTC-USDT-SWAP-trades-2024-04-13.zip,2024-04-12 16:00:00,2024-04-13,2024-04-13 15:59:57,,True,BTC-USDT-SWAP,trades,2024-04-12..2024-04-13,
,BTC-USDT-SWAP-trades-2024-04-14.zip,2024-04-13 16:00:00,2024-04-14,2024-04-14 15:59:59,,True,BTC-USDT-SWAP,trades,2024-04-13..2024-04-14,
,BTC-USDT-SWAP-trades-2024-04-15.zip,2024-04-14 16:00:00,2024-04-15,2024-04-15 15:59:59,,True,BTC-USDT-SWAP,trades,2024-04-14..2024-04-15,
,BTC-USDT-SWAP-trades-2024-04-16.zip,2024-04-15 16:00:00,2024-04-16,2024-04-16 15:59:59,,True,BTC-USDT-SWAP,trades,2024-04-15..2024-04-16,
,BTC-USDT-SWAP-trades-2024-04-17.zip,2024-04-16 16:00:00,2024-04-17,2024-04-17 15:59:59,,True,BTC-USDT-SWAP,trades,2024-04-16..2024-04-17,
,BTC-USDT-SWAP-trades-2024-04-18 (2).zip,2024-04-17 16:00:00,2024-04-18,2024-04-18 15:59:59,,True,BTC-USDT-SWAP,trades,2024-04-17..2024-04-18,
DUP,BTC-USDT-SWAP-trades-2024-04-18.zip,2024-04-17 16:00:00,2024-04-18,2024-04-18 15:59:59,,True,BTC-USDT-SWAP,trades,2024-04-17..2024-04-18,
,BTC-USDT-SWAP-trades-2025-11-19.zip,2025-11-18 16:00:00,2025-11-19,2025-11-19 15:59:59,,True,BTC-USDT-SWAP,trades,2025-11-18..2025-11-19,
,BTC-USDT-SWAP-trades-2025-11-20.zip,2025-11-19 16:00:00,2025-11-20,2025-11-20 15:59:59,,True,BTC-USDT-SWAP,trades,2025-11-19..2025-11-20,
,BTC-USDT-SWAP-trades-2025-11-21.zip,2025-11-20 16:00:00,2025-11-21,2025-11-21 15:59:59,,True,BTC-USDT-SWAP,trades,2025-11-20..2025-11-21,
,BTC-USDT-SWAP-trades-2025-11-22.zip,2025-11-21 16:00:00,2025-11-22,2025-11-22 15:59:59,,True,BTC-USDT-SWAP,trades,2025-11-21..2025-11-22,
,BTC-USDT-SWAP-trades-2025-11-23.zip,2025-11-22 16:00:00,2025-11-23,2025-11-23 15:59:59,,True,BTC-USDT-SWAP,trades,2025-11-22..2025-11-23,
,BTC-USDT-SWAP-trades-2026-01-28.zip,2026-01-27 16:00:00,2026-01-28,2026-01-28 15:59:59,,True,BTC-USDT-SWAP,trades,2026-01-27..2026-01-28,
,BTC-USDT-SWAP-trades-2026-01-29.zip,2026-01-28 16:00:00,2026-01-29,2026-01-29 15:59:59,,True,BTC-USDT-SWAP,trades,2026-01-28..2026-01-29,
,BTC-USDT-SWAP-trades-2026-01-30.zip,2026-01-29 16:00:00,2026-01-30,2026-01-30 15:59:59,,True,BTC-USDT-SWAP,trades,2026-01-29..2026-01-30,
,BTC-USDT-SWAP-trades-2026-01-31.zip,2026-01-30 16:00:00,2026-01-31,2026-01-31 15:59:59,,True,BTC-USDT-SWAP,trades,2026-01-30..2026-01-31,
,BTC-USDT-SWAP-trades-2026-02-01.zip,2026-01-31 16:00:00,2026-02-01,2026-02-01 15:59:59,,True,BTC-USDT-SWAP,trades,2026-01-31..2026-02-01,
