window_id,exchange,ts_min,ts_iso,date,direction_candidate,entry_price,future_mfe_pct,future_mae_pct,hit2,hit2_5,hit3,loss,timeout,outcome,time_to_2_min,time_to_2_5_min,time_to_3_min,prior_move_60m,prior_move_180m,prior_move_1d,local_vol_180m,dist_from_recent_low_pct,dist_from_recent_high_pct,bounce_into_pivot_pct,spread_bps,depth_imbalance,bid_depth_top10,ask_depth_top10,update_rate
W1,Bybit,29391885,2025-11-19T00:45:00+00:00,2025-11-19,SHORT,92509.25,2.029,0.319,1,0,0,0,0,WIN,288,,,,,,0.094,0.603,0.421,0.674,0.011,0.1235,3.956,3.14,600.0
W1,Bybit,29391961,2025-11-19T02:01:00+00:00,2025-11-19,SHORT,92402.05,2.111,0.435,1,0,0,0,0,WIN,216,,,0.051,,,0.082,0.545,0.537,0.334,0.011,0.0614,3.931,3.194,600.0
W1,Bybit,29392053,2025-11-19T03:33:00+00:00,2025-11-19,LONG,92113.05,0.0,1.539,0,0,0,1,0,LOSS,,,,-0.578,-0.056,,0.07,0.231,0.848,0.537,0.011,0.045,2.993,2.854,600.0
W1,Bybit,29392102,2025-11-19T04:22:00+00:00,2025-11-19,LONG,91694.65,0.058,1.521,0,0,0,1,0,LOSS,,,,-0.55,-0.705,,0.067,0.049,1.196,0.271,0.011,-0.1229,2.489,4.247,600.0
W1,Bybit,29392141,2025-11-19T05:01:00+00:00,2025-11-19,LONG,91188.55,0.834,1.297,0,0,0,0,1,TIMEOUT,,,,-0.718,-1.313,,0.062,0.073,1.741,0.469,0.011,-0.1898,3.564,6.884,600.0
W1,Bybit,29392179,2025-11-19T05:39:00+00:00,2025-11-19,LONG,90549.05,1.546,0.6,0,0,0,0,1,TIMEOUT,,,,-0.873,-2.43,,0.061,0.108,2.43,0.646,0.013,-0.009,4.584,4.511,600.0
W1,Bybit,29392216,2025-11-19T06:16:00+00:00,2025-11-19,SHORT,90590.65,0.142,1.499,0,0,0,0,1,TIMEOUT,,,,-0.425,-1.808,,0.07,0.65,2.385,0.733,0.011,-0.411,2.888,7.223,600.0
W1,Bybit,29392371,2025-11-19T08:51:00+00:00,2025-11-19,LONG,91374.65,1.009,1.599,0,0,0,1,0,LOSS,,,,-0.593,1.425,,0.063,1.521,0.625,0.634,0.011,0.233,9.981,8.373,600.0
W1,Bybit,29392437,2025-11-19T09:57:00+00:00,2025-11-19,SHORT,91416.25,2.026,0.963,1,0,0,0,0,WIN,389,,,-0.027,0.55,,0.06,1.298,0.579,0.275,0.011,-0.1657,5.33,6.666,600.0
W1,Bybit,29392512,2025-11-19T11:12:00+00:00,2025-11-19,SHORT,91536.85,2.015,0.83,1,0,0,0,0,WIN,307,,,0.04,-0.146,,0.054,0.539,0.448,0.37,0.011,0.2761,8.259,3.393,600.0
W1,Bybit,29392613,2025-11-19T12:53:00+00:00,2025-11-19,SHORT,91610.95,2.095,0.749,1,0,0,0,0,WIN,206,,,0.222,0.339,,0.047,0.62,0.079,0.429,0.011,0.0725,10.335,4.432,600.0
W1,Bybit,29392653,2025-11-19T13:33:00+00:00,2025-11-19,SHORT,91631.85,2.117,0.726,1,0,0,0,0,WIN,166,,,0.212,0.263,,0.049,0.453,0.221,0.335,0.011,-0.3438,4.16,12.569,600.0
W1,Bybit,29392709,2025-11-19T14:29:00+00:00,2025-11-19,LONG,91063.15,1.355,1.506,0,0,0,1,0,LOSS,,,,-0.739,-0.477,,0.057,0.01,0.84,0.477,0.011,-0.2613,3.936,7.565,600.0
W1,Bybit,29392717,2025-11-19T14:37:00+00:00,2025-11-19,SHORT,91496.75,2.012,0.874,1,0,0,0,0,WIN,108,,,0.071,0.028,,0.061,0.486,0.368,0.517,0.011,-0.1555,2.892,4.591,600.0
W1,Bybit,29392776,2025-11-19T15:36:00+00:00,2025-11-19,LONG,90683.75,0.075,1.509,0,0,0,1,0,LOSS,,,,-0.905,-0.752,,0.088,0.017,1.748,1.796,0.011,-0.0651,4.067,5.611,600.0
W1,Bybit,29392821,2025-11-19T16:21:00+00:00,2025-11-19,LONG,89890.15,2.002,1.446,1,0,0,0,0,WIN,479,,,-1.978,-1.91,,0.097,0.221,2.608,0.564,0.011,0.1705,4.026,3.575,600.0
W1,Bybit,29392862,2025-11-19T17:02:00+00:00,2025-11-19,SHORT,89788.85,1.335,1.531,0,0,0,1,0,LOSS,,,,-0.362,-1.649,,0.107,0.408,2.717,0.657,0.011,-0.2229,5.303,8.143,600.0
W1,Bybit,29392875,2025-11-19T17:15:00+00:00,2025-11-19,LONG,89383.35,2.154,0.887,1,0,0,0,0,WIN,354,,,-0.766,-2.247,,0.108,0.076,3.157,0.779,0.011,-0.022,4.699,4.673,600.0
W1,Bybit,29392926,2025-11-19T18:06:00+00:00,2025-11-19,SHORT,89366.15,0.868,1.504,0,0,0,1,0,LOSS,,,,-0.247,-2.757,,0.11,0.578,3.175,0.743,0.011,-0.4526,4.091,10.517,600.0
W1,Bybit,29392949,2025-11-19T18:29:00+00:00,2025-11-19,LONG,89019.75,2.025,0.482,1,0,0,0,0,WIN,275,,,-0.513,-2.378,,0.101,0.188,3.551,0.828,0.011,0.2126,5.85,3.132,600.0
W1,Bybit,29392979,2025-11-19T18:59:00+00:00,2025-11-19,SHORT,89199.95,0.683,1.546,0,0,0,1,0,LOSS,,,,-0.289,-0.763,,0.097,0.412,3.355,0.44,0.011,-0.0618,4.268,4.115,597.0
W1,Bybit,29393037,2025-11-19T19:57:00+00:00,2025-11-19,SHORT,88902.85,0.351,1.655,0,0,0,1,0,LOSS,,,,-0.361,-0.993,,0.087,0.273,1.365,0.417,0.011,-0.005,4.993,4.851,600.0
W1,Bybit,29393301,2025-11-20T00:21:00+00:00,2025-11-20,SHORT,91653.35,0.004,1.601,0,0,0,1,0,LOSS,,,,0.243,1.287,-0.398,0.079,2.961,0.04,0.542,0.011,-0.0105,4.555,4.28,600.0
W1,Bybit,29393377,2025-11-20T01:37:00+00:00,2025-11-20,SHORT,92491.95,0.875,0.68,0,0,0,0,1,TIMEOUT,,,,0.283,2.239,0.173,0.074,2.657,0.137,0.544,0.011,-0.0821,4.286,5.123,600.0
W1,Bybit,29393452,2025-11-20T02:52:00+00:00,2025-11-20,SHORT,92539.75,1.159,0.628,0,0,0,0,1,TIMEOUT,,,,0.066,1.373,-0.093,0.07,2.412,0.239,0.266,0.011,0.2571,6.184,3.008,600.0
W1,Bybit,29393649,2025-11-20T06:09:00+00:00,2025-11-20,SHORT,92759.95,2.148,0.054,1,0,0,0,0,WIN,478,,,-0.164,0.335,2.468,0.058,0.69,0.388,0.283,0.011,0.3387,6.287,2.364,600.0
W1,Bybit,29393685,2025-11-20T06:45:00+00:00,2025-11-20,LONG,91942.95,0.507,1.481,0,0,0,0,1,TIMEOUT,,,,-0.731,-0.524,1.12,0.054,0.122,1.265,0.888,0.011,0.2608,8.726,5.621,600.0
W1,Bybit,29393716,2025-11-20T07:16:00+00:00,2025-11-20,SHORT,91964.45,1.846,0.483,0,0,0,0,1,TIMEOUT,,,,-0.716,-0.432,0.839,0.058,0.307,1.242,0.384,0.013,-0.0241,3.319,2.802,600.0
W1,Bybit,29393871,2025-11-20T09:51:00+00:00,2025-11-20,LONG,91579.95,0.627,1.577,0,0,0,1,0,LOSS,,,,-0.565,-0.139,0.339,0.05,0.124,1.325,0.503,0.011,0.0335,5.898,4.118,600.0
W1,Bybit,29393877,2025-11-20T09:57:00+00:00,2025-11-20,SHORT,91815.15,2.022,0.369,1,0,0,0,0,WIN,361,,,-0.288,-0.071,0.436,0.053,0.381,1.072,0.477,0.011,0.2704,7.908,4.306,600.0
W1,Bybit,29393912,2025-11-20T10:32:00+00:00,2025-11-20,SHORT,91923.55,2.051,0.25,1,0,0,0,0,WIN,324,,,0.081,-0.113,0.563,0.054,0.499,0.525,0.468,0.011,0.3822,9.381,3.524,600.0
