cluster_id,exchange,window_id,date,capital_state_candidate,confidence,direction_candidate,hit2,hit2_5,hit3,loss,timeout,evidence_summary,why_this_state,why_not_other_state,notes
By-W1_NOVEMBER-SHORT-0,Bybit,W1_NOVEMBER,2025-11-19,UNKNOWN,0.25,SHORT,1,0,0,0,0,insufficient short evidence,cannot classify short honestly,—,di=0.0614 cvd60=51.735 netTaker30=-22.476 bounce=0.334
By-W1_NOVEMBER-SHORT-1,Bybit,W1_NOVEMBER,2025-11-19,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=-0.411 cvd60=206.483 netTaker30=984.81 bounce=0.733
By-W1_NOVEMBER-SHORT-2,Bybit,W1_NOVEMBER,2025-11-19,UNKNOWN,0.25,SHORT,1,0,0,0,0,insufficient short evidence,cannot classify short honestly,—,di=-0.1657 cvd60=37.639 netTaker30=490.362 bounce=0.275
By-W1_NOVEMBER-SHORT-3,Bybit,W1_NOVEMBER,2025-11-19,UNKNOWN,0.25,SHORT,0,0,0,1,0,insufficient short evidence,cannot classify short honestly,—,di=-0.2229 cvd60=15.999 netTaker30=582.153 bounce=0.657
By-W1_NOVEMBER-SHORT-4,Bybit,W1_NOVEMBER,2025-11-20,UNKNOWN,0.25,SHORT,0,0,0,1,0,insufficient short evidence,cannot classify short honestly,—,di=-0.0105 cvd60=-124.091 netTaker30=203.177 bounce=0.542
By-W1_NOVEMBER-SHORT-5,Bybit,W1_NOVEMBER,2025-11-20,UNKNOWN,0.25,SHORT,1,0,0,0,0,insufficient short evidence,cannot classify short honestly,—,di=0.3387 cvd60=-57.746 netTaker30=305.973 bounce=0.283
By-W1_NOVEMBER-SHORT-6,Bybit,W1_NOVEMBER,2025-11-20,UNKNOWN,0.25,SHORT,1,0,0,0,0,insufficient short evidence,cannot classify short honestly,—,di=0.2704 cvd60=-844.9 netTaker30=-612.915 bounce=0.477
By-W1_NOVEMBER-SHORT-7,Bybit,W1_NOVEMBER,2025-11-20,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.2172 cvd60=-241.447 netTaker30=769.411 bounce=0.898
By-W1_NOVEMBER-SHORT-8,Bybit,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,SHORT,1,0,0,0,0,insufficient short evidence,cannot classify short honestly,—,di=0.2661 cvd60=-1051.086 netTaker30=-181.031 bounce=0.665
By-W1_NOVEMBER-SHORT-9,Bybit,W1_NOVEMBER,2025-11-21,DISTRIBUTION_INTO_BOUNCE,0.55,SHORT,1,1,1,0,0,bounce>=0.4%; CVD<0 (net selling); ask-heavy depth,"buyers stall, sellers reload at highs",not active markdown: needed a bounce first,di=-0.2416 cvd60=-384.249 netTaker30=325.651 bounce=0.697
By-W1_NOVEMBER-SHORT-10,Bybit,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,SHORT,1,0,0,0,0,insufficient short evidence,cannot classify short honestly,—,di=0.0703 cvd60=-4182.244 netTaker30=385.455 bounce=1.033
By-W1_NOVEMBER-SHORT-11,Bybit,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,SHORT,1,0,0,0,0,insufficient short evidence,cannot classify short honestly,—,di=0.0432 cvd60=152.701 netTaker30=1218.082 bounce=0.831
By-W1_NOVEMBER-SHORT-12,Bybit,W1_NOVEMBER,2025-11-21,DISTRIBUTION_INTO_BOUNCE,0.55,SHORT,0,0,0,1,0,bounce>=0.4%; CVD<0 (net selling); ask-heavy depth,"buyers stall, sellers reload at highs",not active markdown: needed a bounce first,di=-0.0517 cvd60=-336.705 netTaker30=-26.644 bounce=2.786
By-W1_NOVEMBER-SHORT-13,Bybit,W1_NOVEMBER,2025-11-21,DISTRIBUTION_INTO_BOUNCE,0.55,SHORT,0,0,0,1,0,bounce>=0.4%; CVD<0 (net selling); ask-heavy depth,"buyers stall, sellers reload at highs",not active markdown: needed a bounce first,di=-0.1526 cvd60=-717.987 netTaker30=625.996 bounce=0.876
By-W1_NOVEMBER-SHORT-14,Bybit,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.0204 cvd60=-525.596 netTaker30=784.669 bounce=1.41
By-W1_NOVEMBER-SHORT-15,Bybit,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=-0.0967 cvd60=274.094 netTaker30=386.287 bounce=1.335
By-W1_NOVEMBER-SHORT-16,Bybit,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.1549 cvd60=364.708 netTaker30=245.985 bounce=0.895
By-W1_NOVEMBER-SHORT-17,Bybit,W1_NOVEMBER,2025-11-22,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.0759 cvd60=259.33 netTaker30=381.958 bounce=0.667
By-W1_NOVEMBER-LONG-18,Bybit,W1_NOVEMBER,2025-11-19,NO_CONTROL_CHOP,0.4,LONG,0,0,0,1,0,depth_imb~0,no control,neither side dominant,di=0.045 cvd60=-85.941 netTaker30=-226.249 bounce=0.537
