window_id,direction,bybit_cluster,okx_cluster,lead_lag_min,bybit_state,okx_state,bybit_hit2,okx_hit2,agree_state
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-0,OK-W1_NOVEMBER-SHORT-0,0,UNKNOWN,UNKNOWN,1,1,1
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-1,OK-W1_NOVEMBER-SHORT-1,-6,UNKNOWN,UNKNOWN,0,0,1
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-2,OK-W1_NOVEMBER-SHORT-2,4,UNKNOWN,UNKNOWN,1,1,1
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-3,OK-W1_NOVEMBER-SHORT-3,0,UNKNOWN,UNKNOWN,0,0,1
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-4,OK-W1_NOVEMBER-SHORT-4,0,UNKNOWN,UNKNOWN,0,0,1
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-5,OK-W1_NOVEMBER-SHORT-6,0,UNKNOWN,UNKNOWN,1,1,1
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-6,OK-W1_NOVEMBER-SHORT-7,0,UNKNOWN,DISTRIBUTION_INTO_BOUNCE,1,1,0
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-7,OK-W1_NOVEMBER-SHORT-8,0,UNKNOWN,UNKNOWN,0,0,1
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-8,OK-W1_NOVEMBER-SHORT-9,0,UNKNOWN,UNKNOWN,1,1,1
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-9,OK-W1_NOVEMBER-SHORT-10,0,DISTRIBUTION_INTO_BOUNCE,DISTRIBUTION_INTO_BOUNCE,1,1,1
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-10,OK-W1_NOVEMBER-SHORT-11,0,UNKNOWN,DISTRIBUTION_INTO_BOUNCE,1,1,0
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-11,OK-W1_NOVEMBER-SHORT-12,0,UNKNOWN,UNKNOWN,1,1,1
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-12,OK-W1_NOVEMBER-SHORT-13,0,DISTRIBUTION_INTO_BOUNCE,UNKNOWN,0,0,0
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-13,OK-W1_NOVEMBER-SHORT-14,0,DISTRIBUTION_INTO_BOUNCE,DISTRIBUTION_INTO_BOUNCE,0,0,1
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-14,OK-W1_NOVEMBER-SHORT-15,0,UNKNOWN,UNKNOWN,0,0,1
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-15,OK-W1_NOVEMBER-SHORT-16,0,UNKNOWN,UNKNOWN,0,0,1
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-16,OK-W1_NOVEMBER-SHORT-17,-2,UNKNOWN,UNKNOWN,0,0,1
W1_NOVEMBER,SHORT,By-W1_NOVEMBER-SHORT-17,OK-W1_NOVEMBER-SHORT-18,0,UNKNOWN,UNKNOWN,0,0,1
W1_NOVEMBER,LONG,By-W1_NOVEMBER-LONG-18,OK-W1_NOVEMBER-LONG-19,0,NO_CONTROL_CHOP,UNKNOWN,0,0,0
W1_NOVEMBER,LONG,By-W1_NOVEMBER-LONG-19,OK-W1_NOVEMBER-LONG-20,0,UNKNOWN,UNKNOWN,0,0,1
