cluster_id,exchange,capital_state,direction,outcome,effort_vs_result,absorption_refill,initiative_control,background_alignment,not_overextended,liquidity_execution
By-W1_NOVEMBER-SHORT-0,Bybit,UNKNOWN,SHORT,WIN,0,1,1,0,1,3
By-W1_NOVEMBER-SHORT-1,Bybit,UNKNOWN,SHORT,TIMEOUT,2,3,0,2,1,3
By-W1_NOVEMBER-SHORT-2,Bybit,UNKNOWN,SHORT,WIN,2,2,0,1,2,3
By-W1_NOVEMBER-SHORT-3,Bybit,UNKNOWN,SHORT,LOSS,1,2,0,2,1,3
By-W1_NOVEMBER-SHORT-4,Bybit,UNKNOWN,SHORT,LOSS,1,0,2,1,3,3
By-W1_NOVEMBER-SHORT-5,Bybit,UNKNOWN,SHORT,WIN,1,3,3,1,1,2
By-W1_NOVEMBER-SHORT-6,Bybit,UNKNOWN,SHORT,WIN,0,2,3,1,1,3
By-W1_NOVEMBER-SHORT-7,Bybit,UNKNOWN,SHORT,TIMEOUT,1,2,3,1,2,3
By-W1_NOVEMBER-SHORT-8,Bybit,UNKNOWN,SHORT,WIN,0,2,2,2,2,3
By-W1_NOVEMBER-SHORT-9,Bybit,DISTRIBUTION_INTO_BOUNCE,SHORT,WIN,1,2,3,1,1,3
By-W1_NOVEMBER-SHORT-10,Bybit,UNKNOWN,SHORT,WIN,1,1,2,3,3,3
By-W1_NOVEMBER-SHORT-11,Bybit,UNKNOWN,SHORT,WIN,2,0,0,2,2,3
By-W1_NOVEMBER-SHORT-12,Bybit,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,0,1,2,1,3,3
By-W1_NOVEMBER-SHORT-13,Bybit,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,1,2,2,2,3,3
By-W1_NOVEMBER-SHORT-14,Bybit,UNKNOWN,SHORT,TIMEOUT,1,0,2,2,3,3
By-W1_NOVEMBER-SHORT-15,Bybit,UNKNOWN,SHORT,TIMEOUT,1,1,0,1,2,3
By-W1_NOVEMBER-SHORT-16,Bybit,UNKNOWN,SHORT,TIMEOUT,1,2,0,1,3,3
By-W1_NOVEMBER-SHORT-17,Bybit,UNKNOWN,SHORT,TIMEOUT,2,1,0,1,2,3
By-W1_NOVEMBER-LONG-18,Bybit,NO_CONTROL_CHOP,LONG,LOSS,0,0,0,1,2,3
By-W1_NOVEMBER-LONG-19,Bybit,UNKNOWN,LONG,LOSS,0,2,0,0,1,3
By-W1_NOVEMBER-LONG-20,Bybit,UNKNOWN,LONG,LOSS,0,2,0,1,2,3
By-W1_NOVEMBER-LONG-21,Bybit,UNKNOWN,LONG,TIMEOUT,0,2,0,2,2,3
By-W1_NOVEMBER-LONG-22,Bybit,NO_CONTROL_CHOP,LONG,LOSS,0,0,0,1,2,3
By-W1_NOVEMBER-LONG-23,Bybit,UNKNOWN,LONG,LOSS,0,2,0,2,2,3
By-W1_NOVEMBER-LONG-24,Bybit,UNKNOWN,LONG,LOSS,0,2,0,0,2,3
By-W1_NOVEMBER-LONG-25,Bybit,UNKNOWN,LONG,LOSS,0,2,0,2,3,3
By-W1_NOVEMBER-LONG-26,Bybit,NO_CONTROL_CHOP,LONG,WIN,0,0,0,0,3,3
By-W1_NOVEMBER-LONG-27,Bybit,UNKNOWN,LONG,TIMEOUT,0,1,0,1,3,3
By-W1_NOVEMBER-LONG-28,Bybit,UNKNOWN,LONG,TIMEOUT,0,2,0,1,2,3
By-W1_NOVEMBER-LONG-29,Bybit,UNKNOWN,LONG,TIMEOUT,0,1,0,2,2,3
