cluster_id,exchange,window_id,date,ts_start,direction_candidate,entry_price,future_mfe_pct,hit2,hit2_5,hit3,loss,timeout,outcome,time_to_2,time_to_2_5,time_to_3,duplicate_cluster_size,is_primary_cluster
By-W1_NOVEMBER-SHORT-0,Bybit,W1_NOVEMBER,2025-11-19,2025-11-19T02:01:00+00:00,SHORT,92402.05,2.111,1,0,0,0,0,WIN,216,,,1,1
By-W1_NOVEMBER-SHORT-1,Bybit,W1_NOVEMBER,2025-11-19,2025-11-19T06:16:00+00:00,SHORT,90590.65,0.142,0,0,0,0,1,TIMEOUT,,,,1,1
By-W1_NOVEMBER-SHORT-2,Bybit,W1_NOVEMBER,2025-11-19,2025-11-19T09:57:00+00:00,SHORT,91416.25,2.117,1,0,0,0,0,WIN,389,,,5,1
By-W1_NOVEMBER-SHORT-3,Bybit,W1_NOVEMBER,2025-11-19,2025-11-19T17:02:00+00:00,SHORT,89788.85,1.335,0,0,0,1,0,LOSS,,,,4,1
By-W1_NOVEMBER-SHORT-4,Bybit,W1_NOVEMBER,2025-11-20,2025-11-20T00:21:00+00:00,SHORT,91653.35,1.159,0,0,0,1,0,LOSS,,,,3,1
By-W1_NOVEMBER-SHORT-5,Bybit,W1_NOVEMBER,2025-11-20,2025-11-20T06:09:00+00:00,SHORT,92759.95,2.148,1,0,0,0,0,WIN,478,,,2,1
By-W1_NOVEMBER-SHORT-6,Bybit,W1_NOVEMBER,2025-11-20,2025-11-20T09:57:00+00:00,SHORT,91815.15,2.158,1,0,0,0,0,WIN,361,,,6,1
By-W1_NOVEMBER-SHORT-7,Bybit,W1_NOVEMBER,2025-11-20,2025-11-20T18:08:00+00:00,SHORT,87364.45,1.454,0,0,0,0,1,TIMEOUT,,,,4,1
By-W1_NOVEMBER-SHORT-8,Bybit,W1_NOVEMBER,2025-11-21,2025-11-21T00:12:00+00:00,SHORT,87064.15,2.236,1,0,0,0,0,WIN,428,,,1,1
By-W1_NOVEMBER-SHORT-9,Bybit,W1_NOVEMBER,2025-11-21,2025-11-21T03:47:00+00:00,SHORT,86008.05,3.379,1,1,1,0,0,WIN,226,226,226,2,1
By-W1_NOVEMBER-SHORT-10,Bybit,W1_NOVEMBER,2025-11-21,2025-11-21T08:14:00+00:00,SHORT,84461.35,2.01,1,0,0,0,0,WIN,78,,,1,1
By-W1_NOVEMBER-SHORT-11,Bybit,W1_NOVEMBER,2025-11-21,2025-11-21T10:35:00+00:00,SHORT,82504.95,2.189,1,0,0,0,0,WIN,113,,,1,1
