window_id,exchange,ts_min,date,ts_iso,direction_candidate,entry_price,future_mfe_pct,future_mae_pct,hit2,hit2_5,hit3,loss,timeout,outcome,time_to_2_min,time_to_2_5_min,time_to_3_min,prior_move_60m,prior_move_180m,local_vol_180m,dist_from_recent_low_pct,dist_from_recent_high_pct,bounce_into_pivot_pct,spread_bps,depth_imbalance,net_taker_30m,taker_imb_30m,cvd_delta_60m,price_change_30m,sell_frac_30m,trade_count_spike,effort_vs_result_raw,vol_30m_btc
W1_NOVEMBER,Bybit,29391961,2025-11-19,2025-11-19T02:01:00+00:00,SHORT,92402.05,2.111,0.435,1,0,0,0,0,WIN,216,,,0.051,,0.082,0.545,0.537,0.334,0.011,0.0614,-22.476,-0.0239,51.735,0.148,0.512,0.75,-0.0035,940.93
W1_NOVEMBER,Bybit,29392053,2025-11-19,2025-11-19T03:33:00+00:00,LONG,92113.05,0.0,1.539,0,0,0,1,0,LOSS,,,,-0.578,-0.056,0.07,0.231,0.848,0.537,0.011,0.045,-226.249,-0.2644,-85.941,-0.512,0.632,0.78,0.1355,855.645
W1_NOVEMBER,Bybit,29392102,2025-11-19,2025-11-19T04:22:00+00:00,LONG,91694.65,0.058,1.521,0,0,0,1,0,LOSS,,,,-0.55,-0.705,0.067,0.049,1.196,0.271,0.011,-0.1229,-12.483,-0.0104,-344.381,-0.16,0.505,1.11,0.0017,1196.671
W1_NOVEMBER,Bybit,29392141,2025-11-19,2025-11-19T05:01:00+00:00,LONG,91188.55,0.834,1.297,0,0,0,0,1,TIMEOUT,,,,-0.718,-1.313,0.062,0.073,1.741,0.469,0.011,-0.1898,-1038.84,-0.3645,-1146.856,-0.394,0.682,1.43,0.1435,2849.802
W1_NOVEMBER,Bybit,29392179,2025-11-19,2025-11-19T05:39:00+00:00,LONG,90549.05,1.546,0.6,0,0,0,0,1,TIMEOUT,,,,-0.873,-2.43,0.061,0.108,2.43,0.646,0.013,-0.009,-417.955,-0.1254,-1617.882,-0.459,0.563,1.3,0.0576,3334.295
W1_NOVEMBER,Bybit,29392216,2025-11-19,2025-11-19T06:16:00+00:00,SHORT,90590.65,0.142,1.499,0,0,0,0,1,TIMEOUT,,,,-0.425,-1.808,0.07,0.65,2.385,0.733,0.011,-0.411,984.81,0.224,206.483,0.458,0.388,1.55,0.1025,4396.43
W1_NOVEMBER,Bybit,29392371,2025-11-19,2025-11-19T08:51:00+00:00,LONG,91374.65,1.009,1.599,0,0,0,1,0,LOSS,,,,-0.593,1.425,0.063,1.521,0.625,0.634,0.011,0.233,-556.631,-0.2352,-1003.737,-0.329,0.618,0.79,0.0773,2366.967
W1_NOVEMBER,Bybit,29392437,2025-11-19,2025-11-19T09:57:00+00:00,SHORT,91416.25,2.026,0.963,1,0,0,0,0,WIN,389,,,-0.027,0.55,0.06,1.298,0.579,0.275,0.011,-0.1657,490.362,0.4131,37.639,0.273,0.293,0.73,0.1129,1186.966
W1_NOVEMBER,Bybit,29392512,2025-11-19,2025-11-19T11:12:00+00:00,SHORT,91536.85,2.015,0.83,1,0,0,0,0,WIN,307,,,0.04,-0.146,0.054,0.539,0.448,0.37,0.011,0.2761,-137.32,-0.1577,-185.548,0.103,0.579,0.68,-0.0163,870.856
W1_NOVEMBER,Bybit,29392613,2025-11-19,2025-11-19T12:53:00+00:00,SHORT,91610.95,2.095,0.749,1,0,0,0,0,WIN,206,,,0.222,0.339,0.047,0.62,0.079,0.429,0.011,0.0725,187.622,0.1605,172.736,0.273,0.42,1.15,0.0438,1168.874
