event_id,event_family,exchange,window_id,ts_iso,price,outcome,hit2,hit2_5,hit3,loss,timeout,mfe,mae,time_to_2,time_to_2_5,time_to_3
By-W1_NOVEMBER-ACTI-61,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T01:01:00+00:00,92355.25,WIN,1,0,0,0,0,2.061,0.486,276,,
By-W1_NOVEMBER-ACTI-96,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T01:36:00+00:00,92236.85,WIN,1,0,0,0,0,2.008,0.615,245,,
By-W1_NOVEMBER-ACTI-191,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T03:11:00+00:00,92349.95,WIN,1,0,0,0,0,2.056,0.024,146,,
By-W1_NOVEMBER-ACTI-354,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T05:54:00+00:00,90305.85,LOSS,0,0,0,1,0,0.068,1.515,,,
By-W1_NOVEMBER-ACTI-482,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T08:02:00+00:00,91765.55,WIN,1,0,0,0,0,2.018,0.579,473,,
By-W1_NOVEMBER-ACTI-523,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T08:43:00+00:00,91547.95,WIN,1,0,0,0,0,2.027,0.818,456,,
By-W1_NOVEMBER-ACTI-567,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T09:27:00+00:00,91167.15,WIN,1,0,0,0,0,2.031,1.239,467,,
By-W1_NOVEMBER-ACTI-623,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T10:23:00+00:00,91347.05,WIN,1,0,0,0,0,2.039,1.04,372,,
By-W1_NOVEMBER-ACTI-657,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T10:57:00+00:00,91289.05,WIN,1,0,0,0,0,2.03,1.104,339,,
By-W1_NOVEMBER-ACTI-714,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T11:54:00+00:00,91374.05,WIN,1,0,0,0,0,2.068,1.01,281,,
By-W1_NOVEMBER-ACTI-793,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T13:13:00+00:00,91608.15,WIN,1,0,0,0,0,2.092,0.752,186,,
By-W1_NOVEMBER-ACTI-923,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T15:23:00+00:00,91415.55,WIN,1,0,0,0,0,2.025,0.021,63,,
By-W1_NOVEMBER-ACTI-961,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T16:01:00+00:00,90133.35,LOSS,0,0,0,1,0,1.712,1.544,,,
By-W1_NOVEMBER-ACTI-1061,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T17:41:00+00:00,89193.95,LOSS,0,0,0,1,0,0.677,1.553,,,
By-W1_NOVEMBER-ACTI-1298,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T21:38:00+00:00,90407.55,LOSS,0,0,0,1,0,0.342,1.527,,,
By-W1_NOVEMBER-ACTI-1329,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T22:09:00+00:00,90416.05,LOSS,0,0,0,1,0,0.351,1.517,,,
By-W1_NOVEMBER-ACTI-1366,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T22:46:00+00:00,90333.45,LOSS,0,0,0,1,0,0.0,1.501,,,
By-W1_NOVEMBER-ACTI-1421,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-19T23:41:00+00:00,91340.05,LOSS,0,0,0,1,0,0.159,1.531,,,
By-W1_NOVEMBER-ACTI-1490,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-20T00:50:00+00:00,91916.95,TIMEOUT,0,0,0,0,1,0.255,1.31,,,
By-W1_NOVEMBER-ACTI-1569,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-20T02:09:00+00:00,92410.95,TIMEOUT,0,0,0,0,1,1.022,0.768,,,
By-W1_NOVEMBER-ACTI-1602,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-20T02:42:00+00:00,92413.05,TIMEOUT,0,0,0,0,1,1.024,0.766,,,
By-W1_NOVEMBER-ACTI-1675,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-20T03:55:00+00:00,92412.55,TIMEOUT,0,0,0,0,1,1.041,0.767,,,
By-W1_NOVEMBER-ACTI-1760,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-20T05:20:00+00:00,92758.05,TIMEOUT,0,0,0,0,1,1.41,0.056,,,
By-W1_NOVEMBER-ACTI-1823,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-20T06:23:00+00:00,92410.55,TIMEOUT,0,0,0,0,1,1.98,0.073,,,
By-W1_NOVEMBER-ACTI-1931,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-20T08:11:00+00:00,92180.05,WIN,1,0,0,0,0,2.075,0.122,424,,
By-W1_NOVEMBER-ACTI-1970,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-20T08:50:00+00:00,92148.05,WIN,1,0,0,0,0,2.041,0.006,385,,
By-W1_NOVEMBER-ACTI-2184,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-20T12:24:00+00:00,91745.05,WIN,1,0,0,0,0,2.11,0.445,215,,
By-W1_NOVEMBER-ACTI-2273,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-20T13:53:00+00:00,91835.35,WIN,1,0,0,0,0,2.043,0.0,125,,
By-W1_NOVEMBER-ACTI-2319,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-20T14:39:00+00:00,91126.85,WIN,1,0,0,0,0,2.256,0.052,86,,
By-W1_NOVEMBER-ACTI-2360,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-20T15:20:00+00:00,90551.55,WIN,1,0,0,0,0,2.074,0.195,51,,
By-W1_NOVEMBER-ACTI-2475,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-20T17:15:00+00:00,87114.75,TIMEOUT,0,0,0,0,1,1.171,1.216,,,
By-W1_NOVEMBER-ACTI-2544,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-20T18:24:00+00:00,86915.25,TIMEOUT,0,0,0,0,1,0.944,1.448,,,
By-W1_NOVEMBER-ACTI-2618,ACTIVE_MARKDOWN_EVENT,Bybit,W1_NOVEMBER,2025-11-20T19:38:00+00:00,86450.05,LOSS,0,0,0,1,0,0.186,1.504,,,
