event_id,ts_iso,window_id,exchange,cross_venue_type,lead_lag_minutes,event_family,price,mfe,time_to_2,cvd_delta_15m,net_taker_15m,pc15,depth_imbalance,dist_from_recent_low_pct
By-W4_APRIL-SELL-438,2024-04-12T07:18:00+00:00,W4_APRIL,Bybit,SYNC_CONFIRMATION,0,SELL_PRESSURE_NO_ABSORPTION_EVENT,70797.55,2.019,452,-67.6,-53.767,-0.279,-0.4102,0.146
OK-W4_APRIL-SELL-439,2024-04-12T07:19:00+00:00,W4_APRIL,OKX,SYNC_CONFIRMATION,0,SELL_PRESSURE_NO_ABSORPTION_EVENT,70790.75,2.051,451,-12890.0,-13274.0,-0.273,-0.1389,0.163
By-W4_APRIL-CVD_-454,2024-04-12T07:34:00+00:00,W4_APRIL,Bybit,SYNC_CONFIRMATION,1,CVD_BREAKDOWN_EVENT,70734.85,2.016,438,-85.6,6.755,-0.093,-0.1855,0.0
By-W4_APRIL-SELL-505,2024-04-12T08:25:00+00:00,W4_APRIL,Bybit,SYNC_CONFIRMATION,0,SELL_PRESSURE_NO_ABSORPTION_EVENT,70792.95,2.012,385,-50.4,-26.628,-0.127,-0.223,0.223
OK-W4_APRIL-SELL-505,2024-04-12T08:25:00+00:00,W4_APRIL,OKX,SYNC_CONFIRMATION,0,SELL_PRESSURE_NO_ABSORPTION_EVENT,70774.15,2.028,385,-7265.0,-2579.0,-0.138,-0.1,0.23
By-W4_APRIL-SELL-551,2024-04-12T09:11:00+00:00,W4_APRIL,Bybit,SYNC_CONFIRMATION,-1,SELL_PRESSURE_NO_ABSORPTION_EVENT,70727.85,2.006,341,-12.8,-6.8,-0.124,-0.4329,0.131
By-W4_APRIL-SELL-583,2024-04-12T09:43:00+00:00,W4_APRIL,Bybit,SYNC_CONFIRMATION,0,SELL_PRESSURE_NO_ABSORPTION_EVENT,70625.45,2.011,388,-32.6,-21.501,-0.117,-0.1102,0.0
OK-W4_APRIL-SELL-583,2024-04-12T09:43:00+00:00,W4_APRIL,OKX,SYNC_CONFIRMATION,0,SELL_PRESSURE_NO_ABSORPTION_EVENT,70608.35,2.041,388,-591.0,-1579.0,-0.114,-0.1391,0.0
By-W4_APRIL-ACTI-683,2024-04-12T11:23:00+00:00,W4_APRIL,Bybit,SYNC_CONFIRMATION,0,ACTIVE_MARKDOWN_EVENT,70816.55,2.045,207,-60.9,-19.163,-0.15,0.0546,0.327
By-W4_APRIL-SELL-685,2024-04-12T11:25:00+00:00,W4_APRIL,Bybit,SYNC_CONFIRMATION,0,SELL_PRESSURE_NO_ABSORPTION_EVENT,70831.55,2.066,205,-92.1,-73.685,-0.123,-0.0474,0.348
